,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,WEClever9, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
180,11,25,46,66,16,68,21,82,22,81,95,4,54,32,91,6,89,56,54,47,0,1,0,0,[]
181,9,96,42,66,18,58,28,74,31,71,84,6,52,28,80,17,85,52,55,46,0,1,0,0,[]
182,22,94,31,60,20,47,38,64,40,62,71,7,50,25,73,24,88,64,53,47,0,1,0,0,[]
183,35,92,24,57,22,42,45,55,46,51,58,8,50,24,64,34,88,75,56,43,0,1,0,0,[]
184,48,91,24,56,24,35,50,61,48,53,45,10,46,16,56,42,88,73,56,46,0,1,0,0,[]
185,61,90,17,44,19,25,48,73,45,57,32,11,44,15,51,48,84,63,50,48,0,1,0,0,[]
186,72,90,17,44,15,20,41,67,43,56,21,13,42,16,48,51,82,57,48,50,0,1,0,0,[]
187,81,86,16,43,8,17,39,59,39,56,17,12,40,16,44,54,78,49,45,55,0,1,0,0,[]
188,84,84,20,32,10,16,41,58,39,55,18,14,29,19,46,50,72,41,44,47,0,1,0,0,[]
189,84,82,19,24,12,17,40,54,36,50,18,14,25,23,49,44,66,40,36,39,0,1,0,0,[]
190,87,69,11,25,8,19,32,46,32,40,16,16,24,22,49,40,55,41,27,31,0,1,0,0,[]
191,90,60,16,34,12,17,29,39,24,38,21,13,34,24,61,41,53,42,30,22,0,1,0,0,[]
192,90,58,24,35,16,14,35,48,24,33,28,17,43,33,73,41,50,50,39,28,0,1,0,0,[]
193,83,51,22,27,18,12,44,53,33,30,28,11,42,34,86,37,52,46,42,39,0,1,0,0,[]
194,74,49,29,20,20,11,44,54,34,39,28,11,40,30,90,46,55,42,44,39,0,1,0,0,[]
195,66,55,28,15,25,11,45,52,28,32,31,8,46,22,89,47,56,41,45,34,0,1,0,0,[]
196,74,62,21,14,20,13,48,53,27,22,26,9,41,16,90,51,54,43,50,43,0,1,0,0,[]
197,76,56,20,19,21,12,47,53,25,23,31,10,36,15,87,50,53,47,52,45,0,1,0,0,[]
198,82,66,2,96,21,12,47,53,24,22,31,9,45,16,79,50,51,48,50,48,0,1,0,0,[]
199,89,77,14,90,19,13,46,54,4,95,28,10,52,26,90,52,57,48,53,49,0,1,0,0,[]
200,87,82,27,82,23,13,48,49,15,90,29,8,59,36,89,58,58,50,55,55,0,1,0,0,[]
201,86,78,37,75,22,11,46,55,27,85,29,9,58,48,88,70,59,57,62,61,0,1,0,0,[]
202,76,75,49,68,14,12,49,59,38,74,23,10,66,56,89,72,66,65,63,61,0,1,0,0,[]
203,72,68,58,66,22,11,54,62,51,65,32,11,66,55,87,68,66,56,66,55,0,1,0,0,[]
204,72,70,62,63,22,12,59,61,62,59,29,10,66,59,79,65,65,56,65,56,0,1,0,0,[]
