,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWKillua, ,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,blue_economics,blue_towers,red_economics,red_towers,captions
176,42,53,2,96,24,32,38,39,41,53,28,20,68,53,76,69,50,44,55,47,23657,1,24960,1,[]
177,6,89,10,84,19,24,29,32,7,88,21,12,62,62,80,82,50,47,54,48,23708,1,25207,1,[]
178,15,82,21,80,20,24,19,25,15,80,31,12,57,67,81,84,52,53,45,47,23759,1,25385,1,[]
179,23,74,30,73,28,21,21,20,24,72,31,12,54,68,74,78,50,55,55,58,23863,1,25525,1,[]
180,32,65,40,79,25,26,20,13,34,65,93,4,43,67,63,84,46,56,48,68,23935,1,25646,1,[]
181,37,59,38,75,30,37,24,10,39,55,78,5,43,67,56,84,45,56,45,58,24151,1,25701,1,[]
182,40,56,38,76,42,37,23,12,44,52,65,6,54,62,48,76,52,52,52,55,24230,1,25751,1,[]
183,40,51,42,79,42,44,23,12,41,53,53,7,56,60,45,64,50,51,49,51,24281,1,25802,1,[]
184,40,58,42,82,35,42,6,94,39,60,44,10,47,64,47,65,49,47,47,56,24333,1,25941,1,[]
185,38,59,49,84,35,39,16,87,39,64,43,9,56,68,47,65,50,53,47,54,24428,1,26187,1,[]
186,40,66,55,93,41,43,24,78,41,66,43,11,56,82,47,66,49,53,51,54,24690,1,26500,1,[]
187,39,58,55,91,41,43,31,68,39,59,42,18,60,83,57,69,52,55,50,50,24825,1,26571,1,[]
188,41,55,51,92,33,39,30,55,42,57,44,16,66,79,67,79,47,46,49,50,25102,1,26640,1,[]
189,38,55,50,93,25,38,21,50,42,55,45,16,57,69,71,88,53,52,56,61,25197,1,26943,1,[]
190,40,53,52,94,21,47,21,48,43,55,44,15,57,69,76,86,53,52,55,57,25369,1,27044,1,[]
191,44,51,54,92,25,56,23,40,39,56,47,17,95,5,76,86,50,51,51,53,25567,1,27240,1,[]
192,42,53,51,91,27,59,22,29,42,56,41,26,86,18,90,6,55,50,57,49,25809,1,27312,1,[]
193,44,55,46,89,32,55,20,15,48,50,32,21,76,26,82,17,61,52,58,50,25955,1,27395,1,[]
194,46,52,41,82,32,55,22,12,50,48,30,18,68,35,71,30,53,47,60,52,26053,1,27450,1,[]
195,41,56,40,67,12,91,20,20,42,53,41,10,55,40,61,40,52,51,60,52,26108,1,27575,1,[]
196,45,51,31,56,23,86,20,20,39,54,44,9,53,34,55,51,51,51,92,10,26163,1,27774,1,[]
197,37,56,32,41,32,81,12,95,3,95,46,13,56,33,54,61,47,52,82,21,26214,1,27909,1,[]
198,40,56,23,30,39,71,24,94,11,83,48,22,54,43,48,60,47,55,71,31,26266,1,28050,1,[]
199,33,60,31,37,42,63,29,86,20,75,41,31,46,52,43,58,42,57,60,41,26352,1,28100,1,[]
200,37,59,32,44,37,57,32,76,29,68,42,41,41,55,43,56,41,54,49,50,26467,1,28663,1,[]
201,36,61,32,55,36,58,37,64,40,58,44,51,41,58,41,58,41,58,41,57,26640,1,28715,2,['16:41 RNGUzi(Õ½ÕùÅ®Éñ) »÷ÆÆÁË·ÀÓùËþ']
202,41,61,39,54,40,62,43,59,40,61,49,49,55,50,54,50,49,50,50,55,26691,1,28765,2,[]
203,45,56,48,54,44,52,48,53,46,56,52,47,61,41,61,42,50,47,53,49,26794,1,28872,2,[]
204,46,53,48,56,48,57,45,51,46,52,52,49,61,41,61,42,58,42,53,49,26929,1,28937,2,[]
205,48,58,56,63,49,65,50,61,52,61,51,48,93,8,93,5,70,40,60,51,27072,1,28990,2,[]
206,51,64,57,65,50,65,58,70,57,64,46,45,90,14,87,9,68,42,60,48,27207,1,29142,2,[]
