,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
229,33,64,19,19,42,46,58,76,45,55,81,83,74,60,32,8,59,50,53,45,0,2,0,1,[]
230,42,56,21,12,42,46,62,84,44,55,81,84,64,59,44,9,56,43,48,40,0,2,0,1,[]
231,38,50,30,21,42,45,71,88,42,51,73,77,65,53,46,9,52,46,44,36,0,2,0,1,[]
232,41,51,41,22,41,34,63,91,43,44,65,77,59,49,47,6,56,42,51,42,0,2,0,1,[]
233,44,52,39,14,42,44,54,89,44,53,63,86,53,49,46,9,53,47,48,42,0,2,0,1,[]
234,45,52,41,10,42,40,51,78,48,54,68,89,58,48,47,8,54,49,53,47,0,2,0,1,[]
235,46,51,39,11,46,42,57,69,45,50,68,90,59,49,47,6,55,49,53,48,0,2,0,1,[]
236,47,48,47,16,46,42,54,67,50,49,70,83,72,52,47,6,57,43,57,41,0,2,0,1,[]
237,48,50,47,23,40,37,54,76,48,54,68,84,81,55,48,6,58,41,56,40,0,2,0,1,[]
238,45,51,42,25,27,35,52,85,48,53,68,84,78,55,47,7,56,43,54,42,0,2,0,1,[]
239,47,51,41,21,33,40,49,91,46,52,93,11,78,55,46,9,55,44,58,34,0,2,0,1,[]
240,47,50,38,14,44,43,51,90,45,51,92,28,91,5,46,7,55,44,58,34,0,2,0,1,[]
241,42,41,41,9,41,31,49,80,41,43,90,44,75,15,46,6,56,44,86,8,0,2,0,1,[]
242,41,29,44,7,43,24,43,68,41,30,89,59,64,21,48,6,59,37,73,17,0,2,0,1,[]
243,40,29,43,16,41,31,40,62,41,34,87,74,53,21,48,6,54,30,62,23,0,2,0,1,[]
244,37,40,41,24,35,38,39,63,35,39,78,85,51,20,93,4,58,38,52,21,0,2,0,1,[]
245,35,48,40,24,35,38,3,96,35,39,75,87,48,10,75,6,56,45,50,22,0,2,0,1,[]
246,44,52,41,30,6,95,16,93,8,93,69,91,47,16,61,9,55,46,45,23,0,2,0,1,[]
247,45,51,40,34,13,90,31,92,21,82,68,90,42,23,48,11,56,46,47,24,0,2,0,1,[]
248,38,55,30,34,24,78,44,91,29,71,71,87,30,22,36,16,55,44,40,29,0,2,0,1,[]
249,38,55,20,27,34,68,54,91,34,61,62,75,27,22,23,11,58,42,43,33,0,2,0,1,[]
250,4,93,20,26,47,64,54,92,43,58,63,75,34,22,22,12,58,42,43,35,0,2,0,1,[]
251,10,86,13,20,50,65,55,88,43,57,71,87,31,22,28,22,93,7,36,25,0,2,0,1,[]
