,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
194,46,71,34,42,30,66,25,6,32,44,57,59,47,36,53,63,48,54,52,53,0,1,0,3,['16:10 LNGAsura(暗夜猎手) 击破了防御塔']
195,50,82,2,96,29,66,26,6,32,44,64,62,52,35,55,50,48,50,56,50,0,1,0,3,[]
196,61,86,7,85,2,96,23,8,5,95,64,62,55,32,59,35,49,50,57,49,0,1,0,3,[]
197,73,89,14,73,9,85,17,9,17,86,93,10,55,32,54,21,47,52,94,5,0,1,0,3,[]
198,80,85,19,61,19,76,17,9,26,74,92,22,95,4,43,11,49,50,88,15,0,1,0,3,[]
199,85,82,22,54,29,68,2,96,33,62,92,35,87,9,39,10,54,46,79,23,0,1,0,3,[]
200,85,80,21,46,37,61,4,93,35,59,91,47,79,19,32,10,54,46,71,31,0,1,0,3,[]
201,84,87,23,47,30,53,5,91,37,57,91,60,72,30,25,10,92,6,62,37,0,1,0,3,[]
202,84,87,16,43,21,45,14,80,43,54,90,73,68,40,33,11,90,8,68,40,0,1,0,3,[]
203,7,95,16,43,13,36,21,72,35,49,87,68,74,43,45,16,83,18,74,42,0,1,0,3,[]
204,15,93,24,39,10,28,32,65,33,43,84,57,67,41,51,24,74,27,67,37,0,1,0,3,[]
205,28,92,35,30,14,21,41,57,44,42,84,58,57,34,47,35,64,37,64,37,0,1,0,3,[]
206,41,92,41,29,15,20,47,51,41,42,84,58,47,38,47,37,54,45,54,45,0,1,0,3,[]
207,54,90,39,26,24,22,42,55,33,43,85,64,43,35,50,44,50,48,53,50,0,1,0,3,[]
208,68,88,33,29,35,24,41,56,32,45,86,75,41,30,47,38,55,58,56,61,0,1,0,3,[]
209,81,85,36,28,35,17,37,58,34,42,87,72,51,30,51,29,49,53,49,53,0,1,0,3,[]
210,80,77,40,27,42,9,41,57,41,36,89,71,48,25,51,21,49,53,49,52,0,1,0,3,[]
211,85,79,50,25,47,17,39,59,44,24,90,75,55,31,55,17,51,43,51,43,0,1,0,3,[]
212,87,78,40,26,42,16,40,56,34,23,88,72,46,24,49,22,45,33,47,32,0,1,0,3,[]
213,84,78,36,29,37,18,41,54,31,22,89,72,43,24,44,14,41,29,41,31,0,1,0,3,[]
214,81,77,39,30,34,22,47,51,35,24,90,71,45,23,46,6,47,24,47,24,0,1,0,3,[]
215,82,79,42,36,37,25,47,48,40,35,86,66,55,31,48,8,57,33,57,33,0,1,0,3,[]
216,87,78,45,49,28,16,48,49,42,45,79,63,61,42,48,6,55,44,55,44,0,1,0,3,[]
217,89,76,49,59,32,9,43,55,44,42,88,68,60,50,48,6,52,50,52,50,0,1,0,3,[]
218,87,76,58,69,27,12,42,60,2,96,90,70,48,46,81,7,49,53,49,53,0,1,0,3,[]
219,88,73,69,68,27,12,43,67,2,94,90,71,44,45,68,7,46,51,46,50,0,1,0,3,[]
220,81,77,75,63,11,91,44,67,17,90,91,65,35,39,55,8,45,52,45,52,0,1,0,3,[]
221,75,66,82,65,20,83,41,65,29,86,93,62,41,45,46,12,43,54,43,54,0,1,0,3,[]
222,80,75,81,67,29,73,39,60,39,76,92,63,51,51,38,15,48,54,48,54,0,1,0,3,[]
223,85,81,70,67,38,66,41,61,54,77,88,72,62,58,36,17,59,61,60,61,0,1,0,3,[]
224,85,80,75,72,50,65,42,66,68,78,86,75,74,68,43,16,71,69,71,69,0,1,0,3,[]
225,78,74,74,75,63,64,54,66,73,74,82,78,75,69,50,23,74,64,75,69,0,1,0,3,[]
226,80,55,82,65,76,57,63,59,75,63,87,69,84,66,58,33,81,54,85,64,0,1,0,3,[]
227,86,53,85,64,86,53,63,57,84,57,88,57,90,60,61,41,88,54,89,57,0,1,0,3,['18:55 LNGPlex(解脱者) 击杀了 WEMystic(战争女神)']
228,89,50,89,56,90,53,74,62,80,52,92,48,93,48,55,46,88,54,92,48,0,1,0,3,[]
229,89,59,79,56,89,57,85,66,78,52,91,44,88,40,47,53,88,54,92,42,0,1,0,3,[]
230,89,70,74,55,83,65,87,73,75,59,91,43,81,36,46,45,88,54,92,42,0,2,0,3,['19:9 LNGAsura(暗夜猎手) 击破了防御塔']
231,84,64,74,59,80,66,86,75,74,61,95,4,81,36,35,38,88,54,95,4,0,2,0,3,[]
232,84,64,68,62,80,66,2,96,69,64,93,17,90,7,24,40,88,54,92,16,0,2,0,3,[]
233,2,96,64,63,4,87,11,91,70,66,92,29,78,13,21,30,88,54,83,22,0,2,0,3,[]
234,8,95,65,67,6,73,20,83,70,66,91,42,67,19,13,22,95,4,73,29,0,2,0,3,[]
235,22,93,65,67,7,59,29,74,5,91,93,52,57,29,8,28,58,43,64,37,0,2,0,3,[]
236,35,92,7,86,8,47,41,77,14,79,93,62,53,35,14,22,47,50,55,44,0,2,0,3,[]
237,50,89,13,75,8,34,47,74,18,66,90,71,57,34,25,29,43,46,43,46,0,2,0,3,[]
238,57,83,19,61,9,34,40,67,18,55,91,63,68,40,32,39,34,40,34,40,0,2,0,3,[]
239,63,87,22,55,9,34,34,63,18,51,87,55,74,43,35,41,42,47,42,47,0,2,0,3,[]
240,73,89,19,46,7,87,35,61,23,45,87,55,72,41,36,42,43,55,43,55,0,2,0,3,[]
241,73,88,17,44,14,76,33,66,24,52,94,9,59,41,34,39,36,60,36,60,0,2,0,3,[]
242,78,88,22,50,25,70,31,65,29,52,89,24,47,46,27,32,44,55,44,55,0,2,0,3,[]
243,78,82,32,50,34,60,36,59,31,52,89,37,35,42,20,28,39,50,39,50,0,2,0,3,[]
