,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,V5Aliez, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
196,74,87,26,57,9,39,37,60,17,82,10,29,37,37,84,50,48,49,36,43,25904,0,25591,0,[]
197,8,96,23,56,7,34,2,96,25,70,13,22,25,34,89,64,49,49,31,47,26044,0,25802,0,[]
198,22,94,20,45,13,47,10,92,36,60,16,19,29,37,88,68,48,49,25,37,26095,0,26034,0,[]
199,36,93,23,44,21,47,19,83,41,56,16,16,35,38,85,80,46,48,32,39,26179,0,26221,0,[]
200,49,91,21,44,19,45,27,74,38,58,15,15,41,31,84,83,41,54,41,38,26331,0,26424,0,[]
201,63,90,15,43,14,36,36,64,38,59,15,17,42,44,79,80,41,54,44,52,26654,0,26566,0,[]
202,71,89,16,45,9,31,36,59,37,60,20,27,39,57,69,78,40,55,39,59,26874,0,27972,1,"['16:50 V5y4(圣枪游侠) 击破了防御塔,获得一塔']"
203,70,88,20,50,6,32,33,64,37,62,27,37,42,59,58,70,41,59,41,58,26925,0,28086,1,['16:53 V5Ben4(盲僧) 击杀了 BLGXinMo(堕落天使)']
204,69,81,21,48,21,64,34,65,37,62,19,26,49,49,58,63,45,55,43,55,27000,0,28152,1,[]
205,70,80,2,96,16,52,35,63,37,62,10,22,45,38,65,65,40,44,43,47,27166,0,28275,1,[]
206,81,81,13,91,8,40,34,64,37,62,11,22,41,27,60,59,29,38,31,39,27302,0,28370,1,[]
207,81,85,27,89,11,41,38,60,37,62,8,27,42,17,73,63,20,36,19,35,27374,0,28493,1,[]
208,87,75,42,89,6,47,41,58,37,62,8,26,43,16,87,66,33,38,27,37,27425,0,29098,1,[]
209,87,74,54,85,6,47,47,53,12,90,9,33,44,17,93,69,46,41,41,37,27516,0,29306,2,['17:23 V5Aliez(万花通灵) 击破了防御塔']
210,87,81,57,82,3,93,48,53,22,80,9,33,43,17,88,59,54,46,47,35,27810,0,29399,2,[]
211,86,79,59,83,5,78,44,56,32,70,9,32,43,17,89,60,51,47,95,4,27996,0,29645,2,[]
212,84,80,69,80,6,63,39,61,41,60,11,34,94,9,93,64,51,45,90,15,28253,0,29818,2,[]
