,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,IGTheShy, ,igning, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
199,2,96,46,14,45,10,47,50,48,43,81,87,59,62,50,8,38,14,56,48,28995,1,27210,1,[]
200,11,95,48,21,47,17,44,50,46,41,82,85,55,53,49,8,38,14,55,49,29047,1,27443,1,[]
201,24,93,48,33,42,25,45,51,41,40,82,85,52,45,49,6,89,14,54,49,29100,1,27680,1,[]
202,37,91,42,41,42,34,47,48,51,45,81,80,58,48,47,7,80,23,62,52,29150,1,27835,1,[]
203,45,80,44,51,46,44,50,47,51,47,81,80,66,58,47,6,70,33,62,62,29336,1,27977,1,[]
204,48,69,53,45,54,44,53,45,52,50,89,13,62,60,57,14,63,38,66,53,29388,1,28050,1,[]
205,57,67,52,51,51,46,54,47,50,55,79,24,56,57,57,29,61,40,63,52,29439,1,28143,1,[]
206,57,66,54,57,50,53,51,53,50,54,69,34,66,56,60,41,58,44,66,56,29492,1,28247,1,[]
207,56,81,57,68,43,45,47,52,48,50,66,48,67,68,66,51,67,43,64,64,29693,1,28298,1,[]
208,51,90,50,75,36,39,46,51,40,50,67,63,69,67,64,64,61,50,67,66,29926,1,28350,1,[]
209,51,90,43,68,29,37,44,54,40,50,68,67,67,69,71,69,51,48,62,61,30154,1,28501,1,[]
210,49,80,38,59,23,26,44,53,5,95,71,70,70,66,67,80,50,48,54,57,30269,1,28625,1,['17:28 IG 击杀了风龙']
211,43,68,37,48,19,16,41,55,15,83,68,82,79,56,67,80,48,49,49,51,30409,1,28880,1,[]
212,42,68,37,40,16,13,43,54,25,72,75,87,84,57,54,76,53,49,49,52,30604,1,29121,1,[]
213,49,79,41,28,16,13,43,53,37,62,75,88,78,49,54,76,59,37,59,51,30775,1,29266,1,[]
214,54,83,42,24,23,12,48,49,47,53,69,88,73,43,53,77,52,27,59,51,30942,1,29415,1,[]
215,52,89,35,24,34,12,49,49,49,57,60,89,68,40,50,81,59,36,92,9,31098,1,29508,1,[]
216,46,91,32,21,45,8,48,51,55,63,55,91,56,33,54,89,54,46,81,18,31209,1,29706,1,[]
217,46,91,41,16,42,15,43,46,48,54,51,94,52,35,61,86,55,45,70,27,31449,1,30032,1,[]
218,44,91,39,16,37,14,44,36,43,42,55,88,51,24,61,86,55,43,60,36,31646,1,30126,1,[]
219,50,94,36,16,37,14,46,36,42,34,58,83,44,16,86,7,58,34,54,32,31718,1,30217,1,[]
220,50,92,27,23,5,94,44,45,42,42,61,88,45,13,72,10,52,27,46,28,31875,1,30399,1,[]
221,51,91,23,36,6,92,52,48,51,48,59,85,48,9,66,24,54,32,46,23,32089,1,30540,1,[]
222,57,88,19,45,11,81,51,49,50,49,61,85,48,18,63,38,55,42,52,29,32288,1,30651,1,[]
223,52,89,18,47,16,69,43,56,43,47,69,85,52,30,69,49,57,43,49,40,32425,1,30787,1,[]
224,52,89,20,52,18,57,42,57,40,42,78,86,46,40,76,52,55,43,54,43,32577,1,31198,1,[]
225,2,96,25,58,23,44,3,96,44,54,80,85,44,39,77,50,50,46,47,45,32660,1,31469,1,[]
226,13,94,31,58,27,37,9,93,39,49,78,81,40,39,65,50,40,39,39,38,32781,1,31581,1,[]
227,26,94,31,58,31,44,19,84,39,49,78,81,49,42,53,43,50,45,43,44,32832,1,31667,1,[]
228,40,93,6,94,34,48,27,75,41,55,86,10,47,52,42,46,48,50,48,50,32954,1,31810,1,[]
