,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGMaestro, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
157,17,17,14,72,28,68,71,88,57,73,23,13,66,66,51,54,75,72,73,70,0,0,0,0,[]
158,15,14,19,61,36,59,77,87,62,85,21,12,64,57,43,56,83,81,80,78,0,0,0,0,[]
159,18,14,23,55,38,58,75,88,63,87,24,11,64,57,50,51,84,83,83,84,0,0,0,0,[]
160,24,10,22,53,37,57,70,91,63,87,28,8,91,5,51,42,84,78,76,78,0,0,0,0,[]
161,23,11,22,42,41,55,71,92,71,89,26,6,80,11,51,41,87,73,71,68,0,0,0,0,[]
162,27,18,25,32,44,54,67,88,62,88,32,6,70,18,50,45,87,73,67,64,0,0,0,0,[]
163,24,13,19,24,42,56,73,86,56,84,32,6,58,23,49,43,93,4,67,64,0,0,0,0,[]
164,17,16,22,32,37,58,79,84,48,81,95,8,45,23,41,33,89,6,87,9,0,0,0,0,[]
165,14,19,14,43,31,53,80,83,38,76,93,19,41,25,43,37,22,10,77,12,0,0,0,0,[]
166,14,19,16,43,36,60,74,87,32,67,92,31,46,24,47,41,24,12,65,11,0,0,0,0,[]
167,15,18,19,47,41,54,75,87,33,59,91,44,43,24,43,42,29,11,54,12,0,0,0,0,[]
168,17,20,30,50,38,56,79,84,38,57,90,58,30,21,48,46,27,14,43,14,0,0,0,0,[]
169,11,24,39,49,41,56,84,80,43,55,89,69,20,25,50,47,20,15,32,17,0,0,0,0,[]
170,10,23,37,48,44,55,82,80,45,55,88,78,29,32,48,46,15,15,23,24,0,0,0,0,[]
171,9,24,37,48,38,55,80,81,41,52,88,80,32,32,47,46,22,26,24,34,0,0,0,0,[]
172,11,31,38,48,40,50,73,87,36,48,84,81,31,31,43,41,26,32,28,33,0,0,0,0,[]
173,19,37,31,44,31,46,68,88,32,44,78,85,29,33,36,40,25,32,27,34,0,0,0,0,[]
174,24,39,29,43,35,46,38,51,29,44,74,78,31,32,39,38,25,31,27,32,0,0,0,0,[]
175,24,42,30,44,34,46,33,47,31,42,72,78,30,32,37,39,25,31,28,34,0,0,0,0,[]
176,21,46,24,47,28,50,41,51,32,51,80,82,35,38,45,42,20,26,33,37,0,0,0,0,[]
177,16,42,26,50,31,57,44,54,31,57,80,84,42,42,50,46,15,18,37,42,0,0,0,0,[]
178,10,32,31,52,41,66,43,56,40,57,79,82,45,42,45,47,18,20,42,46,0,0,0,0,[]
179,11,25,33,49,41,66,42,58,41,58,73,72,40,45,44,49,26,30,42,45,0,0,0,0,[]
180,15,38,33,59,40,57,42,55,43,57,63,63,46,47,43,47,34,40,45,46,0,0,0,0,[]
181,20,49,42,61,37,59,37,58,41,61,52,57,46,55,40,55,43,48,45,53,0,0,0,0,[]
182,27,59,39,61,33,60,39,61,40,62,42,54,39,55,39,52,41,53,43,55,0,0,0,1,[]
183,35,59,46,66,37,64,35,67,38,64,50,53,49,52,43,52,42,45,44,48,0,0,0,1,[]
