,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
213,34,89,12,74,19,75,23,79,24,77,64,82,51,66,25,68,47,75,25,68,0,1,0,6,[]
214,44,90,12,74,20,74,18,76,24,71,68,82,51,66,32,66,95,4,37,65,0,1,0,6,[]
215,49,92,3,96,26,75,14,77,19,66,68,82,93,4,36,65,88,4,45,68,0,1,0,6,[]
216,51,91,13,89,30,79,14,77,28,68,94,7,84,9,42,59,75,6,45,68,0,1,0,6,[]
217,50,79,22,81,31,68,5,91,32,65,94,5,72,15,44,58,62,7,91,6,0,1,0,6,[]
218,60,80,19,70,27,68,9,83,23,65,88,17,62,23,44,58,50,10,81,12,0,1,0,6,[]
219,69,89,18,55,24,68,19,75,20,62,83,28,53,32,92,5,39,15,71,17,0,1,0,6,[]
220,73,89,15,43,25,67,22,66,20,62,79,42,48,35,81,13,36,13,62,23,0,1,0,6,[]
221,68,80,15,44,25,67,18,54,5,94,78,47,39,37,73,22,31,8,54,31,0,1,0,6,[]
222,74,87,23,48,4,91,10,45,20,90,81,55,35,38,64,32,22,13,45,35,0,1,0,6,[]
223,89,84,22,48,12,77,12,47,34,90,85,64,35,41,55,41,22,13,35,41,0,1,0,6,[]
224,90,81,19,50,18,67,14,49,49,90,88,73,28,50,45,49,15,13,28,50,0,1,0,6,[]
225,90,81,19,62,28,69,5,47,61,87,87,75,20,49,34,49,14,15,21,50,0,1,0,6,[]
226,86,81,24,72,31,69,11,54,65,79,84,66,22,54,30,54,8,25,14,44,0,1,0,6,[]
227,83,79,35,75,31,69,8,59,57,69,87,71,25,56,33,60,7,35,20,50,0,1,0,6,[]
228,77,74,41,70,25,75,6,66,46,64,90,81,20,54,32,60,6,36,21,56,0,1,0,6,[]
229,83,81,44,67,22,75,11,74,42,69,90,81,14,50,21,54,6,43,14,50,0,1,0,6,[]
230,86,80,45,66,24,77,22,74,33,74,89,81,11,54,18,61,7,53,17,55,0,1,0,6,[]
231,79,85,38,67,26,76,20,75,21,71,91,69,9,56,20,69,7,58,20,69,0,1,0,6,[]
232,68,80,28,72,23,79,11,79,9,82,91,69,9,60,11,62,7,58,11,62,0,1,0,7,['19:17 TES »÷ÆÆÁË·ÀÓùËþ']
233,52,77,17,72,12,75,10,76,3,95,91,69,9,68,6,66,6,67,6,66,0,1,0,7,[]
234,48,78,16,74,9,77,13,79,5,90,95,4,7,70,6,70,5,69,7,70,0,1,0,8,['19:29 TESKnight9(Äº¹âÐÇÁé) »÷ÆÆÁË·ÀÓùËþ']
235,42,78,15,76,9,80,13,76,5,79,10,70,5,71,6,72,5,71,5,71,0,1,0,8,[]
