,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGTeeen, ,blue_economics,blue_towers,red_economics,red_towers,captions
189,68,69,64,69,71,70,55,57,63,63,37,7,73,42,87,53,43,39,46,40,26869,2,26537,2,[]
190,63,64,51,73,83,81,52,60,63,63,38,9,71,41,87,55,35,40,35,42,26961,2,26685,2,['15:46 LNG »÷É±ÁËË®Áú']
191,65,64,41,67,81,83,46,55,7,87,34,8,59,41,87,55,29,35,30,37,27120,2,27068,2,[]
192,79,64,31,60,80,84,44,56,16,79,29,9,47,40,87,61,37,37,41,41,27200,2,27118,2,[]
193,90,72,26,60,4,94,45,56,24,72,18,14,35,42,89,52,48,42,45,45,27470,2,27236,2,[]
194,92,73,31,58,8,79,41,54,31,57,16,14,24,44,91,55,46,48,43,45,27562,2,27467,2,[]
195,81,77,26,50,8,67,40,57,32,57,17,10,24,41,90,52,38,43,34,41,27627,2,27672,2,[]
196,72,68,26,50,8,54,43,56,39,53,17,10,27,36,91,50,46,40,21,39,27680,2,27792,2,[]
197,62,60,21,48,8,38,47,53,36,48,91,5,40,42,92,52,49,43,35,41,27850,2,27857,2,[]
198,57,55,29,50,12,34,43,58,38,49,82,13,48,42,93,53,45,54,43,51,28592,2,27908,2,[]
199,46,49,43,47,25,36,51,63,46,51,74,22,52,47,81,50,48,47,48,53,28882,2,27987,2,['16:34 LNGFlandre(¿ñ±©Ö®ÐÄ) »÷É±ÁË JDGimp(Ê¥Ç¹ÓÎÏÀ)']
200,54,50,54,48,37,42,48,56,49,49,65,33,58,45,69,48,48,47,55,49,29906,2,28055,2,[]
201,53,50,60,48,46,36,55,48,53,45,59,42,60,44,62,41,48,47,56,49,29968,2,28224,2,"['16:41 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË JDGTeeen(Éîº£Ì©Ì¹)', '16:43 LNGFlandre(¿ñ±©Ö®ÐÄ) »÷É±ÁË JDGFlawless(µÂÂêÎ÷ÑÇ»Ê×Ó)']"
202,63,60,67,48,48,40,52,47,52,47,60,40,60,44,57,41,48,47,56,49,30062,2,28275,2,[]
203,73,70,69,50,36,36,48,53,51,52,57,43,60,44,52,45,48,47,56,49,30156,2,28367,2,[]
204,86,78,64,57,24,27,43,54,45,55,56,47,60,44,50,47,48,47,56,49,30269,2,28510,2,[]
205,86,78,64,57,15,20,43,57,44,54,64,41,60,44,47,35,48,47,56,49,30495,2,28604,2,[]
206,89,81,6,92,12,19,40,59,39,50,76,45,60,44,51,32,87,9,93,6,30620,2,28726,2,[]
207,89,81,10,80,12,17,2,96,34,49,87,51,60,44,51,21,80,18,83,14,30671,2,28777,2,[]
208,2,96,16,69,12,17,6,94,34,49,92,55,81,7,43,11,71,26,72,25,30723,2,28975,2,[]
209,16,94,23,54,12,16,17,86,10,93,89,53,68,8,40,8,64,35,63,36,30774,2,29145,2,[]
210,29,93,17,44,15,9,24,79,19,84,87,63,58,14,31,12,54,43,52,45,30825,2,29325,2,[]
