,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
151,21,14,69,67,67,61,76,57,73,69,20,16,76,57,74,60,75,60,67,67,0,0,0,0,[]
152,24,22,69,67,69,63,68,61,79,73,19,13,76,57,74,64,75,65,77,73,0,0,0,0,[]
153,14,21,69,67,68,64,70,63,78,74,18,12,76,57,74,67,75,72,83,78,0,0,0,0,[]
154,15,18,69,67,63,61,67,58,78,74,26,7,76,57,68,62,67,63,75,69,0,0,0,0,[]
155,13,21,69,67,61,62,67,58,78,74,26,7,95,4,63,63,66,65,70,64,0,0,0,0,[]
156,13,21,69,67,61,62,67,58,78,74,90,4,87,7,65,64,70,66,72,76,0,0,0,0,[]
157,4,91,14,89,61,62,67,58,4,93,83,4,74,7,67,66,70,67,62,83,0,0,0,0,[]
158,5,79,16,77,61,62,67,58,16,86,76,10,70,16,70,65,68,68,70,79,0,0,0,0,[]
159,12,71,18,65,61,62,67,58,22,75,64,9,62,23,71,64,69,67,70,79,0,0,0,0,[]
160,25,73,20,50,61,62,2,96,31,63,52,9,54,32,74,61,75,63,95,3,0,0,0,0,[]
161,37,75,23,39,4,94,3,93,31,49,39,11,52,34,74,61,75,63,93,9,0,0,0,0,[]
162,50,83,22,26,5,90,12,22,38,38,44,14,48,26,93,7,94,4,91,7,0,0,0,0,[]
163,55,84,23,22,15,79,19,14,41,26,50,23,48,26,90,12,95,4,79,8,0,0,0,0,[]
164,59,85,22,14,26,69,22,11,32,21,59,33,47,17,82,21,30,9,67,9,0,0,0,0,[]
165,60,86,25,11,36,60,24,7,28,12,66,42,36,12,71,31,32,6,59,9,0,0,0,0,[]
166,71,86,19,17,44,50,16,14,17,15,74,54,30,10,60,40,30,10,36,8,0,0,0,0,[]
167,65,77,22,29,45,49,11,19,19,23,84,60,40,16,54,46,26,10,25,10,0,0,0,0,[]
168,57,68,31,37,47,53,15,18,18,16,92,71,41,17,53,48,22,10,25,14,0,0,0,0,[]
169,56,58,43,39,46,54,15,16,16,18,90,76,40,17,54,46,20,12,28,21,0,0,0,0,[]
170,56,49,56,48,53,49,15,17,19,21,87,81,35,16,58,48,20,12,28,19,0,0,0,0,[]
171,54,55,48,55,52,46,13,21,8,20,85,82,27,18,58,47,14,15,19,14,0,0,0,0,[]
172,58,67,47,64,54,47,11,22,6,19,78,79,21,26,58,47,19,24,20,26,0,0,0,0,[]
173,62,77,46,70,48,53,7,27,7,19,78,75,30,22,58,47,18,16,20,22,0,0,0,0,[]
174,65,89,49,73,47,54,8,25,7,18,75,63,40,29,58,47,17,13,13,13,0,0,0,0,[]
175,72,89,45,71,47,50,11,20,8,17,69,62,49,39,58,47,14,13,11,13,0,0,0,0,[]
176,70,82,45,70,37,42,10,22,7,19,72,68,57,43,58,47,14,15,15,15,0,0,0,0,[]
177,77,86,35,63,27,36,9,23,8,20,80,77,56,44,94,7,20,19,19,18,0,0,0,0,[]
178,78,89,24,58,23,46,8,22,11,22,79,84,46,40,86,18,15,11,21,23,0,0,0,0,[]
179,76,91,21,53,21,50,10,28,9,26,76,87,47,41,76,26,12,12,19,17,0,0,0,0,[]
180,72,89,15,44,30,50,9,27,7,30,79,85,47,40,66,37,11,13,16,11,0,0,0,0,[]
181,76,88,16,45,41,51,8,26,7,30,82,88,42,39,55,45,14,17,18,16,0,0,0,0,[]
182,77,87,22,43,44,53,9,25,5,87,83,88,42,47,49,52,14,16,16,17,0,0,0,0,[]
183,77,87,21,44,35,61,8,24,15,76,84,84,44,48,47,52,14,21,17,22,0,0,0,0,[]
184,74,89,16,41,34,62,8,30,18,65,79,84,44,46,44,45,15,22,18,24,0,0,0,0,[]
185,78,89,16,41,2,96,7,36,19,51,71,78,55,52,40,43,24,26,24,35,0,0,0,0,[]
186,71,85,7,95,7,88,12,34,20,39,70,79,65,60,47,48,28,34,28,36,0,0,0,0,[]
187,69,88,16,87,17,78,10,29,21,41,71,78,70,64,51,49,23,32,22,30,0,0,0,0,[]
188,79,88,21,76,27,69,11,32,20,37,79,81,74,59,49,51,16,21,17,19,0,0,0,0,[]
189,79,89,35,74,36,61,10,22,11,34,82,83,74,53,59,50,16,15,15,16,0,0,0,0,[]
190,76,89,45,68,44,53,8,22,9,24,81,84,74,54,68,55,22,23,20,23,0,0,0,0,[]
191,77,89,57,64,53,62,9,25,10,30,81,86,83,56,66,49,15,18,18,20,0,0,0,0,[]
192,79,86,62,62,56,66,13,34,19,36,86,82,82,55,61,42,9,24,11,22,0,0,0,0,[]
193,81,85,63,58,48,55,11,28,32,38,87,83,75,44,55,45,8,17,10,14,0,0,0,0,[]
194,83,85,66,47,44,44,9,23,33,35,86,85,74,43,59,40,8,17,10,14,0,0,0,0,[]
195,83,82,66,47,44,45,12,22,44,37,87,81,79,51,58,35,15,13,95,4,0,0,0,0,[]
196,84,81,66,48,51,45,12,23,45,37,89,76,86,65,57,39,25,9,83,10,0,0,0,0,[]
197,88,76,66,48,49,49,2,96,44,39,91,71,81,66,63,36,27,9,74,18,0,0,0,0,[]
198,88,77,67,53,51,50,5,90,48,47,83,66,76,58,61,41,94,4,67,29,0,0,0,0,[]
199,89,77,59,59,49,53,9,76,45,51,80,65,73,49,54,43,82,8,62,41,0,0,0,0,[]
200,88,78,57,71,54,64,9,63,40,51,89,69,66,46,54,42,74,18,55,44,0,0,0,0,[]
201,89,81,57,81,62,75,11,51,40,51,92,70,65,53,59,47,66,24,64,52,0,0,0,0,[]
202,89,81,58,84,68,80,11,38,5,94,92,71,63,59,64,53,64,36,64,62,0,0,0,0,[]
203,6,96,51,83,55,76,11,25,14,89,88,73,55,64,62,62,56,46,54,66,0,0,0,0,[]
204,19,94,45,72,47,75,14,19,24,79,80,81,47,68,51,64,51,50,47,69,0,0,0,0,[]
205,28,88,43,69,44,71,11,31,34,68,69,79,51,65,51,62,43,56,48,67,0,0,0,0,[]
206,40,86,39,64,39,65,16,42,39,58,76,78,54,65,48,55,45,55,48,59,0,0,0,0,[]
207,52,84,41,60,41,55,24,50,41,54,82,84,56,60,50,56,54,48,52,55,0,0,0,0,[]
208,65,88,39,62,41,61,32,59,41,54,76,78,55,58,52,54,51,50,49,53,0,0,0,0,[]
209,71,88,46,58,44,58,39,55,40,51,70,68,54,58,53,50,49,50,51,52,0,0,0,0,[]
210,71,84,44,58,43,59,41,54,44,57,70,67,54,58,52,56,47,52,51,55,0,0,0,0,[]
211,80,88,44,58,44,52,43,55,46,56,77,74,57,60,62,59,57,56,56,60,0,0,0,0,[]
212,78,90,47,59,48,56,46,56,51,60,81,84,59,70,62,61,58,61,56,64,0,0,0,0,[]
213,80,85,47,56,47,51,44,58,48,53,84,84,53,63,58,60,58,56,54,62,0,0,0,0,[]
214,80,86,44,51,44,44,43,57,44,53,85,81,54,61,56,54,52,49,52,54,0,0,0,0,[]
215,79,81,35,58,45,44,40,52,46,58,85,79,54,58,53,52,50,51,50,53,0,0,0,0,[]
216,71,78,39,60,43,42,44,52,44,55,81,81,59,61,53,57,56,56,55,58,0,0,0,0,[]
217,76,87,45,58,40,29,45,53,44,53,81,85,63,63,53,58,54,58,53,57,0,0,0,0,[]
218,78,87,45,52,29,18,46,55,45,52,84,85,66,63,62,60,56,57,58,57,0,0,0,0,[]
219,77,88,46,38,18,12,40,54,42,38,80,79,70,64,66,52,54,52,59,58,0,0,0,0,[]
220,68,80,51,33,25,9,32,59,51,29,72,70,67,68,57,49,45,52,48,53,0,0,0,0,[]
221,59,74,44,36,28,8,32,60,47,33,65,64,65,71,48,55,45,56,48,55,0,0,0,0,[]
222,57,72,44,46,32,9,40,61,43,45,56,64,65,70,49,59,47,57,51,64,0,1,0,0,[]
223,48,74,42,46,35,10,36,59,37,56,53,62,66,65,44,58,42,56,42,58,0,1,0,0,[]
224,47,64,44,49,30,18,40,59,40,56,49,60,54,60,48,54,46,54,46,56,0,1,0,0,[]
225,42,66,41,46,38,27,39,58,39,64,43,67,50,65,48,60,48,59,49,61,0,1,0,0,[]
226,36,62,41,42,41,36,33,60,40,61,54,67,47,67,48,56,47,53,49,54,0,1,0,0,[]
227,34,63,42,41,42,25,32,60,39,63,62,75,46,57,49,54,45,53,47,56,0,1,0,0,[]
228,33,64,42,41,41,30,41,54,42,56,69,80,49,52,53,51,54,43,53,55,0,1,0,0,[]
229,3,96,41,29,42,26,44,50,44,50,74,78,49,40,58,50,56,33,55,56,0,1,0,0,[]
230,8,95,51,25,48,25,42,38,43,38,83,85,51,30,58,50,52,26,95,4,0,1,0,0,[]
231,53,30,48,24,53,29,51,29,51,27,80,87,49,24,95,4,53,27,85,8,0,1,0,0,[]
232,44,23,47,22,53,29,41,25,41,25,71,92,41,24,59,36,53,27,74,13,0,1,0,0,[]
233,43,34,38,23,53,29,41,34,45,35,69,91,41,24,56,44,53,27,70,25,0,1,0,0,[]
234,50,45,42,17,53,29,47,47,55,32,70,91,41,24,53,53,53,27,64,36,0,1,0,0,[]
235,52,49,32,18,53,29,46,50,49,35,75,89,41,24,57,55,53,27,58,45,0,1,0,0,[]
236,48,55,25,25,53,29,44,56,42,39,75,89,41,24,55,50,53,27,55,47,0,1,0,0,[]
237,55,66,23,38,53,29,40,66,42,39,71,92,41,24,55,52,53,27,51,53,0,1,0,0,[]
238,60,82,16,44,53,29,46,73,3,95,71,91,41,24,59,59,94,4,54,63,0,1,0,1,[]
239,64,90,18,44,6,88,44,69,12,90,82,90,41,24,51,54,81,6,49,58,0,1,0,1,[]
240,67,83,21,53,15,77,41,59,22,79,81,90,92,11,48,49,65,7,47,48,0,1,0,1,[]
241,79,86,22,55,23,67,43,55,32,68,83,86,84,25,47,41,53,9,41,37,0,1,0,1,[]
242,81,87,23,48,18,52,41,56,40,56,91,74,81,38,49,32,40,10,41,36,0,1,0,1,[]
243,75,78,28,50,23,44,40,57,30,46,93,70,80,51,52,26,28,11,38,28,0,1,0,1,[]
244,62,83,32,40,17,33,40,57,37,39,93,70,83,56,47,23,28,17,29,20,0,1,0,1,[]
245,56,83,34,47,10,27,14,89,37,40,95,8,78,50,56,32,35,22,38,23,0,1,0,1,[]
246,54,85,44,52,14,33,25,77,27,33,93,22,73,42,48,25,47,24,48,23,0,1,0,1,[]
247,62,87,43,60,23,35,31,68,36,41,89,35,69,40,44,16,55,31,51,31,0,1,0,1,[]
248,76,87,45,67,25,36,42,59,46,51,89,48,58,34,31,16,55,40,46,37,0,1,0,1,[]
249,81,83,51,65,34,43,47,54,45,52,88,61,46,36,25,13,50,46,48,40,0,1,0,1,[]
250,78,73,62,61,32,45,43,54,43,53,89,74,41,33,22,14,47,41,45,40,0,1,0,1,[]
251,69,67,70,65,32,45,48,54,48,56,90,70,36,38,27,18,50,47,35,39,0,1,0,1,[]
