,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,blue_economics,blue_towers,red_economics,red_towers,captions
160,76,88,27,24,45,56,5,46,5,87,87,67,78,12,51,49,10,24,12,23,0,0,0,0,[]
161,71,90,27,24,40,53,4,86,9,75,84,59,67,19,49,51,7,26,9,27,0,0,0,0,[]
162,68,91,3,95,44,57,5,74,13,64,84,59,57,29,50,50,19,16,19,16,0,0,0,0,[]
163,68,91,8,82,44,55,6,60,18,54,87,67,52,34,51,49,21,14,21,14,0,0,0,0,[]
164,12,95,15,70,44,54,8,48,29,50,85,78,55,32,55,55,95,4,95,4,0,0,0,0,[]
165,24,93,18,56,40,44,10,35,33,43,84,80,62,37,47,47,91,12,91,12,0,0,0,0,[]
166,37,93,22,43,42,47,11,25,39,37,76,68,73,43,51,49,84,21,84,21,0,0,0,0,[]
167,50,92,19,28,44,52,12,21,41,26,73,62,70,42,53,47,70,20,70,20,0,0,0,0,[]
168,62,92,19,24,39,51,18,14,34,22,74,55,62,37,51,51,62,12,62,12,0,0,0,0,[]
169,75,88,21,28,43,54,19,12,31,16,75,58,50,41,52,48,50,11,50,11,0,0,0,0,[]
170,81,86,31,32,42,51,21,10,30,19,76,59,42,32,64,53,39,11,38,11,0,0,0,0,[]
171,83,84,41,30,35,48,19,16,39,25,78,63,47,27,74,55,28,9,27,11,0,0,0,0,[]
172,79,75,48,23,39,38,24,23,45,23,89,70,52,21,59,48,28,10,27,9,0,0,0,0,[]
173,84,81,36,23,41,33,25,22,36,23,89,69,55,12,54,48,36,11,31,9,0,0,0,0,[]
174,90,81,30,17,32,21,21,14,30,18,81,66,54,11,51,51,43,17,40,15,0,0,0,0,[]
175,87,79,32,17,25,25,21,13,26,15,88,70,45,13,50,52,39,16,40,15,0,0,0,0,[]
176,84,81,31,30,29,39,18,11,20,14,90,75,44,15,53,49,30,11,30,11,0,0,0,0,[]
177,83,78,31,37,37,50,19,16,19,16,91,73,43,15,53,49,26,8,26,8,0,0,0,0,[]
178,71,77,25,27,39,55,22,13,22,8,91,71,43,14,89,6,28,9,28,9,0,0,0,0,[]
179,68,78,29,16,40,51,21,12,19,13,93,70,39,15,80,15,29,8,29,8,0,0,0,0,[]
180,80,78,29,32,45,52,18,14,17,9,88,69,32,10,69,26,32,10,27,8,0,0,0,0,[]
181,86,78,25,45,47,51,16,17,15,16,92,68,36,14,60,35,29,9,24,10,0,0,0,0,[]
182,82,78,25,46,36,49,12,16,14,20,90,74,27,12,53,45,23,13,22,12,0,0,0,0,[]
183,73,70,24,40,32,41,12,19,13,19,91,71,23,7,44,43,15,12,15,12,0,0,0,0,[]
184,69,67,21,29,22,31,11,22,12,22,90,71,22,8,43,41,16,14,16,14,0,0,0,0,[]
185,77,77,18,18,20,17,12,18,12,25,95,4,16,9,32,37,15,12,15,12,0,0,0,0,[]
186,82,80,19,12,17,12,13,16,11,18,95,4,17,11,24,27,17,11,17,8,0,0,0,0,"['15:28 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷É±ÁË JDGYagao(ÑÒÈ¸)', '15:29 TESQiuQiu(Ä§·¨Ã¨ßä) »÷É±ÁË JDGFlawless(Ðé¿Õ¶ÝµØÊÞ)']"
187,85,79,19,12,17,12,6,28,5,28,12,23,11,19,7,28,12,23,11,11,0,0,0,0,[]
188,88,75,19,12,17,12,5,28,4,41,7,36,11,24,12,24,7,36,11,11,0,0,0,0,['15:36 TESKnight9(¹îÊõÑý¼§) »÷É±ÁË JDGimp(Æ¤³ÇÅ®¾¯)']
189,91,70,19,12,17,12,5,28,4,44,9,36,12,23,11,22,9,38,95,4,0,0,0,0,['15:42 TESQiuQiu(Ä§·¨Ã¨ßä) »÷É±ÁË JDGLvMao(¹â»ÔÅ®ÀÉ)']
190,91,68,19,12,17,12,5,28,4,44,8,31,8,30,9,28,8,31,95,4,0,0,0,0,[]
191,91,68,19,12,17,12,5,28,4,44,8,34,10,29,9,27,9,31,45,53,0,0,0,1,"['15:54 TES369(º£ÑóÖ®ÔÖ) »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
192,90,70,6,94,17,12,5,28,4,44,10,37,11,28,9,27,11,30,39,53,0,0,0,1,[]
193,91,72,18,88,3,91,5,28,6,93,15,36,94,5,93,8,95,4,40,54,0,0,0,1,[]
194,92,71,30,81,4,75,8,87,15,85,15,36,92,8,92,23,93,6,40,53,0,0,0,1,[]
195,93,71,41,71,5,59,19,81,24,77,87,6,87,17,91,36,90,12,42,47,0,0,0,2,['16:12 TESLokeN(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
