,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
205,8,95,41,37,15,19,42,47,38,51,88,71,74,43,58,44,84,22,55,47,0,1,0,2,[]
206,19,94,47,34,20,11,44,37,35,39,88,75,76,47,60,41,79,30,54,50,0,1,0,2,[]
207,32,93,49,34,26,14,44,43,48,33,87,76,75,59,93,4,69,35,51,51,0,1,0,2,[]
208,44,92,50,24,37,14,45,52,48,23,85,78,67,67,89,5,59,41,50,54,0,1,0,2,[]
209,56,91,52,21,41,10,43,52,48,17,85,78,65,61,71,6,52,48,51,51,0,1,0,2,[]
210,66,92,51,21,40,8,44,52,50,19,93,9,68,65,59,8,51,52,49,53,0,1,0,2,[]
211,66,91,52,18,44,9,41,54,48,15,90,19,67,65,50,7,55,57,53,56,0,1,0,2,[]
212,58,90,48,21,41,11,41,43,54,21,89,32,68,65,59,6,64,62,56,46,0,1,0,2,[]
213,62,90,48,20,44,16,40,36,49,22,89,45,69,61,62,14,59,59,58,34,0,1,0,2,[]
214,62,87,48,11,48,11,41,40,47,17,84,58,60,58,66,26,51,50,53,41,0,1,0,2,[]
215,64,89,51,10,49,8,32,45,48,11,87,70,47,54,59,36,46,50,49,43,0,1,0,2,[]
216,66,90,51,11,48,10,31,58,48,21,80,81,37,49,65,30,45,54,47,51,0,1,0,2,[]
217,63,89,47,17,48,19,34,63,41,33,76,87,36,57,69,20,45,57,40,57,0,2,0,2,[]
218,52,85,51,31,50,33,37,58,46,46,72,85,46,56,69,13,47,55,47,55,0,2,0,2,[]
219,53,88,53,32,50,43,45,51,48,49,62,78,56,55,68,15,55,50,55,53,0,2,0,2,[]
220,58,90,47,33,47,48,48,49,48,51,58,84,58,55,55,8,58,47,57,55,0,2,0,2,[]
221,52,94,41,30,36,50,46,50,41,60,57,93,95,4,51,8,53,50,57,55,0,2,0,2,[]
222,51,94,46,24,23,50,46,50,44,71,56,90,91,4,62,10,55,48,92,5,0,2,0,2,[]
223,49,93,46,24,21,45,41,61,48,66,59,91,79,13,65,20,58,45,84,10,0,2,0,2,[]
224,54,89,41,33,22,42,45,69,46,70,60,85,71,24,66,34,57,44,75,21,0,2,0,2,[]
225,53,86,34,37,19,46,45,71,43,69,59,85,63,35,55,42,59,40,66,32,0,2,0,2,[]
226,52,89,24,33,23,38,41,67,43,69,60,85,52,41,52,46,59,40,56,42,0,2,0,2,[]
227,53,87,28,38,23,38,39,58,5,95,62,84,44,36,49,51,90,6,48,51,0,2,0,2,[]
228,56,85,35,48,3,96,42,56,17,84,64,82,52,33,50,49,74,10,47,46,0,2,0,2,[]
229,51,91,24,55,4,95,37,58,28,72,62,75,54,32,46,44,61,11,40,45,0,2,0,2,[]
230,52,88,21,54,5,93,38,58,39,61,57,72,42,38,36,38,46,12,33,40,0,2,0,2,[]
231,52,88,18,46,12,80,39,65,40,57,50,65,37,39,36,38,37,16,31,34,0,2,0,2,[]
232,8,96,15,44,23,72,43,67,41,67,56,66,32,43,45,45,34,16,35,38,0,2,0,2,[]
233,21,95,17,46,34,63,42,58,44,67,53,76,41,46,47,50,37,18,35,38,0,2,0,2,[]
234,34,94,27,50,45,71,41,58,40,59,48,80,41,46,47,49,34,17,87,8,0,2,0,2,[]
235,47,93,38,48,53,76,43,58,40,66,60,85,42,45,44,49,30,12,77,18,0,2,0,2,[]
236,56,89,34,49,48,69,37,60,39,65,65,83,43,45,50,45,25,10,67,28,0,2,0,2,[]
237,65,93,37,60,52,67,37,60,52,67,72,88,44,45,48,49,22,12,58,38,0,2,0,2,[]
238,71,91,37,60,57,64,2,96,57,74,84,84,54,41,48,51,28,18,51,50,0,2,0,2,[]
239,65,88,5,95,47,67,2,96,56,68,84,87,53,34,48,50,24,30,45,50,0,2,0,2,[]
240,51,83,15,85,39,60,42,56,40,65,87,78,48,35,44,49,16,34,42,46,0,2,0,2,[]
241,45,71,24,77,46,72,47,52,42,54,84,82,60,35,53,45,11,29,30,36,0,2,0,2,[]
242,33,66,35,74,51,83,37,49,32,45,83,83,70,41,65,40,17,34,22,38,0,2,0,2,[]
243,20,64,40,66,63,90,34,47,33,44,87,72,65,41,72,38,24,33,26,31,0,2,0,2,[]
244,10,59,40,52,63,91,44,53,33,47,84,60,53,41,73,35,26,31,32,23,0,2,0,2,[]
245,8,52,40,52,60,88,49,51,46,51,84,59,48,42,73,35,35,32,40,34,0,2,0,2,[]
246,5,45,36,48,67,82,42,51,39,50,84,61,52,45,95,4,38,38,36,41,0,2,0,2,[]
247,7,33,32,44,59,72,38,49,33,49,84,62,51,43,79,13,42,41,43,39,0,2,0,2,[]
248,11,24,32,44,51,62,40,54,33,49,84,64,46,35,66,20,51,42,51,44,0,2,0,2,[]
249,9,23,27,50,56,68,40,59,9,86,84,64,46,39,54,21,41,39,50,47,0,2,0,2,[]
250,11,30,31,47,65,77,40,56,22,75,93,18,43,45,41,15,32,40,42,44,0,2,0,2,[]
251,11,30,31,57,76,86,42,56,32,61,91,34,43,43,31,11,31,38,42,46,0,2,0,2,[]
