,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,blue_economics,blue_towers,red_economics,red_towers,captions
158,45,54,83,58,5,83,82,85,79,74,78,52,36,41,50,49,11,26,20,25,0,0,0,0,[]
159,46,58,82,66,6,72,83,82,77,70,83,60,46,41,53,53,8,27,30,34,0,0,0,0,[]
160,53,65,76,68,7,60,87,76,67,63,88,66,56,47,50,53,7,25,39,42,0,0,0,0,[]
161,51,67,68,78,6,49,89,74,78,73,91,69,64,52,45,52,5,29,51,47,0,0,0,1,[]
162,39,65,56,76,5,46,87,78,87,79,91,73,70,48,44,53,7,33,59,51,0,0,0,1,[]
163,38,56,52,76,5,44,85,83,86,82,89,77,75,43,49,51,5,30,71,49,0,0,0,1,[]
164,42,56,49,74,9,48,85,83,85,80,90,75,77,52,59,56,6,23,77,53,0,0,0,1,[]
165,41,58,47,73,5,39,75,78,75,77,89,79,75,59,64,52,6,23,77,56,0,0,0,1,[]
166,39,61,38,65,8,32,68,80,67,79,89,81,76,53,59,50,94,6,76,52,0,0,0,1,[]
167,39,62,25,57,8,26,59,72,60,73,89,81,76,53,58,50,94,7,76,52,0,0,0,1,[]
168,39,62,21,54,7,22,52,63,52,62,91,4,93,5,51,51,85,14,95,6,0,0,0,1,[]
169,13,95,19,47,7,22,45,56,44,53,79,5,83,15,50,45,81,22,92,8,0,0,0,1,[]
170,27,94,16,45,4,91,45,55,49,50,67,6,73,23,48,34,72,30,88,15,0,0,0,1,[]
171,40,92,11,44,6,76,43,57,41,56,55,8,64,31,48,27,62,39,78,23,0,0,0,1,[]
172,54,91,11,44,9,65,40,54,41,56,45,12,53,35,50,26,53,46,69,32,0,0,0,1,[]
173,67,88,7,94,11,50,43,55,5,95,39,15,56,33,50,26,50,48,60,40,0,0,0,1,[]
174,80,84,9,93,11,38,43,56,17,87,35,17,64,40,50,26,48,47,51,49,0,0,0,1,[]
175,86,78,12,92,10,41,44,56,25,75,36,17,72,48,94,10,50,48,49,51,0,0,0,1,[]
176,86,79,24,87,11,30,40,57,31,62,28,15,80,54,94,22,52,52,55,53,0,0,0,1,[]
177,82,81,28,74,11,19,41,58,32,48,17,17,81,66,93,34,57,50,58,49,0,0,0,1,[]
178,71,86,32,61,9,29,39,49,39,37,12,18,78,64,91,46,54,45,59,45,0,0,0,1,[]
179,59,83,31,48,7,33,41,55,51,33,7,21,71,65,90,58,51,49,57,49,0,0,0,1,[]
180,55,83,34,37,10,32,43,54,41,28,10,20,69,62,90,69,52,51,65,56,0,0,0,1,[]
181,56,84,25,28,11,32,42,54,41,27,19,25,68,64,86,76,56,54,64,59,0,0,0,1,[]
182,55,85,25,25,15,21,39,62,35,23,20,27,65,69,82,86,65,64,56,65,0,0,0,1,[]
183,64,89,25,29,23,30,37,62,25,28,29,34,65,71,73,87,67,66,60,62,0,0,0,1,[]
184,55,92,35,36,34,36,43,52,35,36,42,36,66,65,70,90,65,64,54,51,0,0,0,1,[]
185,49,88,44,36,45,37,47,45,46,39,46,35,56,55,70,90,55,56,51,41,0,0,0,1,[]
186,47,89,43,33,36,37,42,46,42,43,46,35,50,52,67,92,51,53,51,49,0,0,0,2,[]
187,47,89,41,37,39,42,42,52,43,52,46,35,51,54,66,90,49,53,51,53,0,0,0,2,[]
188,47,89,35,40,33,37,40,52,40,55,46,35,47,54,62,85,47,54,48,55,0,0,0,2,[]
189,49,90,34,40,22,27,38,56,45,57,46,35,51,50,67,80,49,54,50,54,0,0,0,2,[]
190,51,92,25,32,12,20,35,59,45,57,46,35,49,58,56,75,46,55,56,61,0,0,0,2,[]
191,55,91,32,42,15,17,35,59,45,57,46,35,47,65,46,69,47,53,45,68,0,0,0,2,[]
192,48,91,32,55,18,13,10,92,45,57,93,4,53,67,45,71,44,56,46,72,0,0,0,2,[]
193,48,91,31,64,21,11,19,84,45,57,81,5,41,66,55,76,38,61,48,66,0,0,0,3,[]
194,8,94,29,69,19,12,27,75,45,57,69,6,35,66,55,77,34,63,37,66,0,0,0,3,[]
195,21,83,33,62,24,8,31,67,12,90,57,7,41,60,56,76,41,60,45,66,0,0,0,3,[]
196,30,73,29,51,25,8,34,62,24,78,42,8,53,51,69,81,44,49,56,61,0,0,0,3,[]
197,41,78,24,43,23,7,40,65,36,75,29,8,65,50,71,89,47,53,48,54,0,0,0,3,[]
198,49,79,24,39,23,12,38,59,48,78,30,8,74,43,79,87,46,51,48,53,0,0,0,3,[]
199,51,84,25,28,16,18,38,59,45,69,19,13,77,48,85,88,53,47,55,50,0,0,0,3,[]
200,45,72,26,17,19,11,37,63,38,63,22,10,83,59,81,91,53,47,57,50,0,0,0,3,[]
201,38,64,23,10,23,10,29,59,39,57,22,7,83,60,73,90,95,4,95,4,0,0,0,3,[]
202,40,74,17,9,18,13,29,59,49,49,22,7,83,64,63,87,95,4,92,7,0,0,0,3,[]
203,42,87,17,9,24,8,39,56,40,52,22,7,83,64,56,91,57,45,90,13,0,0,0,3,[]
204,51,91,4,93,24,8,47,53,48,52,22,7,92,7,61,86,55,46,81,22,0,0,0,3,[]
205,50,91,5,90,25,8,45,51,45,54,22,7,84,19,61,86,55,47,72,31,0,0,0,3,[]
206,46,88,11,79,22,8,36,58,39,65,22,7,74,26,93,4,50,54,63,40,0,0,0,3,[]
207,48,90,17,68,24,7,34,59,41,67,22,7,63,32,83,5,45,54,55,50,0,0,0,3,[]
208,51,91,17,55,17,8,32,64,42,67,22,7,53,35,70,7,41,56,45,57,0,1,0,3,[]
209,53,88,15,44,17,8,34,63,44,69,94,14,51,32,58,7,43,54,45,54,0,1,0,3,[]
210,48,76,19,45,3,96,37,62,43,69,93,27,42,35,45,9,42,47,44,45,0,1,0,3,[]
211,39,66,24,39,15,89,39,61,38,63,91,39,31,37,40,15,33,43,32,40,0,1,0,3,[]
212,28,59,19,32,19,78,36,62,30,60,90,52,19,35,43,18,22,39,21,38,0,1,0,3,[]
213,17,51,16,31,19,66,36,62,36,63,88,64,18,32,30,16,25,37,18,33,0,1,0,3,[]
214,5,47,16,31,33,73,9,94,40,65,79,64,21,40,20,12,36,41,23,40,0,1,0,3,[]
215,5,46,16,31,46,81,18,85,31,57,75,56,21,50,17,15,46,46,20,49,0,1,0,3,[]
216,5,46,16,31,59,85,26,75,26,58,76,53,23,50,11,25,48,46,22,50,0,1,0,3,[]
217,5,46,16,31,70,88,33,66,37,60,75,57,26,50,10,31,41,44,26,51,0,1,0,3,[]
218,6,50,16,31,82,85,38,64,39,62,76,60,28,52,6,43,30,45,31,55,0,1,0,3,[]
219,6,58,2,96,80,83,35,62,34,61,77,60,19,52,8,52,16,49,22,54,0,1,0,3,[]
220,5,61,7,83,80,83,25,65,23,65,85,66,11,54,8,54,11,50,16,52,0,1,0,3,[]
221,4,58,13,72,17,10,13,63,17,59,89,72,10,55,6,57,11,50,10,49,0,1,0,4,[]
222,4,59,10,66,8,22,9,66,11,66,81,83,9,59,7,59,9,56,9,59,0,1,0,4,[]
223,4,59,12,63,7,34,5,66,8,64,82,83,10,58,7,56,7,54,8,56,0,1,0,4,[]
224,4,59,10,55,8,45,7,54,8,53,80,84,14,49,7,44,14,49,8,47,0,1,0,4,[]
225,4,59,10,60,5,51,6,59,7,58,6,49,6,50,5,49,12,48,8,50,0,1,0,4,[]
226,4,59,16,64,4,51,10,70,9,69,7,61,9,60,8,62,10,58,9,59,0,1,0,4,[]
227,4,59,17,74,4,51,6,70,10,73,10,64,11,64,9,64,14,66,13,66,0,1,0,4,[]
228,4,59,29,73,4,51,5,78,10,78,11,70,9,72,9,70,7,70,9,71,0,1,0,4,[]
229,5,91,41,77,4,51,7,82,7,83,10,72,8,73,7,74,5,72,8,73,0,1,0,5,[]
230,9,79,49,74,4,51,8,78,10,78,11,65,12,69,7,66,7,70,10,65,0,1,0,5,[]
231,5,69,47,73,4,51,14,75,9,76,18,55,18,56,6,54,11,61,17,57,0,1,0,5,[]
232,10,69,45,67,4,51,25,70,6,87,24,53,22,45,5,47,11,54,21,48,0,1,0,5,[]
233,10,66,46,65,6,89,33,63,4,94,35,48,31,37,5,47,15,50,21,48,0,1,0,5,[]
234,8,58,50,75,21,90,32,59,10,81,44,53,34,39,87,6,22,42,92,6,0,1,0,5,[]
235,15,65,56,81,34,91,33,59,17,68,42,55,34,39,77,14,24,39,87,8,0,1,0,5,[]
236,10,60,57,83,47,91,36,62,18,55,49,51,93,7,65,20,24,39,78,17,0,1,0,5,[]
237,7,47,61,85,59,91,30,60,18,53,61,50,87,20,51,25,85,10,69,27,0,1,0,5,[]
238,6,48,60,85,71,90,28,60,22,48,72,43,82,31,47,25,79,21,59,36,0,1,0,5,[]
239,7,46,2,96,66,90,32,61,24,38,79,52,75,43,37,23,69,31,50,45,0,1,0,5,[]
240,6,48,10,84,79,89,32,61,23,41,84,62,76,47,21,23,61,39,56,46,0,1,0,5,[]
241,2,96,20,76,82,84,4,92,28,51,90,72,80,54,11,22,50,47,50,50,0,1,0,5,[]
242,5,83,29,68,85,83,10,86,32,49,90,68,76,55,13,35,52,46,56,48,0,1,0,5,[]
243,9,68,37,60,85,83,18,78,34,60,90,70,82,56,15,44,59,51,62,52,0,1,0,5,[]
244,22,66,37,50,3,95,27,69,39,52,88,73,79,56,18,46,57,50,67,61,0,1,0,5,[]
245,32,60,32,41,9,80,31,60,28,50,79,76,72,63,11,48,52,49,64,64,0,1,0,5,[]
246,21,53,21,37,8,65,21,52,17,44,77,80,63,68,9,38,48,53,53,66,0,1,0,5,[]
247,16,41,11,34,8,50,21,41,11,32,77,85,65,68,10,27,42,58,50,65,0,1,0,5,[]
248,10,30,11,27,8,37,16,11,11,24,77,86,64,70,11,25,35,65,43,59,0,1,0,5,[]
249,9,27,9,28,6,36,12,20,11,26,64,88,65,69,11,27,31,69,34,66,0,1,0,6,[]
250,14,35,6,19,5,49,10,20,11,27,53,89,64,71,11,27,30,71,34,68,0,1,0,6,[]
251,10,44,6,19,9,62,5,95,5,96,52,91,63,70,11,27,28,73,40,73,0,1,0,6,[]
252,7,58,4,95,19,69,18,84,18,84,49,88,95,4,11,27,37,75,41,83,0,1,0,6,[]
253,9,61,10,93,27,69,25,75,26,73,49,88,82,12,11,27,45,79,46,88,0,1,0,6,[]
