,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGChelizi, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
180,10,35,75,63,48,54,91,74,83,64,13,21,27,35,50,46,83,50,71,34,0,0,0,0,[]
181,7,38,68,66,49,53,92,73,89,71,12,24,20,37,51,46,92,51,82,36,0,1,0,0,[]
182,8,43,66,69,49,54,87,76,88,72,10,22,12,34,58,42,93,53,82,47,0,1,0,0,[]
183,6,36,67,70,38,50,77,74,80,76,5,28,9,30,57,43,92,56,92,56,0,1,0,0,[]
184,7,31,66,69,27,50,68,67,74,71,8,24,11,25,55,45,91,54,91,54,0,1,0,0,[]
185,14,34,57,72,39,50,64,65,74,71,16,15,19,26,53,42,92,52,90,52,0,1,0,0,[]
186,14,33,49,73,48,52,64,64,6,88,11,22,24,36,51,46,80,51,80,51,0,1,0,0,[]
187,11,33,47,71,48,55,53,60,16,78,14,18,37,40,47,48,80,54,80,52,0,1,0,0,[]
188,11,23,45,66,48,57,41,54,26,69,13,19,44,42,52,46,80,54,80,54,0,1,0,0,[]
189,11,21,37,63,48,57,31,50,31,56,14,11,47,44,53,43,74,49,74,49,0,1,0,0,[]
190,8,19,31,53,4,96,31,45,32,44,14,11,48,41,50,47,62,51,62,51,0,1,0,0,[]
191,8,19,32,45,6,95,26,37,36,39,94,4,45,39,48,52,54,54,54,53,0,1,0,0,[]
192,12,94,40,53,15,84,32,41,36,49,84,6,51,37,50,53,63,58,51,53,0,1,0,0,[]
193,24,90,43,53,25,77,24,33,44,53,73,10,53,34,56,55,72,64,60,58,0,1,0,0,[]
194,37,90,43,48,32,67,17,22,48,51,61,9,62,38,56,55,77,70,67,63,0,1,0,0,[]
195,50,90,39,42,40,58,16,17,45,42,57,15,66,49,94,10,79,73,65,61,0,1,0,0,[]
196,63,89,41,34,45,50,20,9,41,34,57,28,68,61,76,25,86,76,68,61,0,1,0,0,[]
197,76,90,37,25,48,51,20,12,40,23,57,38,75,73,60,39,83,80,76,73,0,1,0,0,[]
198,73,91,32,21,46,51,23,11,30,19,56,40,69,80,52,50,77,86,78,81,0,1,0,0,[]
199,68,92,26,23,42,54,18,10,27,23,51,49,62,84,51,52,78,87,80,88,0,1,0,0,[]
200,66,93,24,35,46,58,20,9,29,20,55,42,63,85,55,58,74,88,75,88,0,1,0,0,[]
201,70,93,22,45,40,62,24,7,28,14,67,41,66,89,55,58,70,88,71,86,0,1,0,0,[]
202,69,92,19,44,42,52,26,6,28,9,72,45,72,92,50,53,73,90,73,91,0,1,0,0,[]
203,60,94,22,42,44,51,32,6,28,14,73,42,71,82,51,53,78,84,75,87,0,1,0,0,[]
204,60,87,32,37,45,52,33,7,33,8,66,37,69,80,52,52,76,88,76,89,0,2,0,0,[]
205,61,84,44,35,50,48,38,14,38,13,66,25,69,80,59,41,80,85,76,87,0,2,0,0,[]
206,69,82,47,36,50,42,46,12,49,18,62,13,82,5,66,28,80,84,80,84,0,2,0,0,[]
207,74,89,46,37,51,47,43,15,51,24,51,9,70,7,67,30,93,4,95,4,0,2,0,0,[]
208,77,86,36,39,50,47,35,17,38,26,44,9,60,12,68,40,87,9,87,8,0,2,0,0,[]
209,85,77,35,38,52,47,26,24,34,28,44,10,53,20,77,45,78,17,78,17,0,2,0,0,[]
210,89,70,3,95,56,46,29,34,2,96,43,17,46,23,86,53,71,27,71,27,0,2,0,0,[]
211,89,69,10,85,57,46,31,35,13,87,34,17,51,30,89,57,62,37,62,36,0,2,0,0,[]
212,80,66,17,76,53,51,27,33,21,76,24,14,46,33,90,53,57,43,57,43,0,2,0,0,[]
213,70,62,19,64,49,50,19,24,31,66,17,14,42,32,91,58,57,43,59,46,0,2,0,0,[]
214,66,55,24,56,51,49,19,24,42,56,19,14,46,32,91,57,56,42,58,45,0,2,0,0,[]
215,66,55,30,49,52,51,18,18,50,49,19,13,58,34,81,49,55,42,55,42,0,2,0,0,[]
216,66,55,37,40,54,49,20,8,48,46,25,10,56,32,85,50,55,44,55,43,0,2,0,0,[]
217,65,53,41,30,58,47,31,10,41,37,31,8,49,21,88,49,57,43,57,43,0,2,0,0,[]
218,44,17,46,22,60,57,32,7,38,24,28,6,42,15,33,8,55,52,55,52,0,2,0,0,[]
219,54,12,46,12,62,57,32,7,47,17,28,6,51,11,44,9,49,49,49,49,0,2,0,0,[]
220,49,17,51,9,62,57,32,7,48,11,28,6,55,11,47,10,48,39,48,39,0,2,0,0,[]
221,38,15,45,11,62,57,32,7,38,11,28,6,54,19,47,10,50,44,48,40,0,2,0,0,[]
222,25,14,47,17,62,57,32,7,36,15,28,6,53,28,47,10,49,50,50,49,0,2,0,0,[]
223,19,15,48,25,62,57,32,7,36,15,28,6,52,31,47,10,44,56,45,55,0,2,0,0,[]
224,30,10,52,28,62,57,32,7,8,94,28,6,59,35,47,10,42,57,42,55,0,2,0,0,[]
225,30,10,50,34,62,57,3,96,19,83,28,6,51,41,47,10,44,53,43,54,0,2,0,1,[]
226,2,96,45,33,3,95,17,95,29,72,86,5,45,36,47,10,42,41,42,41,0,2,0,1,[]
227,7,87,36,25,14,84,31,93,36,62,74,6,50,40,47,10,40,37,46,36,0,2,0,1,[]
228,16,78,35,24,22,74,43,89,36,62,62,7,56,41,92,12,42,39,47,41,0,2,0,1,[]
