,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
222,26,11,46,80,67,94,41,58,44,67,61,85,61,77,74,88,48,54,60,73,0,0,0,1,[]
223,22,13,57,84,72,93,40,58,45,73,71,86,67,84,77,88,57,58,70,76,0,0,0,1,[]
224,25,9,60,85,73,89,39,63,52,77,64,77,65,77,73,87,67,64,71,70,0,0,0,1,[]
225,27,9,59,85,72,91,45,54,51,76,64,71,65,70,70,79,66,65,67,69,0,0,0,1,[]
226,32,9,47,80,70,91,45,52,47,73,67,71,64,70,70,79,62,61,67,68,0,0,0,1,[]
227,36,9,40,71,69,91,47,50,38,64,72,70,66,65,92,4,53,53,58,60,0,1,0,1,"['18:53 BLGADD(符文法师) 击破了防御塔', '18:53 LNG 击杀了土龙']"
228,37,7,34,61,4,96,42,53,43,54,80,79,65,57,78,6,51,47,51,52,0,1,0,1,[]
229,38,16,25,58,17,94,43,54,43,52,77,88,65,57,65,7,47,36,56,55,0,1,0,1,[]
230,39,15,33,62,30,93,42,53,47,50,67,84,86,8,53,9,55,31,56,55,0,1,0,1,[]
231,33,17,42,69,43,93,45,50,43,46,70,91,75,16,43,14,59,36,89,6,0,1,0,1,[]
232,25,24,53,76,56,93,49,51,48,58,71,91,65,21,43,14,58,48,79,15,0,1,0,1,[]
233,22,27,57,81,73,91,49,49,49,50,78,86,56,30,46,8,57,47,71,25,0,1,0,1,[]
234,29,34,55,84,63,87,54,48,52,50,82,85,46,36,35,8,58,46,62,36,0,1,0,1,[]
235,32,37,59,83,70,80,50,50,55,51,79,87,42,36,22,10,58,42,56,42,0,1,0,1,[]
236,27,37,69,84,77,87,57,56,63,58,78,87,32,38,19,15,57,42,51,45,0,1,0,1,[]
237,21,44,83,83,83,83,58,57,60,57,84,82,23,41,22,28,52,44,40,44,0,1,0,1,[]
238,11,57,86,75,87,78,54,48,54,50,92,68,25,45,19,19,56,41,34,43,0,1,0,1,[]
239,11,57,79,75,89,80,48,52,48,52,93,69,24,46,13,23,58,44,41,39,0,1,0,1,[]
240,2,96,79,75,89,76,49,59,41,51,95,4,18,45,9,30,52,45,50,44,0,1,0,1,[]
241,4,83,4,92,82,83,49,66,34,47,88,76,16,42,13,35,50,46,47,46,0,1,0,1,[]
242,18,84,7,73,72,88,40,66,32,51,84,79,20,47,18,45,44,51,35,42,0,1,0,1,[]
243,30,88,8,60,75,90,37,56,32,53,78,84,26,56,24,56,35,49,31,52,0,1,0,1,[]
244,43,88,7,52,71,90,35,59,32,54,77,87,31,53,30,58,31,51,31,52,0,1,0,1,[]
