,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
187,25,10,64,62,50,51,64,88,63,64,56,45,77,72,63,51,81,84,72,66,25487,1,25367,0,[]
188,30,19,66,64,57,59,75,87,63,64,54,45,78,72,63,51,78,80,75,61,25621,1,25568,0,[]
189,38,28,65,64,61,62,78,83,63,64,51,43,94,4,95,4,86,75,72,64,25759,1,25619,0,[]
190,40,37,65,69,66,64,75,76,63,62,45,36,85,9,83,8,87,66,77,62,25837,1,25676,0,[]
191,35,39,68,68,66,66,78,75,63,62,51,27,74,16,74,17,78,66,78,65,26053,1,25752,0,['15:55 JDG 击杀了火龙']
192,42,45,67,71,59,60,85,79,57,64,47,14,61,25,68,28,87,66,87,69,26283,1,25938,0,[]
193,51,47,53,67,51,49,85,82,57,64,41,9,53,33,58,40,88,74,91,71,26378,1,26102,0,[]
194,41,44,46,64,41,53,82,91,9,94,31,9,53,33,57,42,89,75,93,68,26479,1,26467,0,[]
195,31,37,40,60,41,53,82,91,20,84,28,10,55,32,55,48,87,70,93,68,26593,1,26519,0,[]
196,25,30,29,59,4,96,5,95,29,73,39,16,65,40,59,59,79,65,92,9,26648,1,26574,0,[]
197,14,33,25,57,17,93,15,88,39,63,43,18,66,52,55,58,70,64,82,20,26809,1,26851,0,[]
198,10,26,21,53,33,92,24,79,40,56,43,17,64,57,50,51,72,66,71,30,26892,1,27090,0,[]
199,14,18,23,42,46,91,32,71,43,56,42,17,59,61,48,53,80,75,67,43,26985,1,27273,0,[]
200,16,16,33,32,59,90,39,61,43,54,42,17,60,63,51,46,84,82,64,57,27253,1,27520,0,[]
201,19,22,34,31,72,87,44,52,42,53,91,4,57,68,55,56,85,77,53,58,27600,1,27580,0,[]
202,29,32,28,36,77,89,36,50,32,46,79,5,56,75,56,60,82,81,57,68,27665,1,27636,0,[]
203,29,34,30,36,68,94,37,50,32,37,67,7,59,76,58,72,76,87,59,76,27716,1,27687,0,[]
204,29,34,31,35,56,94,46,51,32,37,65,17,60,88,55,85,75,88,55,85,27872,1,27837,0,[]
205,31,35,31,35,47,94,52,46,40,38,66,29,51,94,49,94,74,87,51,93,28024,1,28581,0,[]
206,41,38,36,37,45,94,55,46,51,34,59,40,55,91,52,94,70,88,58,92,28079,1,28685,0,['17:6 EDGScout(离群之刺) 击杀了 JDGYagao(未来守护者)']
207,51,41,47,45,45,94,54,46,52,37,60,44,64,82,52,94,70,88,65,90,28130,1,28758,0,[]
208,52,43,48,47,45,94,51,46,53,37,71,41,68,70,88,4,69,89,66,82,28268,1,28825,0,[]
209,53,43,52,55,45,94,53,46,53,37,71,41,66,55,74,7,67,91,72,71,28937,1,29460,0,[]
210,54,41,56,55,45,94,57,41,55,31,65,40,66,46,61,9,69,90,67,55,29019,2,29707,1,"['17:26 EDGiBoy(逆羽) 击破了防御塔', '17:27 JDG 击破了防御塔']"
211,60,38,61,43,45,94,61,38,58,30,63,34,64,35,57,16,61,84,65,44,29096,2,29805,1,[]
212,60,34,62,34,45,94,63,35,61,36,67,32,69,33,57,29,61,85,68,46,29142,2,29994,1,[]
213,51,45,55,44,2,96,55,44,51,47,56,43,59,40,57,42,66,82,61,50,29215,2,31095,1,['17:45 EDGScout(离群之刺) 击杀了 JDGimp(战争女神)']
214,50,44,54,43,56,44,55,44,48,48,50,47,51,45,51,47,62,75,53,48,29716,2,32148,1,"['17:46 EDGJinoo(刀锋舞者) 击杀了 JDGFlawless(虚空遁地兽)', '17:49 EDGScout(离群之刺) 击杀了 JDGLvMao(末日使者)']"
215,51,43,54,43,48,47,55,44,48,48,49,47,51,46,55,45,55,67,51,49,29768,2,32782,1,"['17:51 EDGJinoo(刀锋舞者) 击杀了 JDGZoom(解脱者)', '17:53 JDGYagao(未来守护者) 击杀了 EDGScout(离群之刺)', '17:55 EDGJinoo(刀锋舞者) 击杀了 JDGYagao(未来守护者)']"
216,51,43,54,43,48,47,55,44,48,48,45,55,48,54,55,45,46,72,47,53,29823,2,32851,1,[]
217,51,43,54,43,48,47,55,44,48,48,41,57,37,50,55,45,45,72,41,54,29874,2,33046,1,[]
218,51,43,54,43,48,47,55,44,48,48,40,57,24,47,55,45,51,83,41,53,29925,2,33097,1,[]
