,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEJiumeng, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
236,53,85,33,27,23,13,41,57,32,28,56,67,42,32,35,18,51,46,52,49,0,1,0,2,[]
237,46,82,29,32,25,10,38,58,26,29,61,62,42,18,29,6,46,38,46,38,0,1,0,2,[]
238,40,73,29,21,27,11,32,54,30,18,73,71,39,15,28,6,46,38,41,30,0,1,0,2,[]
239,32,66,31,21,26,11,33,41,31,21,78,83,37,15,31,6,91,6,36,16,0,1,0,2,[]
240,46,73,42,32,22,12,39,39,36,24,74,89,41,15,37,13,86,9,35,13,0,1,0,2,[]
241,53,86,47,38,22,13,48,48,45,23,74,89,50,19,37,13,78,19,40,16,0,1,0,2,[]
242,59,91,47,35,26,10,44,42,39,26,70,82,48,22,40,15,67,28,43,18,0,1,0,2,[]
243,53,92,47,35,20,13,42,41,40,36,60,72,52,30,35,10,61,37,45,16,0,2,0,2,[]
244,56,93,43,44,23,27,42,41,34,39,57,68,54,32,43,11,56,41,95,4,0,2,0,2,[]
245,53,93,49,51,21,24,11,91,34,39,57,68,54,32,48,20,58,40,83,12,0,2,0,2,[]
246,53,93,49,51,19,13,25,78,11,91,91,15,92,8,47,17,55,43,73,22,0,2,0,2,[]
247,12,91,49,51,20,13,34,68,22,79,88,30,86,17,35,13,56,42,65,33,0,2,0,2,[]
248,25,77,42,59,16,18,44,58,30,68,89,43,76,25,30,10,56,40,58,42,0,2,0,2,[]
249,35,65,42,59,16,18,50,49,40,59,88,57,65,26,38,9,58,42,58,40,0,2,0,2,[]
250,39,54,9,85,11,85,45,53,42,46,87,70,54,31,45,9,57,42,58,41,0,2,0,2,[]
251,43,57,21,74,22,74,47,51,42,41,84,81,42,32,46,11,55,42,54,42,0,2,0,2,[]
252,41,53,35,62,34,66,47,51,40,40,77,88,47,33,95,4,54,46,53,47,0,2,0,2,[]
