,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,RWZWuJi, ,RWHolder, ,RWWeiYan, ,RWHuaTian, ,RWKillua, ,blue_economics,blue_towers,red_economics,red_towers,captions
220,53,20,80,42,78,39,81,40,81,41,72,30,65,26,67,33,73,29,73,31,0,4,0,0,[]
221,52,21,82,48,92,47,85,50,87,50,68,26,58,22,78,33,83,23,72,26,0,4,0,0,[]
222,51,21,80,39,91,48,88,49,88,50,55,22,51,20,87,32,91,12,76,28,0,4,0,0,[]
223,43,23,71,41,91,46,87,50,90,44,52,21,48,18,88,33,93,6,88,32,0,4,0,0,[]
224,44,23,63,33,87,45,75,49,93,51,63,24,46,9,87,31,90,18,90,34,0,5,0,0,[]
225,44,24,67,26,87,48,63,50,93,52,70,23,49,16,80,30,85,28,82,30,0,5,0,0,[]
226,45,23,67,26,88,41,58,43,89,51,73,23,60,24,68,26,72,27,68,26,0,5,0,0,[]
227,46,23,67,26,88,39,60,41,79,48,73,23,72,26,70,25,70,26,72,28,0,5,0,0,[]
228,41,17,67,26,90,38,56,41,79,48,73,23,86,29,73,28,77,29,85,30,0,5,0,0,[]
229,37,14,67,26,90,37,47,36,5,95,73,23,91,30,70,22,66,34,88,29,0,5,0,0,[]
230,40,16,67,26,91,37,47,34,11,83,73,23,90,32,67,20,64,36,89,26,0,5,0,0,[]
231,39,16,67,26,87,46,45,35,20,75,73,23,89,19,57,11,68,29,90,14,0,5,0,0,[]
232,41,15,67,26,87,46,42,45,30,66,73,23,93,9,50,8,80,31,93,4,0,5,0,0,[]
233,46,12,67,26,4,90,42,45,39,58,89,14,92,9,48,8,88,40,85,11,0,5,0,0,[]
234,43,9,67,26,12,75,2,96,47,49,79,21,79,10,58,8,89,42,75,14,0,5,0,0,[]
235,44,10,6,89,17,64,12,90,47,51,70,29,66,10,54,18,89,40,65,21,0,5,0,0,[]
236,36,15,13,78,23,48,21,81,48,50,61,37,54,10,48,19,89,40,60,25,0,5,0,0,[]
237,37,15,17,65,24,40,29,72,49,48,65,39,41,9,41,14,89,40,58,33,0,5,0,0,[]
238,33,16,23,55,28,31,37,62,44,54,69,40,43,8,48,15,90,46,56,42,0,5,0,0,[]
239,33,16,18,47,28,20,49,52,50,47,68,40,41,8,47,23,89,49,59,36,0,5,0,0,[]
240,15,95,17,44,31,18,51,45,48,42,67,43,43,8,48,23,91,46,52,34,0,5,0,0,[]
241,29,93,25,38,27,18,45,39,41,37,67,36,47,6,51,21,91,46,54,32,0,5,0,0,[]
242,43,91,32,36,24,13,43,36,41,37,64,33,47,6,95,4,89,7,95,4,0,5,0,0,[]
243,53,86,35,29,32,16,48,35,41,30,66,29,93,19,85,7,73,10,83,11,0,5,0,0,[]
244,57,83,42,25,44,13,47,36,47,37,64,23,81,26,77,19,60,9,70,18,0,5,0,0,[]
245,58,83,48,21,43,10,50,45,53,45,66,25,68,26,65,20,45,9,59,24,0,5,0,0,[]
246,69,80,43,12,34,10,51,43,52,42,57,22,55,21,55,20,40,8,55,21,0,5,0,0,[]
247,81,78,42,10,36,11,40,26,40,26,46,16,45,14,44,16,39,6,45,14,0,5,0,0,[]
248,86,78,38,7,33,9,48,20,48,19,40,10,40,7,42,9,39,6,38,8,0,5,0,0,[]
249,43,15,38,7,40,8,48,10,49,9,52,5,53,7,48,7,39,6,40,5,0,5,0,0,[]
250,58,8,38,7,50,7,48,6,50,6,55,5,59,10,55,6,39,6,38,5,0,5,0,0,['20:49 BLGJinjiao(³Í½äÖ®¼ý) »÷É±ÁË RWZWuJi(Ê¥Ç¹ÓÎÏÀ)']
