,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
182,57,46,59,69,58,43,55,42,59,45,6,28,78,90,74,87,69,31,65,39,25643,2,24350,0,['15:10 RWZWuJi(逆羽) 击破了防御塔']
183,55,54,54,65,55,54,50,48,56,54,6,28,71,92,71,91,63,35,59,38,25695,2,24943,0,[]
184,63,63,65,65,63,61,56,56,65,65,6,28,79,88,76,91,56,33,51,43,25749,2,25024,1,['15:16 FPX 击破了防御塔']
185,66,66,68,66,66,68,60,61,67,69,6,28,83,88,76,91,59,35,40,40,25900,2,25074,1,[]
186,57,59,58,63,62,69,47,54,62,60,9,29,83,88,93,8,58,39,41,32,25994,2,25150,1,['15:28 RW 击杀了水龙']
187,50,52,62,75,59,69,36,57,62,57,11,22,82,5,89,17,58,38,41,32,26225,2,25243,1,[]
188,49,53,68,82,2,96,24,57,55,55,10,25,69,7,76,18,55,43,92,5,26316,2,25452,1,[]
189,50,55,64,89,6,88,14,49,53,64,8,18,57,10,64,21,60,37,80,13,26412,2,25604,1,[]
190,46,56,67,93,12,77,9,37,53,64,8,18,45,13,53,21,60,34,70,25,26506,2,25670,1,[]
191,46,56,69,90,17,64,9,31,3,95,94,8,41,17,42,24,56,39,58,33,26792,2,25789,1,[]
192,7,88,80,83,18,50,9,31,5,93,92,26,41,16,29,19,50,46,45,36,26848,2,25974,1,[]
193,17,78,84,83,17,46,10,25,15,80,90,41,34,17,20,14,48,49,35,39,27073,2,26156,1,[]
194,26,70,83,80,20,52,6,25,22,71,89,59,22,25,14,16,43,44,30,39,27179,2,26265,1,[]
195,35,62,89,73,21,54,5,38,18,60,93,72,12,24,8,28,43,44,20,38,27312,2,26446,1,[]
196,40,58,89,75,26,52,7,47,23,52,91,71,8,28,7,28,49,47,31,38,27378,2,27078,1,[]
197,46,53,90,76,32,47,7,47,34,48,92,71,14,21,11,24,49,48,44,39,27500,2,27129,2,['16:22 FPXDoinb(刀锋舞者) 击破了防御塔']
198,47,52,86,79,40,50,7,94,43,52,92,72,19,25,10,19,53,49,47,37,27613,2,27250,2,[]
199,50,49,83,81,42,47,12,89,49,48,84,65,20,25,9,26,60,38,47,37,27890,2,27356,2,[]
200,53,45,87,82,40,41,11,74,58,43,92,73,33,22,12,24,61,38,89,7,28102,2,27539,2,[]
201,45,44,83,79,39,42,11,61,48,46,88,76,43,24,12,23,67,32,78,16,28184,2,27747,2,[]
202,39,43,78,85,34,38,9,49,38,41,91,71,44,34,95,4,67,31,69,28,28327,2,27849,2,[]
203,32,46,78,85,24,32,8,46,32,32,91,71,51,34,85,10,67,31,58,38,28511,2,28041,2,[]
204,42,52,8,93,34,38,20,50,34,36,87,70,62,37,76,19,90,7,55,43,28626,2,28092,2,[]
205,50,50,18,84,43,42,33,43,42,42,89,82,73,43,67,26,80,16,61,39,28719,2,28158,2,[]
206,44,42,27,73,40,31,42,34,41,30,83,85,72,42,58,31,71,25,59,35,28801,2,28423,2,[]
207,41,31,35,63,43,22,41,30,47,23,85,83,67,42,57,44,64,36,60,41,28851,2,28558,2,[]
208,44,24,43,56,43,24,41,36,43,24,77,76,66,54,56,56,57,47,52,48,29002,2,28609,2,[]
209,41,31,41,55,42,35,32,35,41,36,69,67,61,61,50,65,50,53,54,51,29056,2,28847,2,[]
210,43,42,46,55,46,45,43,43,44,44,58,66,54,62,49,65,54,50,54,52,29348,2,28949,2,[]
211,44,51,43,55,44,51,45,43,45,53,58,69,54,65,50,65,53,52,54,49,29478,2,29061,2,[]
212,43,54,43,56,41,61,40,41,44,56,68,81,57,74,57,67,55,50,54,50,29529,2,29313,2,[]
213,40,58,38,66,38,64,28,34,40,62,68,90,57,82,62,63,49,51,56,58,29579,2,29495,2,[]
214,37,59,40,71,31,55,17,23,40,62,68,92,55,82,75,60,54,49,57,69,29723,2,29676,2,[]
215,39,55,35,80,33,42,11,21,6,95,62,91,55,81,84,57,51,50,50,77,29837,2,29850,2,[]
216,42,54,42,90,33,35,20,13,15,88,55,91,56,82,84,57,50,51,47,76,29889,2,30017,2,[]
217,39,56,51,93,36,28,19,12,24,81,63,90,56,82,82,56,53,49,52,76,30205,2,30154,2,[]
218,40,54,51,93,42,25,26,13,30,70,62,85,83,9,82,56,59,38,52,76,30374,2,30204,2,[]
219,42,52,53,90,45,36,25,25,38,60,62,85,73,17,95,4,54,32,92,5,30490,2,30275,2,[]
220,48,49,56,92,43,42,27,36,47,53,60,87,62,23,89,5,56,32,79,15,30582,2,30346,2,[]
