,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,TESMoyu, ,TESAKi, ,TESKnight9, ,TESLokeN, ,TESQiuQiu, ,blue_economics,blue_towers,red_economics,red_towers,captions
174,12,89,52,77,23,42,78,83,83,89,31,8,46,16,78,18,92,16,92,25,0,0,0,1,[]
175,19,78,47,70,19,49,80,77,86,82,26,12,48,21,70,28,91,27,90,38,0,0,0,1,[]
176,27,69,50,66,19,47,86,82,85,82,20,13,45,23,61,37,90,39,89,51,0,0,0,1,[]
177,37,61,57,69,25,46,88,82,83,81,18,14,46,23,53,48,89,50,86,63,0,0,0,1,[]
178,45,55,66,77,22,50,91,74,88,75,27,14,49,25,51,49,90,62,88,67,0,0,0,1,[]
179,46,53,78,76,33,47,91,76,88,75,34,22,59,33,53,50,91,68,89,70,0,0,0,1,[]
180,47,54,76,68,24,50,88,78,82,78,41,31,68,40,52,50,92,72,90,71,0,0,0,1,[]
181,48,55,75,58,11,46,86,83,79,76,48,34,74,43,52,49,86,76,89,80,0,0,0,1,[]
182,55,58,74,62,7,39,86,84,78,76,55,32,77,53,60,51,89,77,88,76,0,0,0,1,[]
183,56,62,78,73,7,34,86,83,80,81,62,37,74,63,65,57,89,77,89,75,0,0,0,1,[]
184,47,57,78,74,8,36,78,84,73,72,66,46,74,64,61,51,84,78,84,79,0,0,0,1,[]
185,48,59,71,77,6,33,78,81,72,78,66,57,74,74,57,55,79,74,77,77,0,0,0,1,[]
186,75,72,74,76,77,72,77,74,73,75,72,66,76,67,67,63,81,68,76,73,0,0,0,1,['15:29 SNMaple(万花通灵) 击杀了 TESQiuQiu(河流之王)']
187,76,77,78,77,75,76,79,74,77,78,71,67,76,67,73,67,87,63,76,73,0,0,0,1,['15:31 SNSmlz(圣枪游侠) 击杀了 TESAKi(解脱者)']
188,73,73,72,70,72,69,81,84,74,70,68,62,76,67,65,62,88,60,76,73,0,0,0,1,[]
189,70,67,71,70,71,67,82,82,73,64,66,59,76,67,63,62,87,61,76,73,0,0,0,1,[]
190,68,64,71,69,69,64,84,78,70,65,64,53,76,67,62,62,85,63,76,73,0,0,0,1,[]
191,66,64,71,69,69,61,88,70,70,65,65,56,76,67,64,57,81,66,76,73,0,0,0,1,['15:55 SN 击杀了水龙']
192,57,64,73,71,73,63,85,65,74,63,66,56,76,67,67,60,81,68,94,9,0,0,0,1,['15:58 SNSmlz(圣枪游侠) 击杀了 TESLokeN(寒冰射手)']
