,TES369, ,TESAKi, ,TESKnight9, ,TESQiuQiu, , , ,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
140,8,16,8,17,81,77,79,83,78,79,16,16,40,17,44,44,75,72,75,67,0,0,0,0,[]
141,15,15,16,16,69,78,82,83,81,84,20,13,41,16,47,51,78,63,75,58,0,0,0,0,[]
142,8,24,8,25,58,71,84,84,80,85,16,15,36,18,38,43,87,68,84,66,0,0,0,0,[]
143,7,28,5,31,50,62,85,86,82,82,13,18,27,21,26,37,87,74,87,74,0,0,0,0,[]
144,5,39,4,93,45,53,89,76,87,73,9,28,23,32,19,36,93,70,87,67,0,0,0,0,[]
145,4,46,9,93,55,55,87,76,89,75,8,25,23,46,24,42,88,67,88,67,0,0,0,0,[]
146,4,46,22,87,63,62,87,77,87,79,10,23,22,41,25,37,84,65,84,67,0,0,0,0,[]
147,4,41,33,78,69,64,87,71,90,73,13,22,17,43,38,38,93,66,84,66,0,0,0,0,[]
148,5,30,47,75,72,67,89,73,91,74,13,22,17,43,54,44,92,66,86,66,0,0,0,0,[]
149,7,27,52,74,68,67,88,75,90,74,92,4,22,42,52,46,89,69,86,65,0,0,0,0,[]
150,6,25,52,76,57,61,87,77,88,77,79,6,22,42,51,47,92,60,85,66,0,0,0,0,[]
151,9,15,64,77,48,55,89,76,88,76,65,7,90,6,54,47,92,60,95,4,0,0,0,0,[]
152,16,15,69,78,45,55,86,75,90,77,51,9,79,17,53,46,94,6,88,15,0,0,0,0,[]
153,11,20,78,75,49,52,90,71,92,74,36,10,74,27,53,48,93,12,77,26,0,0,0,0,[]
154,11,20,84,78,48,56,91,71,92,73,27,8,66,38,54,44,92,24,67,37,0,0,0,0,[]
155,2,95,77,78,43,59,89,78,91,73,22,13,66,51,53,48,92,37,67,51,0,0,0,0,[]
156,7,83,66,78,45,55,89,69,90,71,16,22,60,62,51,48,93,49,59,63,0,1,0,0,"['13:0 TES »÷ÆÆÁË·ÀÓùËþ,»ñµÃÒ»Ëþ']"
157,10,71,58,70,43,54,90,69,89,69,12,23,49,60,51,52,90,61,48,59,0,1,0,0,[]
158,10,58,56,65,43,56,84,79,83,79,11,25,50,47,47,49,92,66,50,51,0,1,0,0,[]
159,10,45,63,62,47,50,80,82,83,79,9,27,47,29,49,41,90,63,56,49,0,1,0,0,[]
160,8,33,56,64,46,54,80,82,4,95,7,28,49,26,49,35,90,58,65,57,0,1,0,0,[]
161,8,29,46,63,54,64,7,93,11,91,12,18,51,27,49,35,93,57,62,50,0,1,0,0,[]
162,16,40,46,68,61,74,16,88,19,83,12,18,59,34,49,35,92,55,50,41,0,1,0,0,[]
163,15,40,50,80,73,78,27,82,28,74,12,20,72,42,90,6,88,56,48,41,0,1,0,0,[]
164,9,29,57,84,80,76,38,76,39,72,13,19,71,41,79,15,86,65,51,49,0,1,0,0,[]
165,5,29,64,82,83,78,51,78,49,66,8,16,63,41,70,27,89,69,51,49,0,1,0,0,[]
166,7,30,74,76,84,78,57,68,50,59,8,17,52,37,61,38,87,67,50,41,0,1,0,0,[]
167,7,30,77,69,78,72,56,62,46,55,8,18,46,36,52,47,83,60,43,41,0,1,0,0,[]
168,11,32,75,67,78,74,56,62,48,53,11,18,44,45,53,50,78,50,44,46,0,1,0,0,[]
169,11,32,70,69,75,89,48,60,42,58,11,21,43,57,45,57,67,52,44,57,0,1,0,0,['14:4 JDGKanavi(¾ÆÍ°) »÷É±ÁË TESLokeN(»úÐµÏÈÇý)']
170,8,32,58,68,77,87,46,57,42,58,17,23,45,52,51,52,58,55,44,53,0,1,0,0,[]
171,7,28,52,63,79,82,45,51,42,58,28,32,43,42,51,49,52,48,43,44,0,1,0,0,[]
172,12,34,52,63,87,73,41,55,42,58,21,29,41,32,60,49,48,51,44,39,0,1,0,0,[]
173,17,34,8,94,84,64,44,55,42,58,23,35,41,32,67,48,47,51,44,39,0,1,0,0,[]
174,11,32,22,87,87,63,42,57,42,58,19,32,93,6,81,50,46,50,90,6,0,1,0,0,[]
