,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,DMOChanghong, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
167,10,19,46,64,50,49,67,93,46,79,19,23,66,64,63,51,73,70,69,66,24106,0,21254,0,['13:53 DMO 击杀了土龙']
168,14,18,47,71,48,52,67,93,59,84,21,12,69,54,57,45,81,79,69,66,24195,0,21299,0,[]
169,15,16,48,73,46,49,5,96,71,82,31,8,76,52,55,46,82,83,85,10,24309,0,21525,0,[]
170,14,16,47,74,49,59,13,96,70,82,27,10,72,53,63,51,81,83,77,19,24527,0,21711,0,[]
171,11,18,45,72,49,59,25,94,79,89,23,11,78,55,62,50,86,74,70,29,24578,0,21871,0,[]
172,11,18,4,93,4,94,37,93,76,88,33,11,67,62,57,44,86,74,67,41,24629,0,21921,0,[]
173,5,90,10,80,9,85,50,92,73,86,37,15,67,64,54,47,94,6,66,47,24682,0,22098,0,[]
174,7,81,18,65,20,75,61,92,69,82,39,15,60,57,51,49,92,19,63,62,24732,0,22259,0,[]
175,8,69,23,57,31,67,70,88,70,88,32,17,55,60,50,51,91,32,59,56,24812,0,22463,0,[]
176,8,56,25,59,40,58,79,84,77,86,30,16,55,62,44,56,91,45,55,59,25132,0,22548,0,[]
177,8,44,35,63,40,58,77,85,79,85,17,15,54,50,49,55,89,57,59,56,25476,0,22669,0,[]
178,10,32,46,67,40,61,72,84,72,85,16,18,52,36,50,47,89,70,69,63,25550,0,22873,0,[]
179,12,22,57,67,48,66,63,76,63,76,25,13,53,36,54,47,91,71,75,64,25778,0,23188,0,[]
180,21,21,61,62,54,58,58,66,58,63,37,14,56,32,54,45,87,73,80,66,25830,0,23281,0,[]
181,15,20,63,61,49,52,59,71,66,56,45,16,59,41,59,41,82,83,75,61,25951,0,23461,0,[]
182,15,19,72,66,49,53,67,80,71,67,42,15,67,42,58,44,86,80,79,64,26121,0,23521,0,[]
183,19,17,63,61,58,57,72,89,70,80,30,10,66,46,58,44,87,70,75,58,26258,0,23623,0,[]
184,25,10,52,57,54,49,74,88,68,80,30,6,69,48,89,13,82,63,75,54,26308,0,23758,0,[]
185,23,12,56,57,51,49,67,79,59,69,31,11,68,45,79,24,78,52,70,49,26423,0,23808,0,[]
186,20,11,66,56,52,50,59,70,63,58,37,10,59,44,68,33,68,46,66,48,26653,0,23863,0,[]
187,17,13,65,52,54,48,62,60,67,54,37,10,52,43,60,43,60,42,66,48,26775,0,23956,0,[]
188,19,14,64,57,54,54,66,59,63,57,89,4,57,45,58,47,58,42,66,47,26915,0,24073,0,[]
189,25,10,66,55,55,46,74,68,64,59,76,5,63,41,58,41,64,41,66,46,28116,1,24211,0,"['15:45 LNGPlex(万花通灵) 击破了防御塔,获得一塔']"
190,30,16,72,62,55,56,81,79,75,62,63,7,75,43,60,44,72,42,74,52,28186,2,24289,0,['15:47 LNGFlandre(机械先驱) 击破了防御塔']
191,39,10,74,62,61,61,83,83,75,63,51,7,77,46,57,46,81,50,82,59,28467,2,24417,0,[]
192,33,11,73,63,53,56,87,76,73,68,37,9,79,56,56,46,87,60,83,66,28685,2,24527,0,[]
193,21,13,73,70,52,51,84,79,73,77,25,12,84,58,66,40,89,72,79,64,28781,2,24710,0,[]
194,16,14,65,77,56,54,78,86,82,90,15,14,83,58,57,45,90,75,88,69,28834,2,25414,0,['16:10 DMOChanghong(狂暴之心) 击杀了 LNGFlandre(机械先驱)']
195,16,14,55,83,53,47,81,85,82,90,23,12,82,60,61,38,87,70,88,72,28929,2,25506,0,[]
196,16,14,56,83,56,46,81,84,2,96,28,9,82,60,60,36,87,67,87,68,29079,2,25596,0,[]
197,16,14,57,83,54,48,86,85,16,94,20,12,91,4,59,39,95,4,87,68,29253,2,25647,0,[]
198,16,14,56,83,53,51,88,78,31,93,10,18,91,4,57,43,94,17,89,14,29368,2,25740,0,[]
199,16,14,56,83,50,51,84,82,45,91,16,15,81,12,60,37,92,31,80,23,29580,2,25964,0,[]
200,16,14,7,87,50,51,86,83,59,88,14,15,73,23,66,36,91,44,70,33,29631,2,26133,0,[]
201,16,14,13,74,3,95,84,87,69,80,21,12,67,35,67,33,90,58,66,44,29682,2,26188,0,[]
202,2,96,25,57,12,82,84,87,75,68,21,12,66,50,67,47,93,69,66,52,29823,2,26473,0,[]
203,9,28,32,42,23,72,13,95,80,76,93,4,62,61,64,57,87,73,59,58,29946,2,26554,0,[]
204,11,22,31,37,34,64,26,94,68,78,85,4,69,64,56,55,83,79,66,62,30123,2,26606,0,[]
205,15,16,40,36,43,54,39,93,57,69,71,6,75,66,52,50,85,82,76,62,30363,2,26926,0,[]
206,20,23,46,40,48,47,52,91,57,68,58,7,72,68,58,50,79,78,69,65,30425,2,26981,0,[]
207,23,36,47,52,46,53,65,93,56,67,46,8,69,79,65,58,73,89,67,68,30518,2,27032,0,[]
208,23,46,46,64,48,51,61,94,59,77,45,9,62,85,70,68,68,90,72,77,30632,2,27160,0,[]
209,20,45,48,65,49,48,59,90,60,74,45,7,68,91,74,69,73,91,71,87,30836,2,27238,0,[]
210,15,41,56,61,51,49,58,89,50,79,57,8,72,90,76,56,73,90,71,91,31149,2,28096,1,['17:29 DMOGALA(战争女神) 击破了防御塔']
211,15,38,64,57,56,49,65,90,61,83,67,13,78,80,74,42,77,85,76,86,31200,2,28149,1,[]
212,13,35,69,66,66,56,73,87,70,79,62,12,75,68,66,36,78,74,78,74,31395,2,28258,1,[]
213,11,24,77,61,75,62,71,87,79,74,50,10,87,61,65,33,87,73,86,75,31610,2,28440,1,[]
214,11,23,67,62,63,58,70,88,77,75,44,13,82,51,67,33,92,68,87,71,31751,2,28491,1,[]
215,13,19,57,56,52,51,72,85,72,83,45,14,72,42,57,33,92,68,87,71,32029,2,28554,1,[]
216,11,20,67,60,52,50,80,83,73,72,46,14,61,36,59,35,92,5,84,7,32109,2,28707,1,[]
