,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDKui, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
188,27,37,31,44,52,63,44,46,32,45,81,81,31,36,53,41,15,20,36,38,0,1,0,2,[]
189,34,30,32,42,37,26,41,37,37,38,83,82,38,27,45,34,27,22,45,32,0,1,0,2,['15:44 FPXDoinb(°µÒá½£Ä§) »÷É±ÁË LGDKui(Ðé¿Õ¶ÝµØÊÞ)']
190,25,27,33,38,35,17,35,39,33,35,77,87,38,27,51,41,38,16,42,38,0,1,0,2,[]
191,29,21,28,36,29,23,34,47,34,38,65,89,38,27,46,39,40,17,41,31,0,1,0,2,[]
192,21,23,25,36,19,31,45,52,37,49,63,89,38,27,52,47,30,18,30,22,0,1,0,2,[]
193,11,24,2,96,15,34,46,51,35,48,62,85,38,27,52,46,21,23,23,29,0,1,0,2,[]
194,8,23,7,89,6,42,47,54,24,50,62,85,38,27,51,51,16,22,18,35,0,1,0,2,[]
195,6,26,13,76,5,44,41,60,11,46,91,6,90,5,46,45,12,23,15,32,0,1,0,2,[]
196,5,30,24,71,2,96,40,55,10,43,83,12,78,13,45,46,17,22,15,32,0,1,0,2,[]
197,13,34,37,66,16,94,39,58,14,36,75,21,66,20,47,51,14,22,90,6,0,1,0,2,[]
198,11,30,45,66,31,92,44,57,19,45,67,31,58,29,46,50,13,22,78,13,0,1,0,2,[]
199,11,22,45,68,39,91,43,56,27,50,58,41,54,33,47,49,17,16,65,20,0,1,0,2,[]
200,9,22,49,79,52,89,40,56,40,50,48,49,46,33,47,54,14,17,55,30,0,1,0,2,[]
201,6,26,54,83,62,90,35,59,31,51,42,53,40,36,43,57,15,21,42,38,0,1,0,2,[]
202,8,29,54,84,63,88,36,60,32,56,50,53,33,42,44,51,21,27,32,48,0,1,0,2,[]
203,11,31,55,84,72,86,37,57,31,58,63,57,32,44,46,51,20,23,36,48,0,1,0,2,[]
204,11,33,50,78,71,78,44,55,41,59,74,62,31,46,50,50,12,21,29,50,0,1,0,2,[]
205,6,39,57,70,85,79,42,56,34,64,85,66,32,44,49,43,13,21,23,47,0,1,0,2,[]
206,8,49,64,63,86,76,40,56,33,64,89,71,22,40,42,39,9,27,16,44,0,1,0,2,[]
207,5,46,78,63,87,73,40,53,41,59,91,70,20,35,45,40,8,26,14,33,0,1,0,2,[]
208,5,45,89,65,87,74,48,51,53,52,93,70,23,35,53,44,8,28,14,33,0,1,0,2,[]
209,5,44,90,63,87,73,49,52,55,57,93,68,23,35,55,47,8,33,94,8,0,1,0,3,['17:25 LGDKramer(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
210,5,44,93,65,89,69,49,51,65,59,93,67,92,14,69,50,9,31,93,26,0,1,0,3,['17:30 FPXTian(Ö©ÖëÅ®»Ê) »÷É±ÁË LGDLies(Íò»¨Í¨Áé)']
211,5,45,83,66,87,65,56,49,75,63,93,67,87,25,64,41,9,27,90,41,0,1,0,3,[]
212,7,41,84,59,87,61,53,50,69,63,93,67,81,36,56,42,9,27,82,51,0,1,0,3,[]
213,6,39,87,66,91,70,43,57,83,66,93,67,76,40,56,41,94,7,80,54,0,1,0,3,[]
