,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,EDGJinoo, ,EDGJiejie, ,EDGScout, ,EDGiBoy, ,EDGMeiko, ,blue_economics,blue_towers,red_economics,red_towers,captions
168,29,32,24,56,28,68,5,96,2,96,26,14,41,26,46,52,87,67,87,67,22926,0,22768,0,[]
169,38,37,23,52,36,59,13,95,5,96,18,15,46,23,42,45,87,77,87,77,23068,0,22861,0,[]
170,33,34,18,44,41,55,27,94,17,92,17,16,46,23,42,45,86,81,86,81,23183,0,23128,0,[]
171,23,29,16,43,44,48,41,92,30,82,16,17,43,17,87,9,85,83,86,80,23238,0,23281,0,[]
172,19,24,16,36,42,46,55,91,39,71,19,19,43,17,76,20,86,82,87,80,23375,0,23487,0,[]
173,25,22,23,26,33,38,68,91,51,64,27,18,38,17,66,30,78,73,78,76,23448,0,23588,0,[]
174,15,22,24,35,42,44,71,91,57,66,19,9,38,14,57,41,71,64,77,71,23501,0,23679,0,[]
175,13,20,23,45,46,50,80,87,65,78,10,14,27,11,52,49,76,68,75,66,23594,0,23772,0,[]
176,15,17,24,47,45,51,79,84,75,87,12,13,15,10,50,50,80,76,80,76,23868,0,23912,0,[]
177,13,20,26,46,44,53,83,85,82,83,13,17,14,19,50,50,87,78,87,78,24158,0,24553,0,[]
178,12,25,24,44,47,50,80,82,81,79,12,21,15,22,58,47,88,77,88,77,24321,0,24661,0,['14:48 EDGJiejie(–Èø’∂›µÿ ﬁ) ª˜…±¡À BLGADD(±©≈≠∆Ô ø)']
179,12,25,13,35,48,50,74,77,76,75,8,27,12,24,66,57,84,78,84,78,24484,0,24756,0,[]
180,12,25,10,32,50,48,70,81,70,81,10,24,16,21,70,69,73,78,71,77,24690,0,24829,0,[]
181,12,25,11,33,56,55,69,88,71,87,9,21,27,30,70,82,70,81,70,82,24744,0,25374,0,[]
182,12,25,10,31,64,63,67,90,67,91,10,23,31,38,71,87,70,87,71,88,24796,0,25981,0,['15:7 EDGScout(Ω‚Õ—’ﬂ) ª˜…±¡À BLGJinjiao(«Ÿ…™œ…≈Æ)']
183,12,25,11,25,55,54,67,90,67,92,17,17,35,38,73,86,75,87,75,87,24953,0,26086,0,['15:13 EDGMeiko(ƒß∑®√®ﬂ‰) ª˜…±¡À BLGXinMo(…Ó∫£Ã©Ãπ)']
184,12,25,10,26,58,44,67,90,67,92,21,13,52,36,85,82,85,84,85,84,25006,0,26186,0,[]
185,3,87,10,26,52,47,67,90,67,92,21,13,61,43,89,83,81,83,81,83,25057,0,26237,0,[]
186,5,73,6,95,53,45,67,90,67,92,89,4,56,45,95,4,76,89,77,87,25217,0,26334,0,[]
187,6,62,18,92,51,47,67,90,67,92,82,5,63,51,95,4,79,90,78,85,25264,0,26532,0,[]
188,8,50,30,92,50,54,2,96,67,92,69,6,77,54,53,48,77,89,77,87,25402,0,26688,0,[]
189,9,37,35,81,48,53,68,91,13,94,55,7,83,58,52,49,83,85,81,84,25475,0,26825,0,[]
190,11,25,41,72,48,55,69,93,26,91,42,10,84,58,63,50,87,85,87,85,25549,0,26962,0,[]
191,14,16,46,65,47,50,69,93,39,89,32,17,84,58,65,58,95,4,95,4,26033,0,27020,0,[]
192,18,12,51,65,50,49,73,87,55,86,25,14,95,4,65,54,95,14,95,14,26170,0,27087,0,[]
193,18,12,60,62,51,52,79,87,70,85,23,13,90,13,55,46,93,30,93,30,26248,0,27348,0,[]
194,19,10,63,58,58,55,81,86,82,84,20,9,81,28,60,50,91,44,91,44,26447,0,27422,0,[]
195,17,18,65,61,61,58,84,78,83,78,20,11,74,43,56,46,89,58,89,58,26520,0,27522,0,[]
196,23,28,75,68,67,63,91,74,88,75,24,12,75,44,54,46,90,67,90,67,26619,0,27755,0,[]
197,28,36,67,62,60,59,91,74,86,76,29,9,76,48,49,49,90,61,90,61,27321,0,27806,0,[]
198,31,38,57,55,49,53,80,76,79,74,25,11,64,51,53,47,88,68,88,68,27520,1,27892,0,"['16:26 BLGJinjiao(«Ÿ…™œ…≈Æ) ª˜∆∆¡À∑¿”˘À˛,ªÒµ√“ªÀ˛']"
199,40,43,57,55,46,51,74,68,77,72,23,13,64,53,52,48,81,66,81,66,27593,1,28024,0,[]
200,41,39,59,57,49,48,81,78,85,80,22,13,66,56,57,49,81,66,79,66,27970,1,28105,0,[]
201,48,35,59,62,48,49,82,80,84,83,14,17,65,57,54,48,73,63,73,64,28070,1,28344,0,[]
