,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGkRYST4L, ,OMGHudie, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
193,18,85,39,59,15,19,39,61,36,60,49,60,47,55,48,54,47,38,48,54,0,0,0,2,[]
194,27,75,35,65,14,14,33,62,33,63,43,58,41,60,41,60,39,28,38,56,0,0,0,3,['16:9 FPXTian(狂战士) 击破了防御塔']
195,29,66,33,69,11,13,29,69,32,68,40,61,38,63,36,61,29,19,35,62,0,0,0,3,[]
196,34,74,36,67,4,96,32,63,33,66,47,59,46,58,42,58,30,12,45,58,0,0,0,3,[]
197,44,79,44,67,14,90,40,61,42,67,53,61,51,63,48,54,40,15,55,56,0,0,0,3,[]
198,55,82,43,67,18,80,39,59,39,61,65,64,64,62,53,52,37,15,56,56,0,0,0,3,[]
199,65,88,2,96,18,68,35,61,36,64,76,70,75,60,57,48,36,14,56,56,0,0,0,3,[]
200,68,91,13,87,18,55,34,63,31,67,78,82,83,56,55,53,25,11,92,4,0,0,0,3,[]
201,68,92,21,76,20,53,31,66,31,67,77,88,76,57,61,61,17,15,75,7,0,0,0,3,[]
202,67,92,30,70,14,49,35,60,3,95,76,88,69,63,51,53,22,8,67,18,0,0,0,3,[]
203,66,91,40,67,9,38,39,65,3,93,80,83,70,64,47,53,24,6,64,31,0,0,0,3,[]
204,71,91,44,70,8,33,38,63,14,84,83,89,67,63,55,59,95,4,57,43,0,0,0,3,[]
205,72,85,42,77,13,23,36,64,27,75,80,88,57,66,57,71,91,5,47,54,0,0,0,3,[]
206,71,89,47,79,13,21,38,66,41,77,79,89,57,77,62,75,81,12,54,65,0,0,0,3,[]
207,59,89,47,79,21,14,41,75,46,79,73,88,55,76,57,72,70,18,57,75,0,0,0,3,[]
208,54,85,50,75,26,10,47,79,48,77,69,79,58,70,56,63,59,23,57,69,0,0,0,3,[]
209,55,92,41,67,19,9,40,71,40,72,72,84,57,67,50,54,46,16,55,59,0,0,0,3,[]
210,56,92,31,58,18,10,39,60,36,61,83,89,95,4,47,51,34,12,47,53,0,0,0,3,[]
211,55,85,21,50,16,11,39,59,38,60,81,90,84,8,41,45,22,13,44,49,0,0,0,3,[]
212,55,85,16,44,9,14,38,61,33,60,80,88,73,14,30,39,13,15,32,39,0,0,0,3,[]
213,58,85,18,47,9,15,33,64,31,64,81,85,64,22,36,39,16,14,24,42,0,0,0,3,['17:41 FPXLwx(圣枪游侠) 击杀了 OMGicon(符文法师)']
214,52,85,12,49,9,15,32,66,19,62,82,84,58,32,45,47,13,22,22,48,0,0,0,3,[]
215,55,89,11,51,9,15,32,66,20,64,95,4,54,43,46,49,9,34,21,48,0,0,0,3,[]
216,55,93,2,96,9,15,10,94,10,60,93,15,44,51,42,51,10,36,20,52,0,0,0,3,[]
217,55,93,11,83,9,15,15,83,8,57,92,28,36,60,33,60,11,40,21,55,0,0,0,3,[]
218,55,93,21,75,9,15,23,74,18,64,90,41,33,66,33,63,13,42,28,59,0,0,0,3,[]
219,5,95,28,68,9,15,30,70,29,69,89,54,37,61,37,59,18,46,30,55,0,0,0,4,['18:13 FPXTian(狂战士) 击破了防御塔']
220,13,94,19,61,2,95,32,64,33,66,87,67,48,55,40,57,24,38,28,52,0,0,0,4,[]
221,27,93,18,54,4,83,37,58,38,63,83,78,58,62,46,53,36,40,28,52,0,0,0,4,[]
222,41,93,22,50,5,71,40,58,34,61,77,80,62,60,54,50,47,46,86,8,0,0,0,4,[]
223,55,92,31,49,6,59,36,61,32,48,71,88,65,70,63,41,51,35,74,21,0,0,0,4,[]
224,59,91,40,42,7,46,35,60,41,44,69,91,68,72,72,40,47,38,66,32,0,0,0,4,[]
225,60,92,41,31,9,33,41,51,37,42,76,87,66,70,65,40,55,45,56,43,0,0,0,4,[]
226,53,93,45,23,11,26,32,44,26,32,75,75,66,69,62,39,51,52,52,56,0,0,0,4,[]
227,54,94,42,23,19,16,31,43,25,28,69,67,71,69,95,4,48,53,54,67,0,0,0,4,['18:51 FPX 击杀了水龙']
228,48,92,30,19,25,12,31,55,25,28,62,62,71,69,88,8,50,55,45,68,0,0,0,4,[]
229,35,87,30,19,25,10,22,58,12,90,74,68,59,63,75,10,50,55,42,56,0,0,0,4,[]
230,28,76,29,20,25,10,20,70,20,77,79,79,49,65,62,10,89,4,49,47,0,0,0,4,[]
231,35,86,29,21,26,10,24,72,22,73,79,87,51,64,49,10,76,6,43,35,0,0,0,4,[]
232,47,92,5,92,20,11,28,66,24,66,67,89,46,53,38,14,69,12,32,23,0,1,0,4,['19:18 OMGicon(符文法师) 击破了防御塔']
233,52,94,7,88,15,11,31,60,32,64,60,92,39,42,44,14,56,10,28,23,0,1,0,4,[]
234,57,93,12,77,11,13,29,60,31,59,71,90,40,35,49,21,44,14,29,23,0,1,0,4,[]
235,62,90,24,71,11,13,35,61,37,61,78,80,40,35,50,33,41,15,94,4,0,1,0,4,[]
236,69,90,36,67,12,13,43,56,41,58,75,87,95,4,50,44,31,17,78,16,0,1,0,4,[]
237,71,88,43,69,12,14,38,60,38,64,79,87,86,7,49,53,20,15,68,27,0,1,0,4,[]
238,62,93,39,65,6,39,36,60,34,60,75,74,75,13,44,58,12,17,58,37,0,1,0,4,[]
