,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
142,10,59,76,62,61,60,88,79,88,77,37,10,44,24,58,44,93,70,84,66,0,0,0,0,[]
143,16,49,75,67,70,65,91,74,92,73,24,12,44,23,58,49,93,66,91,67,0,0,0,0,[]
144,23,40,73,76,62,64,88,76,89,77,13,15,44,16,50,51,92,72,92,72,0,0,0,0,[]
145,21,37,71,69,51,59,86,80,85,81,12,21,45,15,47,50,88,67,87,66,0,0,0,0,[]
146,11,31,69,63,49,50,83,83,81,80,11,21,46,16,42,41,87,68,83,66,0,0,0,0,[]
147,7,31,71,64,55,57,84,82,77,69,11,28,46,16,50,43,91,74,89,71,0,0,0,0,[]
148,6,31,68,62,57,59,85,78,79,73,12,24,47,22,54,47,93,71,90,70,0,0,0,0,[]
149,7,26,60,57,54,56,88,77,88,77,20,27,49,26,46,50,93,70,91,70,0,0,0,0,[]
150,10,30,52,54,52,55,85,81,87,79,27,37,52,29,49,47,92,72,88,68,0,0,0,0,[]
151,15,18,43,55,48,55,83,83,84,83,32,44,44,38,52,48,87,66,79,65,0,0,0,0,[]
152,18,13,30,58,46,50,82,82,81,80,30,34,50,35,54,45,87,68,73,65,0,0,0,0,[]
153,19,20,25,57,43,51,86,82,82,80,25,25,47,33,55,44,91,74,80,65,0,0,0,0,[]
154,22,12,22,54,45,55,90,76,90,74,27,13,48,34,54,51,93,69,90,68,0,0,0,0,[]
155,19,18,23,46,37,50,89,75,88,76,24,10,60,36,58,57,90,70,90,70,0,0,0,0,[]
156,19,24,20,46,33,49,85,78,89,77,14,18,68,46,50,52,92,72,93,65,0,0,0,0,[]
157,16,19,16,44,44,51,84,83,85,85,13,18,77,52,51,50,89,73,93,64,0,0,0,0,[]
158,12,18,15,39,51,47,83,83,83,85,17,14,76,59,61,43,88,79,95,4,0,0,0,0,[]
159,15,13,11,32,45,43,81,89,83,89,14,13,78,65,62,42,86,77,93,10,0,0,0,0,[]
160,16,14,11,27,45,43,80,90,81,91,26,7,77,63,94,5,87,74,85,18,0,0,0,0,[]
161,20,22,11,27,5,95,2,96,2,96,36,6,94,4,82,12,86,65,75,25,0,0,0,0,[]
162,21,13,13,92,15,88,4,96,5,94,25,8,81,7,65,26,88,70,64,25,0,0,0,0,[]
163,16,16,24,86,23,79,72,89,34,68,25,7,68,7,52,32,85,80,56,29,0,0,0,0,[]
164,12,21,34,78,31,69,81,84,46,67,20,13,53,8,50,44,90,77,47,36,0,0,0,0,[]
