,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,LGDLies, ,LGDRD, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
121,37,9,38,15,31,39,87,79,64,67,51,52,93,5,44,11,86,65,85,65,0,0,0,0,[]
122,31,9,34,16,36,49,83,81,69,68,48,53,84,9,42,7,87,73,76,62,0,0,0,0,[]
123,34,8,38,11,42,56,88,81,81,76,44,58,72,14,42,7,87,75,77,54,0,0,0,0,[]
124,29,8,30,19,45,55,85,87,79,83,48,53,60,12,39,6,88,73,70,50,0,0,0,0,[]
125,29,8,38,27,45,54,85,88,74,88,51,53,50,17,41,6,90,71,59,50,0,0,0,0,['10:25 FPXDoinb(万花通灵) 击杀了 LGDLies(机械先驱)']
126,27,8,42,38,48,54,4,96,74,88,51,54,37,16,32,9,89,71,55,43,0,0,0,0,['10:26 LGDPyl(光辉女郎) 击杀了 FPXDoinb(万花通灵)']
127,19,9,48,47,48,54,12,95,6,90,51,54,29,20,25,11,87,78,54,46,0,0,0,0,[]
128,17,9,47,51,48,54,23,94,15,80,51,54,39,28,24,10,85,81,56,46,0,0,0,0,[]
129,18,11,39,42,48,54,34,93,26,69,51,54,41,32,25,11,86,79,51,45,0,0,0,0,[]
130,16,10,32,34,48,54,45,92,31,58,51,54,40,30,27,11,87,71,52,46,0,0,0,0,[]
131,15,16,33,31,3,93,56,92,34,42,91,6,37,25,27,14,87,71,47,39,0,0,0,0,[]
132,20,27,32,32,33,38,67,90,40,37,83,14,30,22,30,18,95,4,49,33,0,0,0,0,[]
133,24,26,26,29,26,30,77,86,37,26,74,22,24,25,26,23,96,4,43,35,0,0,0,0,[]
134,21,21,26,29,22,26,82,84,28,16,67,31,23,25,27,14,93,11,42,32,0,0,0,0,['11:7 FPXDoinb(万花通灵) 击杀了 LGDRD(巨魔之王)']
135,23,29,26,31,16,18,83,82,25,24,58,39,23,25,26,16,93,16,46,32,0,0,0,0,[]
136,31,38,25,29,18,18,86,76,32,17,52,48,23,25,25,12,90,71,46,32,0,0,0,0,[]
137,33,47,27,31,27,14,85,78,38,10,53,48,93,7,34,6,92,71,93,5,0,0,0,0,[]
138,43,52,27,20,34,10,87,76,35,10,49,52,88,19,48,6,87,69,93,9,0,0,0,0,[]
139,43,54,28,10,27,10,84,82,33,17,49,51,81,31,54,5,87,76,92,17,0,0,0,0,[]
140,43,53,27,10,25,10,79,84,32,17,48,52,80,44,54,5,85,79,91,29,0,0,0,0,[]
141,43,53,28,8,25,10,80,85,3,96,54,47,76,56,93,7,85,83,90,41,0,0,0,0,[]
142,41,53,27,7,25,10,81,84,16,93,56,47,68,64,90,13,86,83,84,51,0,1,0,0,"['11:48 FPXTian(狂战士) 击破了防御塔,获得一塔']"
143,2,96,3,96,3,96,78,86,32,89,66,54,66,68,82,21,79,75,75,59,0,1,0,0,[]
144,4,95,14,91,15,92,79,78,44,82,68,63,63,62,73,30,71,67,66,65,0,1,0,0,[]
145,49,53,25,85,26,85,75,69,56,75,64,60,63,62,66,39,68,63,63,62,0,1,0,0,[]
146,60,58,34,77,36,76,75,71,57,63,65,63,61,60,66,54,66,62,64,61,0,1,0,0,[]
147,53,56,46,68,48,67,73,67,56,64,63,63,62,61,65,62,66,63,67,64,0,1,0,0,['12:13 LGDPyl(光辉女郎) 击杀了 FPXGimGoon(解脱者)']
148,53,56,57,63,59,72,75,72,66,62,72,64,70,64,75,63,73,63,73,63,0,1,0,0,[]
149,53,56,68,64,69,78,75,73,65,64,77,62,73,63,75,63,78,63,76,62,0,1,0,0,[]
150,53,56,62,62,76,72,83,80,62,60,71,64,70,67,72,63,74,64,72,64,0,1,0,0,[]
151,53,56,70,66,73,70,78,73,67,64,73,62,74,63,75,63,77,64,75,59,0,1,0,0,[]
152,53,56,66,69,73,71,74,72,67,63,74,65,74,63,75,66,76,62,77,65,0,1,0,0,[]
153,8,94,68,68,73,66,74,71,71,64,72,64,69,65,75,65,74,63,77,64,0,1,0,0,['12:44 FPXTian(狂战士) 击杀了 LGDLies(机械先驱)']
154,19,87,67,70,72,65,73,68,69,64,72,64,68,69,74,62,74,62,77,64,0,1,0,0,"['12:49 FPXTian(狂战士) 击杀了 LGDRD(巨魔之王)', '12:50 LGDRD(巨魔之王) 击杀了 FPXTian(狂战士)']"
155,30,82,67,70,74,64,76,58,76,61,72,64,68,69,75,58,74,62,79,63,0,1,0,0,"['12:52 FPXDoinb(万花通灵) 击杀了 LGDKramer(战争女神)', '12:54 LGDPyl(光辉女郎) 击杀了 FPXLwx(圣枪游侠)', '12:54 FPXCrisp(深海泰坦) 击杀了 LGDYuuki(天启者)']"
156,40,71,67,70,75,67,76,58,76,61,72,64,68,69,75,58,74,62,78,59,0,1,0,0,['12:59 FPXDoinb(万花通灵) 击杀了 LGDPyl(光辉女郎)']
157,51,64,67,70,82,78,76,58,68,67,72,64,94,4,75,58,74,62,78,59,0,1,0,0,[]
158,49,53,67,70,86,77,76,58,68,67,72,64,88,14,75,58,74,62,78,59,0,1,0,0,[]
159,51,46,67,70,88,78,76,58,72,70,95,4,78,23,75,58,74,62,78,59,0,1,0,0,[]
160,57,43,8,92,87,85,76,58,72,70,95,7,68,29,75,58,94,4,95,4,0,1,0,0,[]
161,57,44,18,85,87,85,9,95,2,96,90,70,58,35,95,4,88,14,91,12,0,1,0,0,[]
162,51,51,27,76,6,93,21,93,12,90,88,70,57,39,55,46,77,13,82,21,0,1,0,0,[]
163,51,50,35,67,13,90,33,92,22,81,83,78,53,33,54,41,69,20,73,29,0,1,0,0,[]
164,51,50,44,58,22,81,45,91,31,68,85,81,52,34,52,43,58,23,66,39,0,1,0,0,[]
165,51,49,46,56,31,72,58,90,43,59,87,69,55,32,56,45,52,27,65,51,0,1,0,0,[]
166,52,46,53,47,40,62,69,91,54,51,82,59,64,40,58,41,54,30,65,51,0,1,0,0,[]
167,52,44,53,46,50,52,73,89,52,50,76,49,59,46,57,40,59,37,65,41,0,1,0,0,[]
168,53,46,57,49,54,49,78,85,60,49,64,50,59,45,58,42,57,41,60,44,0,1,0,0,[]
169,50,52,57,56,49,53,86,80,52,54,56,47,55,47,55,46,50,46,59,50,0,1,0,0,[]
170,50,58,56,61,53,60,82,78,55,62,62,51,54,53,55,52,59,49,54,52,0,1,0,0,[]
171,50,58,57,56,55,61,75,72,56,65,60,51,59,50,58,50,72,50,60,52,0,1,0,0,[]
172,50,59,54,62,50,59,69,66,56,64,59,49,67,54,61,51,83,52,64,53,0,1,0,0,[]
173,49,54,47,63,50,49,77,73,54,61,54,46,66,56,56,50,87,62,64,59,0,1,0,0,[]
174,49,53,57,63,48,50,79,75,57,56,55,45,66,61,54,47,89,70,66,57,0,1,0,0,[]
175,52,52,64,62,49,50,86,80,63,58,58,42,75,58,57,45,83,64,66,52,0,1,0,0,[]
176,61,59,69,63,55,57,84,80,66,60,67,42,75,54,58,45,84,63,64,52,0,1,0,0,[]
177,69,66,68,67,62,62,84,79,74,58,73,48,77,52,59,45,89,71,76,50,0,1,0,0,[]
178,65,68,65,70,63,57,76,71,74,65,70,41,75,44,59,35,90,71,84,52,0,1,0,0,[]
179,63,67,66,70,52,50,69,68,66,61,65,39,72,41,57,33,88,67,87,62,0,1,0,0,['14:55 FPX 击杀了火龙']
180,63,67,59,63,49,51,76,77,65,59,65,39,66,39,56,44,82,66,84,67,0,1,0,0,[]
181,3,94,57,73,46,50,85,81,65,52,87,5,55,31,52,44,80,66,79,64,0,1,0,0,[]
182,8,80,52,75,36,41,85,84,63,59,75,6,49,20,57,43,86,65,88,66,0,1,0,0,[]
183,15,70,56,81,34,38,81,82,74,66,64,8,42,17,54,41,90,75,91,72,0,1,0,0,[]
184,18,58,55,82,30,47,79,84,76,68,52,9,42,16,47,36,88,68,88,66,0,1,0,0,[]
185,24,47,59,83,27,50,81,83,2,96,40,10,44,15,48,39,83,62,84,63,0,1,0,0,[]
186,23,41,60,84,34,50,82,83,11,83,29,11,42,15,49,47,84,62,84,63,0,1,0,0,[]
187,22,30,60,84,46,52,83,83,23,74,33,16,42,15,53,47,87,72,80,65,0,1,0,0,[]
188,20,20,6,88,45,54,85,84,33,66,45,16,91,9,52,46,87,72,84,66,0,1,0,0,[]
189,18,15,12,77,39,58,83,82,47,57,45,11,82,21,60,38,88,73,87,67,0,1,0,0,[]
190,17,14,17,65,39,58,81,81,54,58,46,6,73,30,60,38,91,71,89,69,0,1,0,0,[]
191,28,14,18,53,6,91,85,82,67,65,42,14,65,41,92,12,90,66,86,65,0,1,0,0,[]
192,27,12,15,44,15,79,89,81,78,74,34,8,58,35,82,21,90,66,95,4,0,1,0,0,[]
193,24,12,20,50,26,70,88,79,87,76,45,7,61,36,71,31,90,66,93,12,0,1,0,0,[]
194,27,18,25,56,37,60,93,74,89,72,44,8,68,39,61,38,93,65,92,24,0,1,0,0,[]
195,37,25,30,48,46,51,93,73,87,74,45,8,72,42,52,47,92,67,92,37,0,1,0,0,[]
196,42,32,39,42,52,46,84,79,78,74,45,7,78,53,60,40,89,66,89,48,0,1,0,0,[]
197,47,35,43,41,47,49,87,79,69,64,47,6,71,50,54,47,89,66,78,50,0,1,0,0,[]
