,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,FPXGimGoon, ,FPXTian, ,FPXDoinb, ,FPXLwx, ,FPXCrisp, ,blue_economics,blue_towers,red_economics,red_towers,captions
142,18,58,9,95,41,66,54,93,52,93,43,17,60,24,83,12,92,5,92,5,18271,1,22431,1,[]
143,21,47,21,93,42,66,53,93,53,90,52,20,52,35,74,23,78,5,79,7,18565,1,22493,1,[]
144,23,36,34,91,40,66,57,89,60,88,58,32,52,34,65,34,65,6,71,15,18675,1,22635,1,[]
145,22,25,46,90,43,55,63,83,68,82,54,41,52,29,55,42,54,7,62,23,18767,1,22716,1,[]
146,20,16,55,85,42,56,68,82,70,77,49,43,47,24,48,50,41,8,51,21,18862,1,22815,1,[]
147,22,12,58,84,41,58,76,87,75,87,48,51,45,24,42,46,28,11,39,23,19171,1,22996,1,[]
148,10,19,58,83,40,57,81,85,82,81,57,50,32,31,35,39,22,12,28,23,19384,1,23195,1,[]
149,11,30,59,84,41,60,89,75,86,74,69,50,26,36,39,42,13,18,17,22,19465,1,23247,1,[]
150,5,35,70,79,36,59,89,73,91,73,80,49,19,48,46,50,10,25,17,22,19679,1,23383,1,[]
151,5,35,70,68,39,59,88,78,87,77,91,52,25,50,50,53,11,25,23,32,19788,1,23521,1,[]
152,3,95,65,64,40,56,83,79,79,75,94,59,16,42,49,49,10,25,20,37,19972,1,23572,1,[]
153,3,91,65,62,47,56,75,71,73,65,93,68,8,31,59,47,9,28,9,33,20142,1,23911,1,[]
154,7,83,55,63,52,55,65,62,66,57,92,71,8,30,52,45,9,29,9,32,20193,1,24146,1,[]
155,17,76,47,66,49,53,58,58,66,57,93,69,7,29,59,41,9,28,9,30,20319,1,24219,1,[]
156,24,68,45,68,51,50,59,69,73,69,93,70,8,32,58,41,7,31,9,30,20475,1,25016,1,[]
157,13,63,49,74,51,50,67,78,79,80,92,73,13,35,60,41,10,34,15,37,20649,1,25190,2,['13:1 FPXLwx(Ê¥Ç¹ÓÎÏÀ) »÷ÆÆÁË·ÀÓùËþ']
158,7,53,52,76,43,59,78,81,81,82,92,73,18,46,52,45,11,41,19,47,20821,1,25374,2,[]
159,6,58,50,74,41,60,79,86,73,84,92,73,22,55,51,48,11,47,19,50,20942,1,25522,2,[]
160,6,60,50,68,3,96,76,88,73,84,87,67,31,53,45,55,9,48,30,50,21091,1,25596,2,[]
161,8,60,39,64,9,85,68,91,3,96,75,66,42,51,46,54,7,49,39,50,21144,1,25802,2,[]
162,7,54,36,59,18,77,71,89,14,89,62,62,44,57,42,54,11,49,42,53,21263,1,26071,2,[]
163,8,54,35,61,29,68,82,84,24,78,51,60,42,57,42,58,22,51,42,58,21499,1,26146,2,[]
164,11,54,38,60,39,65,83,84,32,69,61,61,55,61,52,63,37,50,55,61,21652,1,26195,2,[]
