,TES369, ,TESXx, ,TESKnight9, ,TESLokeN, ,TESBen, ,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,blue_economics,blue_towers,red_economics,red_towers,captions
185,66,53,40,44,37,36,47,50,40,44,91,57,49,46,51,45,38,13,45,43,0,1,0,0,[]
186,65,41,51,46,52,42,49,47,51,46,91,63,56,47,57,43,90,12,56,45,0,1,0,0,[]
187,67,43,62,51,57,45,54,46,57,48,91,73,69,50,58,42,83,20,58,44,0,1,0,0,"['15:32 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGPlex(É³Ä®»ÊµÛ)', '15:34 TESKnight9(ÔªËØÅ®»Ê) »÷É±ÁË LNGDuan(¹â»ÔÅ®ÀÉ)']"
188,74,42,72,43,60,50,54,47,68,50,86,80,80,41,58,42,77,27,58,44,0,1,0,0,[]
189,80,47,83,36,70,41,56,44,80,47,87,82,83,36,58,42,81,33,58,44,0,1,0,0,[]
190,80,44,80,42,75,40,59,41,80,42,88,78,87,42,58,42,81,31,58,44,0,1,0,0,[]
191,70,50,72,49,71,40,57,43,72,49,88,78,89,41,58,42,74,34,58,44,0,1,0,0,[]
192,58,50,59,50,66,48,55,43,60,50,93,7,95,4,58,42,64,34,86,10,0,1,0,0,[]
193,48,57,45,47,66,48,55,43,56,46,93,7,92,5,58,42,62,36,76,20,0,2,0,0,['16:5 TESBen(Ä§·¨Ã¨ßä) »÷ÆÆÁË·ÀÓùËþ']
194,50,66,34,39,4,92,46,50,47,51,92,8,90,5,83,8,64,31,65,33,0,2,0,0,[]
195,51,64,31,39,5,75,46,50,46,50,79,16,89,4,71,10,64,36,58,40,0,2,0,0,[]
196,51,64,31,39,9,59,6,94,2,96,66,20,77,6,59,9,57,42,50,44,0,2,0,0,[]
197,5,96,5,96,18,48,13,88,13,88,56,29,64,7,47,10,52,46,39,37,0,2,0,0,[]
198,19,94,17,94,23,33,24,77,24,77,50,32,52,9,35,11,50,47,42,42,0,2,0,0,[]
199,33,92,30,89,24,25,33,65,33,65,50,33,42,17,23,12,50,47,35,42,0,2,0,0,[]
200,47,91,44,88,18,24,42,56,42,56,42,34,39,17,19,12,48,42,34,38,0,2,0,0,[]
201,60,90,56,82,26,23,50,54,50,54,38,24,29,20,17,13,42,32,39,31,0,2,0,0,[]
202,74,87,56,82,28,22,57,45,57,45,29,22,23,24,27,22,33,23,32,22,0,2,0,0,['16:50 LNGFlandre(¿ñ±©Ö®ÐÄ) »÷É±ÁË TESKnight9(ÔªËØÅ®»Ê)']
203,84,79,52,84,28,22,59,41,60,40,18,22,19,25,17,22,44,23,29,23,0,2,0,0,[]
204,88,68,54,76,28,22,66,41,71,40,9,27,23,30,9,27,54,21,29,23,0,2,0,0,[]
205,89,68,66,68,28,22,65,36,66,36,7,27,20,39,9,27,65,26,91,5,0,2,0,0,[]
206,88,55,75,58,28,22,65,36,67,34,7,27,16,43,9,27,67,28,80,15,0,2,0,0,[]
207,88,48,87,48,28,22,66,35,66,38,8,29,19,50,9,27,69,29,71,26,0,2,0,1,['17:13 LNGFlandre(¿ñ±©Ö®ÐÄ) »÷ÆÆÁË·ÀÓùËþ']
208,91,45,89,46,28,22,59,42,59,42,8,29,24,55,9,27,66,32,67,34,0,2,0,1,[]
