,JDGZoom, ,JDGKanavi, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,LGDGarvey, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDPyl, ,blue_economics,blue_towers,red_economics,red_towers,captions
182,26,13,37,37,39,92,44,52,43,53,46,8,71,67,53,78,53,51,53,51,0,1,0,1,[]
183,26,13,42,25,46,91,43,42,42,42,48,5,72,68,46,79,56,58,54,56,0,1,0,1,[]
184,7,89,44,23,51,92,43,41,41,27,46,6,68,78,47,80,53,64,53,64,0,1,0,1,[]
185,14,78,40,24,52,93,46,47,41,28,46,6,58,72,50,85,55,58,55,58,0,1,0,1,[]
186,17,66,35,29,55,88,45,48,41,39,50,10,52,65,47,79,54,50,54,50,0,1,0,1,[]
187,18,53,3,96,52,86,49,48,47,50,62,13,52,67,46,79,55,49,55,49,0,1,0,1,[]
188,22,41,11,91,53,87,43,52,44,51,60,24,53,64,47,78,54,49,54,49,0,1,0,1,[]
189,21,29,23,84,53,85,43,54,44,55,59,34,58,69,61,77,56,49,58,47,0,1,0,1,[]
190,20,16,35,77,54,85,43,53,45,58,57,42,61,74,70,79,53,55,53,55,0,1,0,1,[]
191,24,11,46,67,53,86,42,53,40,54,53,45,56,63,71,82,51,50,51,50,0,1,0,1,[]
192,28,10,47,62,53,86,38,58,41,60,49,42,56,60,74,87,49,49,47,55,0,1,0,1,[]
193,28,15,43,67,7,94,43,55,43,56,50,31,65,56,78,87,50,52,53,51,0,1,0,1,[]
194,36,24,57,68,19,93,43,54,45,53,48,20,72,48,76,90,58,49,55,50,0,1,0,1,[]
195,43,37,51,61,37,92,42,52,38,48,48,9,78,49,81,90,56,44,94,4,0,1,0,1,[]
196,38,28,40,53,46,91,40,50,38,48,45,8,80,52,95,4,57,44,84,13,0,1,0,1,[]
197,30,19,30,45,51,90,46,52,9,93,46,6,76,48,90,13,54,47,79,22,0,1,0,1,[]
198,31,10,38,43,57,85,48,52,20,83,46,6,64,51,83,27,56,47,71,30,0,1,0,1,[]
199,28,10,41,45,56,89,46,52,29,72,91,4,58,42,80,41,54,50,63,37,0,1,0,1,[]
200,27,11,41,45,51,85,47,49,37,60,79,5,58,37,76,57,55,45,55,44,0,1,0,1,[]
201,35,16,45,43,51,76,50,46,46,53,65,6,64,37,78,73,60,41,56,42,0,1,0,1,[]
202,40,17,46,43,55,75,48,51,48,49,50,9,67,49,79,87,60,41,58,39,0,1,0,1,[]
203,40,17,47,44,49,77,52,45,48,40,48,8,67,42,80,80,93,8,59,39,0,1,0,1,[]
204,35,10,51,40,50,66,51,45,50,43,48,18,60,41,70,67,85,18,60,40,0,1,0,1,[]
205,37,10,53,42,48,55,53,47,52,50,50,22,61,42,62,63,76,26,61,42,0,1,0,1,[]
206,41,18,54,44,55,45,56,46,52,52,51,25,58,38,54,63,67,33,58,38,0,1,0,1,[]
207,41,26,47,53,49,52,47,53,49,55,51,27,54,42,57,56,59,41,55,43,0,1,0,1,[]
208,41,37,44,58,48,60,45,54,45,51,45,15,47,35,57,67,52,42,49,41,0,1,0,1,[]
209,43,48,55,65,54,67,47,53,50,53,48,8,52,34,62,69,51,46,46,37,0,1,0,1,[]
210,37,49,49,59,49,67,47,54,57,55,40,11,58,34,71,64,50,46,49,43,0,1,0,1,[]
211,34,41,38,51,53,61,47,51,54,57,27,11,56,45,58,57,53,48,53,48,0,1,0,1,[]
212,43,44,48,57,56,62,48,52,60,61,18,10,57,56,63,59,53,51,54,51,0,1,0,1,[]
213,45,47,54,63,52,65,46,57,53,65,19,10,66,55,66,53,60,49,66,53,0,1,0,1,[]
214,35,40,46,67,50,80,42,60,42,67,17,19,65,57,67,66,56,46,67,66,0,1,0,1,[]
215,31,39,34,61,55,91,42,58,41,65,22,31,63,58,70,78,51,49,61,63,0,1,0,1,[]
216,28,37,22,53,55,90,43,56,2,96,27,35,52,54,61,85,49,50,54,64,0,1,0,1,[]
217,27,32,24,40,49,80,41,59,5,95,27,32,47,48,67,90,45,54,56,64,0,1,0,1,[]
218,21,24,24,34,44,70,36,60,9,92,25,24,44,47,71,89,42,55,48,58,0,1,0,1,[]
219,10,23,28,38,42,60,36,60,19,84,25,24,41,56,69,82,43,54,43,58,0,1,0,1,[]
220,14,16,45,54,40,58,44,57,29,73,25,24,48,59,58,70,53,55,53,55,0,1,0,1,[]
221,25,11,40,62,35,59,39,60,40,66,25,24,51,66,52,65,50,52,50,52,0,1,0,1,[]
222,33,9,46,67,35,59,39,60,49,67,25,24,54,63,54,58,50,52,50,52,0,1,0,1,[]
223,31,8,46,63,38,60,2,96,47,66,25,24,55,59,44,52,47,53,48,56,0,1,0,1,[]
224,31,8,48,65,34,63,5,95,45,67,25,24,53,65,39,54,44,56,44,56,0,1,0,2,[]
225,3,95,47,71,38,64,16,89,57,64,95,4,57,60,49,59,53,61,53,61,0,1,0,2,[]
226,17,94,50,76,43,68,28,86,59,69,87,14,57,60,57,65,57,65,57,65,0,1,0,2,[]
227,30,94,54,84,43,68,28,74,59,69,74,12,57,60,57,71,54,57,54,57,0,1,0,2,[]
228,43,93,59,85,3,94,41,77,59,69,61,11,57,60,55,78,50,49,51,51,0,1,0,2,[]
229,53,87,56,91,8,91,49,79,59,69,49,9,57,60,61,84,54,53,55,55,0,1,0,2,[]
230,64,83,58,89,33,89,46,75,59,69,36,8,57,60,72,76,62,57,57,56,0,1,0,2,[]
231,67,89,58,89,51,88,39,66,59,69,34,8,57,60,78,72,69,50,95,3,0,1,0,2,[]
232,70,91,4,95,65,83,37,62,10,94,27,10,91,8,78,72,76,52,91,5,0,1,0,2,[]
233,79,84,10,91,85,77,45,54,23,89,17,9,87,20,84,78,75,49,90,5,0,1,0,2,[]
234,88,75,22,84,88,77,49,53,37,88,16,11,81,31,93,65,64,51,85,11,0,1,0,2,[]
