,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
194,68,91,54,85,6,34,45,48,46,54,18,24,69,80,78,84,54,48,54,51,0,0,0,1,[]
195,68,91,56,85,10,31,45,49,45,53,15,19,70,82,73,89,56,58,57,65,0,0,0,1,[]
196,59,92,54,86,8,29,43,56,47,59,20,22,69,89,72,88,59,58,58,74,0,0,0,2,[]
197,58,93,50,84,11,44,47,53,44,51,27,17,62,84,71,87,56,55,57,67,0,0,0,2,[]
198,51,94,51,85,20,52,45,51,45,55,17,17,63,83,71,90,52,49,57,67,0,0,0,2,[]
199,51,94,46,88,30,59,46,50,46,52,13,19,70,79,75,89,54,46,82,12,0,0,0,2,[]
200,52,94,46,88,40,54,41,51,45,53,12,18,70,79,80,87,55,45,69,19,0,0,0,2,[]
201,54,92,3,95,36,49,41,51,42,53,10,14,91,4,80,87,58,42,57,28,0,0,0,2,[]
202,53,92,15,83,19,50,5,95,42,53,10,14,86,6,95,4,58,42,50,32,0,0,0,2,[]
203,52,92,24,73,8,45,15,88,5,96,92,12,75,13,92,9,89,14,45,32,0,0,0,2,[]
204,51,94,34,63,6,43,25,78,8,86,81,18,66,20,89,21,80,22,46,39,0,0,0,2,[]
205,2,96,39,52,7,50,32,67,18,77,68,19,57,29,89,33,69,28,49,43,0,0,0,2,[]
206,3,95,33,43,8,50,41,59,29,67,56,22,50,34,89,46,60,36,44,43,0,0,0,2,[]
207,8,85,31,50,3,95,46,53,39,58,43,19,52,35,88,58,52,46,44,43,0,0,0,2,[]
208,11,74,34,59,11,83,47,55,38,49,40,17,47,40,87,70,51,45,53,50,0,0,0,2,[]
209,10,61,39,54,21,74,47,51,43,51,28,21,46,41,82,81,52,49,54,51,0,0,0,2,[]
210,8,49,40,50,32,65,47,50,49,50,22,31,42,41,75,87,54,48,53,52,0,0,0,2,[]
211,8,36,47,48,42,57,43,52,47,49,30,39,45,49,78,84,50,48,47,49,0,0,0,2,[]
212,7,30,47,58,44,56,40,56,45,52,41,46,48,58,75,87,47,51,51,59,0,0,0,2,[]
213,7,27,46,58,41,60,40,56,45,52,45,58,46,57,64,88,48,57,51,60,0,0,0,2,[]
214,7,25,46,58,31,67,40,56,45,52,38,64,46,57,53,85,48,54,43,68,0,0,0,2,[]
215,7,25,46,58,23,65,40,56,45,52,49,66,46,57,52,88,48,51,41,70,0,0,0,2,[]
216,2,96,46,58,23,65,40,56,45,52,46,56,46,57,46,88,44,54,45,62,0,0,0,2,[]
217,15,94,46,58,4,96,40,56,45,52,39,55,46,57,44,90,41,54,37,57,0,0,0,2,[]
218,28,93,46,58,9,93,5,92,5,91,38,51,46,57,45,91,44,51,39,51,0,0,0,3,[]
219,41,92,46,58,19,82,10,86,9,86,31,39,46,57,50,88,45,50,34,48,0,0,0,3,[]
220,44,92,8,93,25,71,17,80,19,78,25,28,91,10,51,83,45,52,33,43,0,0,0,4,[]
221,47,93,20,86,36,63,28,69,29,68,27,16,86,21,54,76,46,53,33,43,0,0,0,4,[]
222,41,86,32,80,41,57,30,60,38,58,20,15,81,32,57,71,50,47,89,6,0,0,0,4,[]
223,48,78,42,70,38,58,22,54,39,58,14,19,73,43,57,66,53,45,78,16,0,0,0,4,[]
224,51,82,45,66,41,59,22,53,37,58,14,20,75,44,66,63,53,45,67,26,0,0,0,4,[]
225,54,86,43,68,33,59,17,46,30,54,13,22,78,48,71,66,85,8,56,30,0,0,0,4,[]
226,63,87,33,60,40,54,18,47,30,53,13,22,81,54,71,66,73,14,41,31,0,0,0,4,[]
227,74,87,39,52,44,53,9,47,40,57,92,13,81,55,93,8,66,23,36,40,0,0,0,4,[]
228,64,88,36,49,49,53,6,46,42,52,92,26,72,49,88,18,62,34,37,40,0,0,0,4,[]
229,56,84,36,57,43,56,5,51,43,54,91,39,59,49,82,29,58,43,42,45,0,0,0,4,[]
230,48,81,35,58,41,57,5,51,38,56,89,52,58,42,80,41,59,37,49,46,0,0,0,4,[]
231,44,70,32,54,40,57,4,96,38,56,88,64,58,42,77,51,53,28,58,41,0,0,0,4,[]
232,33,62,32,59,40,57,5,89,3,95,86,77,93,4,75,49,54,31,58,41,0,0,0,4,[]
233,41,58,36,58,44,56,9,74,7,88,81,84,83,11,62,50,57,39,87,8,0,0,0,4,[]
234,46,52,41,59,44,55,8,62,17,80,71,89,75,20,52,49,52,47,75,17,0,0,0,4,[]
235,36,60,42,67,41,57,7,47,27,70,67,91,67,29,51,46,50,50,66,29,0,0,0,4,[]
236,36,60,45,64,41,58,5,35,37,61,71,85,57,39,42,43,46,45,56,40,0,0,0,4,[]
237,3,95,45,65,40,59,6,34,39,56,65,78,46,40,31,40,36,39,46,51,0,0,0,4,[]
238,9,95,41,66,37,61,5,36,33,59,56,68,34,37,24,35,39,41,41,45,0,0,0,4,[]
239,29,93,31,57,41,56,5,41,31,57,55,62,25,36,18,34,45,50,43,47,0,0,0,4,[]
240,46,91,39,56,40,57,10,50,40,56,52,65,32,45,10,29,44,46,44,48,0,0,0,4,[]
241,57,91,39,54,40,54,5,44,40,53,58,68,34,48,11,33,32,44,33,42,0,0,0,4,[]
242,70,90,40,53,41,55,5,44,40,52,64,78,25,37,16,37,42,46,32,50,0,0,0,4,[]
243,69,89,37,57,38,55,6,47,41,55,68,91,24,40,22,40,47,49,36,49,0,0,0,4,[]
244,47,92,42,57,39,62,6,48,42,55,54,92,23,44,21,44,50,49,32,47,0,0,0,4,[]
245,41,90,38,56,45,57,5,46,39,50,60,90,29,34,28,34,49,49,35,43,0,0,0,4,[]
246,41,90,38,56,42,57,8,43,35,49,63,90,32,31,30,29,45,50,36,43,0,0,0,4,[]
247,7,90,33,49,39,54,12,47,32,47,64,90,36,36,33,36,43,42,37,42,0,0,0,4,[]
248,19,80,32,52,35,59,24,51,31,52,60,84,46,36,26,31,47,35,39,41,0,0,0,4,[]
249,30,87,32,52,35,59,26,51,27,51,57,85,49,34,17,22,50,47,43,45,0,0,0,4,[]
250,43,91,32,52,5,95,22,50,23,43,63,83,50,34,16,22,42,54,43,45,0,0,0,4,[]
251,51,90,33,59,20,81,22,43,23,43,72,75,50,41,23,31,48,51,86,8,0,0,0,4,[]
252,52,85,40,57,29,70,15,40,21,47,71,84,57,55,28,36,56,54,74,21,0,0,0,4,[]
