,LNGFlandre, ,LNGSofM, ,LNGPlex, ,LNGAsura, ,LNGDuan, ,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGLucas, ,blue_economics,blue_towers,red_economics,red_towers,captions
198,38,15,10,92,46,65,44,57,41,56,49,43,45,34,70,65,47,50,47,50,29428,2,27273,2,[]
199,27,21,23,86,50,76,47,55,44,53,51,31,47,35,73,68,52,43,52,47,29520,2,27472,2,[]
200,20,27,33,79,57,84,47,55,43,55,50,18,48,41,77,72,52,43,52,43,29765,2,27537,2,[]
201,20,27,44,71,68,88,48,56,52,60,43,10,48,41,83,82,93,8,91,7,29819,2,27766,2,[]
202,3,93,56,63,79,87,49,57,58,65,45,6,86,5,86,75,85,18,85,18,29954,2,27817,2,[]
203,8,82,58,58,80,86,2,96,58,65,48,6,76,13,87,69,76,26,76,26,30079,2,27911,2,[]
204,15,71,57,64,77,92,7,94,7,95,47,6,64,21,87,69,67,34,67,34,30220,2,27962,2,[]
205,18,59,56,77,83,89,16,85,20,91,48,6,52,21,93,11,57,42,57,42,30270,2,28055,2,[]
206,22,48,58,83,84,84,25,76,35,89,48,7,42,17,91,22,49,49,52,50,30488,2,28361,2,[]
207,22,46,58,83,86,77,33,66,49,88,43,7,42,18,92,33,55,54,57,56,30629,2,28488,2,[]
208,20,45,59,83,83,65,39,62,61,84,45,7,42,17,92,47,60,59,64,58,30723,2,28764,2,[]
209,20,45,70,79,78,64,48,66,71,78,47,6,48,19,92,60,54,53,64,70,30874,2,28906,2,[]
210,26,37,75,67,79,56,49,58,75,65,95,4,49,26,90,61,50,48,62,60,30922,2,29038,2,[]
211,20,27,85,65,83,62,60,59,84,64,90,11,49,26,84,65,58,50,67,53,31467,2,29193,2,[]
212,82,66,89,61,88,66,65,57,89,66,90,66,59,35,84,65,67,49,67,49,31515,2,29241,2,['17:37 LNGSofM(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË IGRookie(Éîº£Ì©Ì¹)']
213,91,65,92,60,91,65,70,63,93,64,94,65,71,41,84,65,60,50,60,50,32060,2,29313,2,[]
214,89,75,83,61,88,76,65,64,84,66,94,65,72,41,84,65,54,55,54,55,32239,2,29473,2,['17:46 LNGPlex(°µÒá½£Ä§) »÷É±ÁË IGTheShy(Íò»¨Í¨Áé)']
215,88,67,82,59,91,65,59,63,70,63,94,65,67,41,84,65,42,56,44,55,32438,2,29594,2,[]
216,88,63,73,63,92,62,47,66,59,56,94,65,59,49,84,65,44,54,43,53,32534,2,29651,2,[]
217,76,61,65,57,87,60,34,66,57,65,94,65,62,52,84,65,53,61,53,61,32656,2,29730,2,[]
218,70,62,61,60,78,63,38,66,57,72,94,65,55,50,84,65,53,63,53,63,32762,2,29803,2,[]
219,61,57,56,55,66,60,42,60,56,61,94,65,53,49,95,4,48,51,52,49,32903,2,29855,2,[]
220,57,55,64,57,56,60,48,54,59,59,94,65,57,50,44,44,53,45,57,50,32954,2,29906,2,[]
221,65,56,63,52,54,56,48,52,53,53,95,5,51,37,42,46,52,43,51,37,33142,2,29991,2,[]
222,65,60,65,62,54,53,52,52,50,52,87,17,50,35,43,44,55,42,58,34,33437,2,30159,2,[]
223,66,69,65,68,63,63,56,61,56,60,79,27,48,39,45,48,52,47,54,43,33488,2,30340,2,[]
224,65,69,64,69,66,69,67,66,57,69,80,41,55,54,53,55,53,51,55,50,33638,2,30393,2,[]
225,59,73,63,72,62,69,73,73,53,76,76,54,56,58,59,62,57,55,59,62,33689,2,30594,2,['18:42 LNG »÷É±ÁËË®Áú']
226,55,76,61,75,59,75,65,77,55,75,71,65,57,71,58,73,56,61,57,69,34233,2,30671,2,[]
