,RWZWuJi, ,RWHolder, ,RWHaro, ,RWHuaTian, ,RWHuanggai, ,LGDLies, ,LGDbadeMan, ,LGDYuuki, ,LGDKramer, ,LGDRD, ,blue_economics,blue_towers,red_economics,red_towers,captions
213,5,93,40,56,25,51,7,33,39,65,32,17,44,18,77,55,60,61,64,71,0,0,0,2,[]
214,10,92,39,65,39,59,6,33,4,94,25,30,41,17,74,58,67,57,69,64,0,0,0,2,[]
215,19,84,46,72,46,64,11,26,7,93,18,18,42,15,74,69,63,61,61,62,0,0,0,2,[]
216,27,75,52,84,49,73,11,36,16,84,15,17,42,15,71,82,57,64,54,56,0,0,0,2,[]
217,33,66,57,84,50,76,11,28,26,76,16,13,95,4,74,90,55,57,52,51,0,0,0,2,[]
218,37,57,56,90,56,81,9,26,33,66,14,14,94,6,77,84,50,50,54,48,0,0,0,2,[]
219,36,59,59,93,54,84,8,27,40,59,17,13,85,18,71,87,58,59,56,46,0,0,0,2,[]
220,38,62,57,92,53,84,7,34,36,65,27,19,74,29,72,88,63,61,95,4,0,0,0,2,[]
221,43,68,51,84,53,84,6,42,44,68,28,32,67,41,81,90,52,52,85,12,0,0,0,2,[]
222,40,58,48,79,46,73,18,51,48,67,37,38,67,53,75,89,51,51,77,24,0,0,0,2,[]
223,40,58,55,90,37,63,21,55,52,68,39,29,62,62,78,89,54,55,68,35,0,0,0,2,[]
224,38,58,54,93,25,57,22,42,44,68,27,22,55,64,71,83,56,61,58,46,0,0,0,2,[]
225,38,56,54,92,21,46,21,30,40,60,17,15,55,59,66,83,55,63,54,57,0,0,0,2,[]
226,40,53,51,91,23,33,16,20,43,52,16,14,56,67,61,83,50,56,53,57,0,0,0,2,[]
227,35,59,46,93,28,22,17,14,32,50,29,10,49,78,53,90,46,53,46,53,0,0,0,2,[]
228,38,59,41,93,38,16,25,13,35,49,33,7,48,83,53,91,45,53,46,56,0,0,0,2,[]
229,29,65,39,92,37,15,24,13,31,56,39,7,47,75,53,89,42,54,42,60,0,0,0,2,[]
230,30,66,38,94,39,15,27,11,29,65,45,12,42,69,53,91,42,54,39,60,0,0,0,2,[]
231,32,65,38,94,45,24,25,8,27,66,45,6,41,66,54,91,40,56,41,59,0,0,0,3,['19:12 LGDKramer(³Í½äÖ®¼ý) »÷ÆÆÁË·ÀÓùËþ']
232,28,69,40,93,51,34,16,9,25,65,40,6,41,80,51,90,38,60,40,59,0,1,0,3,['19:17 RW »÷ÆÆÁË·ÀÓùËþ']
233,30,70,45,92,42,40,16,9,25,65,38,7,47,88,52,94,40,62,39,63,0,1,0,3,[]
234,33,74,38,94,37,43,4,95,6,94,25,11,56,85,55,91,49,67,49,66,0,1,0,3,[]
