,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
188,17,15,34,77,32,62,57,69,29,37,87,76,50,41,57,8,49,48,50,46,0,0,0,1,[]
189,18,14,43,68,39,65,49,60,33,43,86,77,61,41,44,9,51,49,52,50,0,0,0,1,[]
190,25,22,50,65,47,75,40,59,41,43,87,83,72,43,33,8,52,51,50,50,0,0,0,1,[]
191,36,24,55,61,54,84,44,55,46,54,78,88,70,40,30,8,51,49,51,46,0,0,0,1,[]
192,43,33,63,63,62,86,48,55,48,53,70,91,68,49,40,6,50,48,51,46,0,0,0,1,[]
193,34,39,73,71,71,89,48,55,47,55,76,91,74,56,44,14,47,48,50,47,0,0,0,1,[]
194,34,43,82,80,82,88,55,58,54,61,87,85,75,53,36,8,46,50,40,44,0,0,0,1,[]
195,31,49,89,75,88,80,55,61,66,65,89,73,76,52,22,13,39,44,34,42,0,0,0,1,[]
196,20,48,83,78,85,79,50,58,73,62,93,62,74,49,13,14,33,35,30,36,0,0,0,1,[]
197,22,48,70,78,74,87,48,52,61,60,93,59,63,40,16,20,35,36,30,33,0,0,0,1,[]
198,17,45,56,80,63,89,51,51,50,51,94,6,50,41,22,27,35,36,29,33,0,0,0,1,[]
199,11,33,57,82,68,89,55,49,52,50,93,13,37,37,28,32,46,40,30,36,0,0,0,1,[]
200,11,21,61,83,74,88,55,49,50,51,93,26,32,35,28,32,55,42,35,37,0,0,0,1,[]
201,13,17,63,82,77,88,51,49,45,53,92,38,26,29,27,22,55,40,43,34,0,0,0,1,[]
202,8,17,63,82,81,80,49,52,37,49,92,51,30,22,23,12,55,44,51,44,0,0,0,1,[]
203,8,17,4,96,89,73,46,53,31,46,92,64,95,4,29,8,51,46,50,46,0,0,0,1,[]
204,2,96,15,90,89,74,48,55,32,46,91,68,90,12,26,9,49,47,50,47,0,0,0,1,[]
205,3,93,27,85,87,78,48,54,44,52,87,66,81,21,24,14,50,47,54,45,0,0,0,1,[]
206,4,78,37,76,87,76,49,58,51,50,91,63,72,30,22,14,47,37,58,39,0,0,0,1,[]
207,6,65,51,77,89,73,49,58,49,58,84,63,61,33,26,10,51,26,58,39,0,0,0,1,[]
