,RNGLangx, ,RNGKarsa, ,RNGXiaohu, ,RNGUzi, ,RNGMing, ,DMONatural, ,DMOXiaopeng, ,DMOTwila, ,DMOGALA, ,DMOMark, ,blue_economics,blue_towers,red_economics,red_towers,captions
231,60,90,49,49,31,22,41,39,45,43,85,78,71,41,54,31,59,41,58,45,0,3,0,2,[]
232,71,92,38,56,21,14,42,45,45,43,77,70,68,40,51,23,58,43,54,44,0,3,0,2,[]
233,70,84,37,57,20,26,46,52,3,95,80,75,60,35,45,14,59,36,56,33,0,3,0,2,[]
234,76,88,4,96,22,42,47,50,10,84,81,77,54,32,37,10,55,32,57,32,0,3,0,2,[]
235,81,86,16,90,23,44,47,49,22,74,87,75,58,38,36,8,59,37,57,31,0,3,0,2,[]
236,83,83,28,83,30,35,35,48,32,64,83,63,51,44,43,14,57,42,93,4,0,3,0,2,[]
237,83,81,38,74,39,36,38,43,44,56,89,64,49,52,40,16,56,41,77,7,0,3,0,2,[]
238,73,71,49,66,49,47,48,49,52,50,91,60,52,49,48,19,56,44,72,18,0,3,0,2,[]
239,65,61,55,56,54,49,52,46,56,48,89,70,56,45,55,31,55,43,66,30,0,3,0,2,[]
240,61,50,57,44,58,46,51,44,57,46,87,73,58,42,60,39,59,36,61,38,0,3,0,2,[]
241,54,44,48,40,54,43,46,40,50,42,80,85,58,42,61,38,62,38,62,39,0,3,0,2,[]
242,42,38,33,35,40,39,33,35,37,37,74,87,58,42,56,45,56,43,52,32,0,3,0,2,[]
243,34,32,31,30,32,34,30,32,33,32,70,92,58,42,54,47,56,54,47,39,0,3,0,2,[]
244,35,29,34,30,27,31,31,33,33,32,68,92,58,42,49,55,64,63,49,43,0,3,0,2,[]
245,34,30,31,33,27,20,30,36,31,33,58,90,58,42,46,54,68,67,53,49,0,3,0,3,[]
246,7,96,32,41,37,13,2,96,2,96,57,90,58,42,49,55,69,67,54,58,0,3,0,3,[]
247,26,95,26,51,37,15,16,84,14,86,57,90,92,4,50,54,70,67,55,67,0,3,0,3,[]
248,39,94,24,56,4,95,26,75,27,75,93,5,74,6,56,42,67,64,65,64,0,3,0,3,[]
249,51,89,23,55,4,95,31,65,32,67,89,14,59,8,54,30,74,60,66,61,0,3,0,3,[]
250,53,89,13,91,18,83,38,64,39,66,82,29,57,20,48,18,74,60,74,61,0,3,0,3,[]
