,OMGCurse, ,OMGWorld6, ,OMGicon, ,OMGKane, ,OMGFive, ,SNAngel, ,SNWeiwei, ,SNMaple, ,SNSmlz, ,SNSwordArt, ,blue_economics,blue_towers,red_economics,red_towers,captions
150,12,23,73,76,46,50,85,77,81,77,10,18,88,33,55,56,87,66,84,66,0,0,0,0,[]
151,11,21,60,77,44,51,86,79,87,80,15,17,81,42,51,51,90,72,86,66,0,0,0,0,[]
152,13,22,51,74,42,54,86,80,89,80,13,18,76,56,44,53,90,72,89,70,0,0,0,0,[]
153,13,21,51,74,35,58,88,79,89,78,12,17,78,64,48,54,92,69,90,70,0,0,0,0,[]
154,10,24,51,78,37,57,86,80,87,85,11,21,74,62,48,52,91,69,88,71,0,0,0,0,[]
155,9,26,55,83,42,55,83,78,87,85,9,24,62,61,47,51,88,66,80,66,0,0,0,0,[]
156,8,29,52,84,42,54,85,80,5,94,14,22,53,57,46,48,82,66,72,68,0,0,0,0,[]
157,11,20,42,77,42,54,81,84,15,88,24,28,52,49,50,50,85,66,75,71,0,0,0,0,[]
158,13,15,38,64,41,57,80,85,23,79,33,37,49,50,49,53,86,76,77,72,0,0,0,0,[]
159,14,13,40,55,39,59,75,87,32,71,40,39,43,52,46,56,85,81,66,65,0,0,0,0,[]
160,15,13,39,55,39,58,70,89,39,62,38,27,42,52,44,55,83,82,52,63,0,0,0,0,[]
161,18,16,39,61,39,58,75,87,41,60,29,18,53,54,46,52,85,79,58,68,0,0,0,0,[]
162,18,19,35,62,39,57,75,88,39,66,26,9,62,63,45,51,82,81,60,75,0,0,0,0,[]
163,2,96,44,68,40,57,76,89,42,77,19,13,64,69,47,55,83,82,65,84,0,0,0,0,[]
164,4,80,45,68,40,55,71,91,50,82,15,14,72,64,59,58,81,85,70,80,0,0,0,0,[]
165,5,69,45,68,38,56,77,88,61,83,16,13,70,67,68,66,82,84,70,80,0,0,0,0,[]
166,6,57,57,68,38,56,75,93,68,80,16,13,68,66,67,64,81,87,72,78,0,0,0,0,[]
167,5,41,66,77,8,96,79,88,72,84,90,5,76,57,67,64,90,80,79,75,0,0,0,0,[]
168,8,29,71,78,15,88,85,82,79,80,75,6,82,55,92,4,93,67,79,75,0,0,0,0,[]
169,13,20,76,73,33,79,85,78,78,74,61,7,82,55,82,12,93,67,75,63,0,0,0,0,[]
170,15,15,80,75,47,78,88,79,88,79,46,9,81,51,73,22,95,4,84,66,0,0,0,0,[]
171,16,16,89,74,62,77,90,76,87,71,33,10,92,59,76,35,93,67,91,68,0,0,0,0,[]
172,21,28,86,77,77,78,91,75,90,75,20,11,93,60,80,47,91,68,91,69,0,0,0,0,[]
173,35,36,85,77,84,78,88,74,87,74,25,8,87,68,80,56,90,71,88,72,0,0,0,0,[]
174,44,44,84,78,84,78,85,79,85,81,23,10,85,65,81,66,91,74,91,71,0,0,0,0,[]
175,51,50,76,69,76,68,84,81,82,82,14,19,79,53,73,55,89,75,89,72,0,0,0,0,[]
176,50,48,80,65,82,68,82,80,81,79,13,19,80,41,67,42,87,81,88,77,0,0,0,0,[]
177,50,48,89,70,90,76,89,76,92,75,17,21,83,49,56,45,92,74,89,68,0,0,0,0,[]
178,78,71,89,78,90,77,89,77,87,78,88,71,88,61,53,46,92,74,89,68,0,0,0,0,[]
179,86,65,90,70,86,65,88,70,90,69,91,65,91,53,60,57,92,74,89,68,0,0,0,0,[]
180,76,61,91,67,87,65,90,67,90,66,91,65,91,43,51,53,92,74,89,68,0,1,0,0,[]
181,70,49,83,66,83,66,89,71,87,67,91,65,91,43,50,48,92,74,89,68,0,1,0,0,[]
182,63,57,72,63,83,66,89,71,87,67,91,65,91,5,43,53,92,74,84,11,0,1,0,0,[]
183,52,55,67,64,2,96,6,95,3,96,91,65,83,9,41,55,92,74,73,22,0,1,0,0,[]
184,43,45,55,57,37,43,17,85,14,85,91,65,72,17,46,46,94,16,63,32,0,1,0,0,[]
185,51,42,49,42,50,46,23,78,23,74,91,65,60,25,53,44,93,30,54,43,0,1,0,0,[]
186,57,39,50,41,52,44,31,69,34,64,89,8,53,36,59,39,92,43,55,41,0,1,0,0,[]
187,57,39,51,46,52,43,39,60,44,54,79,16,53,42,64,36,91,54,55,45,0,1,0,0,[]
188,57,39,52,42,52,45,48,51,56,42,70,26,56,40,64,36,91,64,58,41,0,1,0,0,[]
189,57,39,57,45,52,46,54,44,53,43,63,36,59,38,92,5,89,69,61,39,0,1,0,0,[]
190,57,39,49,54,45,51,53,47,52,48,58,40,56,33,88,6,90,70,61,36,0,1,0,0,[]
191,57,39,50,61,32,49,51,47,51,47,58,39,53,34,78,17,86,76,58,35,0,1,0,0,[]
192,57,39,50,61,22,47,54,47,55,48,53,29,51,26,69,28,84,81,95,4,0,1,0,0,[]
193,57,39,7,93,19,48,56,45,59,45,41,23,46,23,61,39,79,85,93,7,0,1,0,0,[]
194,13,95,7,93,21,53,51,48,54,52,29,22,45,23,60,42,76,87,83,11,0,1,0,0,[]
195,26,94,15,88,22,54,53,56,57,60,17,16,42,17,68,48,83,81,73,22,0,1,0,0,[]
196,41,94,28,81,22,57,48,56,54,61,17,13,41,16,75,52,86,76,62,33,0,1,0,0,[]
197,56,94,39,73,3,96,47,52,5,95,15,19,39,14,79,55,87,66,57,44,0,1,0,0,[]
198,71,91,46,64,5,91,46,52,13,90,14,19,39,14,78,54,76,55,55,45,0,1,0,0,[]
199,80,87,48,66,6,85,47,50,23,79,13,17,94,8,79,53,67,44,54,44,0,1,0,0,[]
200,82,85,47,57,9,73,46,53,33,69,11,18,90,20,85,65,57,43,55,44,0,1,0,0,[]
201,82,85,44,44,9,61,53,47,42,57,15,11,88,33,87,70,58,39,57,42,0,1,0,0,[]
202,81,83,42,45,9,46,47,47,46,46,15,11,87,47,86,80,59,41,60,42,0,1,0,0,[]
203,75,87,43,44,7,35,50,48,51,48,91,7,87,61,87,78,58,42,58,43,0,1,0,0,[]
204,63,83,41,43,10,25,51,47,43,42,80,16,84,59,87,73,61,41,57,40,0,1,0,0,[]
205,72,86,32,43,16,18,44,45,41,29,70,25,83,59,82,82,57,40,56,49,0,1,0,0,[]
206,74,89,38,42,17,19,46,51,41,30,63,36,78,65,82,83,57,48,53,52,0,1,0,0,[]
207,76,89,41,36,28,22,48,49,44,42,53,33,67,64,83,90,57,47,56,50,0,1,0,0,[]
208,71,91,42,32,29,15,49,47,49,46,56,23,77,72,82,90,59,44,58,46,0,1,0,0,[]
209,71,91,43,34,27,11,49,47,49,47,46,13,73,77,75,78,57,43,56,42,0,1,0,0,[]
210,63,83,45,35,24,12,49,48,49,46,34,9,61,74,70,68,55,45,54,42,0,1,0,0,[]
211,57,84,45,36,18,16,51,46,48,46,22,10,54,63,59,59,58,45,54,42,0,1,0,0,[]
212,51,83,43,41,17,18,42,44,44,45,21,12,46,52,46,48,51,48,50,42,0,1,0,0,[]
213,52,66,45,47,12,25,40,44,43,46,19,15,44,49,47,48,48,49,49,46,0,1,0,0,[]
214,45,55,44,46,12,35,32,44,34,43,21,24,43,44,44,41,45,44,46,45,0,1,0,0,[]
215,49,53,44,46,19,44,31,51,34,48,18,15,54,49,55,41,51,46,52,47,0,1,0,0,[]
216,50,50,44,46,33,43,31,51,44,53,17,16,58,49,55,41,53,46,55,45,0,1,0,0,[]
217,53,48,44,46,45,45,2,96,53,49,14,18,58,44,95,4,55,43,57,43,0,1,0,0,[]
218,58,47,44,46,52,44,54,47,56,46,17,22,58,42,95,4,62,40,57,39,0,1,0,0,[]
219,58,55,44,46,52,45,52,48,54,52,14,22,67,41,67,42,61,36,62,39,0,1,0,0,[]
220,68,63,8,93,51,45,53,46,60,61,7,30,66,54,66,49,61,36,61,39,0,1,0,0,[]
221,73,68,21,85,52,47,52,47,56,55,7,31,66,50,66,49,94,7,59,40,0,1,0,0,[]
222,71,67,33,79,57,47,55,46,54,45,8,34,61,41,60,40,90,12,58,39,0,1,0,1,[]
223,77,85,41,68,57,47,55,47,59,46,9,34,60,43,57,41,81,22,60,39,0,1,0,1,[]
224,80,85,48,67,55,50,53,49,54,50,23,35,62,39,63,41,71,31,59,37,0,1,0,1,[]
225,81,85,48,73,42,57,47,55,55,56,36,39,70,40,76,45,63,39,59,36,0,1,0,1,[]
226,77,87,47,71,41,57,49,67,55,56,47,47,72,43,76,54,56,47,58,46,0,1,0,1,[]
227,77,87,46,66,3,95,51,64,51,64,52,62,75,47,68,62,55,55,53,55,0,1,0,1,[]
228,6,95,49,67,12,85,43,68,48,67,54,66,75,47,55,65,54,62,48,56,0,1,0,1,[]
229,21,87,39,63,29,67,41,57,39,65,56,56,94,5,61,59,52,52,50,50,0,1,0,1,[]
230,32,80,49,55,43,57,46,52,47,54,61,43,86,18,70,49,56,45,55,45,0,1,0,1,[]
231,45,67,62,61,53,44,53,46,54,45,66,41,75,27,82,48,57,34,62,35,0,1,0,1,[]
232,51,66,66,69,62,40,57,43,55,48,73,31,69,34,86,52,67,30,65,22,0,2,0,1,[]
233,63,70,67,69,52,43,55,46,56,54,75,29,63,33,91,61,66,33,65,22,0,2,0,1,[]
234,63,72,66,69,39,38,50,48,56,54,95,4,54,32,92,59,63,36,95,4,0,2,0,1,[]
235,73,70,63,63,23,38,45,53,8,94,91,6,55,31,91,61,64,36,85,10,0,2,0,1,[]
236,82,81,58,63,11,34,45,53,19,84,91,17,53,29,87,54,65,33,74,21,0,2,0,1,[]
237,85,83,45,65,11,24,8,94,30,72,89,31,44,22,77,46,62,34,66,30,0,2,0,1,[]
238,86,81,46,67,8,27,20,83,40,60,89,45,42,16,65,39,59,38,61,37,0,2,0,1,[]
239,68,84,46,67,15,41,30,71,40,51,90,59,41,16,51,41,51,47,52,47,0,2,0,1,[]
240,58,83,3,96,16,43,39,61,44,52,90,68,43,15,40,31,50,50,51,48,0,2,0,1,[]
241,54,84,11,93,27,50,46,54,46,51,88,77,46,22,31,21,54,44,59,41,0,2,0,1,[]
242,53,86,28,89,43,52,43,52,49,52,88,80,58,33,24,13,61,34,66,48,0,2,0,1,[]
243,54,85,29,71,38,51,46,46,49,46,83,80,67,43,17,9,61,34,65,52,0,2,0,1,[]
244,65,88,27,60,25,50,46,45,44,43,72,78,67,54,15,10,92,10,63,52,0,2,0,1,[]
245,72,91,24,56,12,46,47,48,50,49,77,80,63,62,95,4,80,21,57,41,0,2,0,1,[]
246,71,85,22,54,8,37,49,52,51,50,79,88,67,53,94,4,71,31,57,41,0,2,0,1,[]
247,67,90,30,49,9,36,48,50,53,55,81,86,78,51,93,4,62,42,58,42,0,2,0,1,[]
248,64,92,29,37,12,24,40,45,43,43,78,83,83,56,75,10,61,37,60,38,0,2,0,1,[]
249,70,92,21,29,10,23,42,43,40,36,68,78,80,54,60,8,54,31,55,32,0,2,0,1,[]
250,73,91,25,29,18,19,46,49,41,43,58,70,73,43,46,6,58,35,58,41,0,2,0,1,[]
251,72,92,27,32,21,14,48,51,31,35,56,68,60,41,32,7,53,46,57,49,0,2,0,1,[]
252,83,87,30,36,21,12,39,52,29,35,56,66,47,40,31,8,52,47,48,46,0,2,0,1,[]
