,OMGCurse, ,OMGY1han, ,OMGicon, ,OMGKane, ,OMGHudie, ,V5Windy, ,V5Ben4, ,V5Mole, ,V5y4, ,V5Max, ,blue_economics,blue_towers,red_economics,red_towers,captions
142,73,90,68,63,4,77,41,51,57,58,68,30,48,39,85,79,8,18,93,7,0,0,0,0,[]
143,73,89,63,70,5,66,50,49,54,51,60,39,92,10,85,79,8,18,88,18,0,0,0,0,[]
144,80,89,56,81,6,56,50,52,60,56,54,46,86,22,90,4,89,6,82,29,0,0,0,0,[]
145,86,83,56,84,6,45,48,52,54,57,54,44,80,34,79,5,89,17,80,41,0,0,0,0,[]
146,85,80,56,84,10,35,42,56,57,63,58,48,80,47,67,7,89,29,77,52,0,0,0,0,[]
147,84,78,56,82,7,26,42,56,53,64,59,48,75,59,53,9,89,42,72,63,0,0,0,0,[]
148,74,78,49,74,10,25,10,92,47,65,62,52,63,62,43,14,89,55,64,71,0,0,0,0,[]
149,67,82,46,71,11,29,18,83,47,65,50,49,64,64,37,16,91,69,62,64,0,0,0,0,[]
150,72,83,40,62,17,22,26,74,6,90,48,52,66,66,27,14,85,78,51,67,0,0,0,0,[]
151,73,89,24,56,22,21,34,64,15,79,43,45,67,68,24,11,85,83,55,68,0,0,0,0,[]
152,82,90,19,45,18,16,40,57,18,65,34,42,65,68,22,8,83,79,53,76,0,0,0,0,[]
153,81,91,12,34,15,17,41,57,19,51,32,43,66,68,22,9,81,81,59,77,0,0,0,0,[]
154,72,93,12,22,25,13,45,52,25,37,40,38,72,75,32,7,78,87,75,90,0,0,0,0,['12:46 V5 击杀了风龙']
155,60,93,20,20,26,13,43,52,27,24,39,28,62,84,29,6,74,90,66,84,0,0,0,0,[]
156,49,93,31,17,23,11,46,50,36,16,40,30,67,91,29,6,73,89,61,86,0,0,0,0,[]
157,41,83,32,16,23,13,46,48,36,15,42,32,71,91,26,8,72,90,63,88,0,0,0,0,[]
158,41,70,23,9,23,10,55,43,26,12,38,26,71,85,22,10,71,88,62,85,0,0,0,0,[]
159,41,60,35,13,23,13,53,44,26,14,28,17,64,77,31,11,72,89,66,80,0,0,0,0,['13:14 OMGY1han(虚空遁地兽) 击杀了 V5Mole(符文法师)']
160,50,48,29,15,21,14,55,43,19,13,23,10,57,66,31,11,72,89,58,71,0,0,0,0,['13:19 V5Windy(解脱者) 击杀了 OMGHudie(堕落天使)']
161,54,45,26,22,15,17,55,43,19,13,23,9,54,52,31,11,72,89,56,58,0,0,0,0,[]
162,51,48,23,34,11,13,47,40,19,13,27,12,55,46,31,11,70,91,56,48,0,0,0,1,"['13:29 V5y4(惩戒之箭) 击破了防御塔,获得一塔']"
163,43,55,16,42,13,15,40,43,19,13,24,11,45,52,31,11,68,91,49,53,0,0,0,1,[]
164,35,59,21,52,14,19,41,45,2,96,19,13,50,51,31,11,61,85,45,49,0,0,0,1,[]
165,31,57,31,57,10,22,32,44,9,85,16,13,39,44,31,11,61,85,35,43,0,0,0,1,[]
166,31,51,30,48,8,29,31,52,20,75,18,14,35,40,94,9,92,5,37,42,0,0,0,1,[]
167,31,57,33,59,8,29,37,60,31,65,8,19,47,35,88,20,88,6,34,38,0,0,0,1,[]
168,31,57,46,64,8,95,43,54,42,57,8,19,52,35,81,32,79,16,24,31,0,0,0,1,[]
169,5,96,47,63,9,75,47,51,40,50,12,24,49,26,80,45,70,27,15,22,0,0,0,1,[]
170,21,95,35,61,9,56,42,55,46,50,11,25,50,26,78,47,61,38,11,22,0,0,0,1,[]
