,IGTheShy, ,IGNing, ,IGRookie, ,IGJackeyLove, ,IGBaolan, ,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,blue_economics,blue_towers,red_economics,red_towers,captions
183,55,86,19,46,8,31,39,61,22,46,54,76,27,21,57,74,25,23,24,23,0,0,0,1,[]
184,54,88,22,50,8,31,3,96,27,51,57,70,27,21,57,67,23,27,23,34,0,0,0,1,[]
185,52,89,3,96,8,31,13,86,33,47,57,59,85,9,55,55,13,18,16,22,0,0,0,1,[]
186,53,92,8,96,13,34,21,77,38,50,55,58,73,17,50,52,10,23,12,24,0,0,0,1,[]
187,55,92,18,93,10,32,31,67,44,56,53,53,61,25,44,43,11,19,13,21,0,0,0,1,[]
188,53,86,24,83,6,35,40,59,40,57,46,51,50,33,32,37,9,23,11,24,0,0,0,1,[]
189,59,85,28,73,6,37,45,54,41,56,51,46,47,34,41,38,9,27,8,29,0,0,0,1,[]
190,67,92,37,65,7,38,44,48,35,49,63,52,43,35,50,44,9,29,10,30,0,0,0,1,[]
191,66,94,47,59,5,44,39,50,33,43,69,64,41,40,48,49,8,36,8,34,0,0,0,2,[]
192,74,90,56,59,7,44,45,55,40,50,78,75,42,40,50,48,11,30,11,28,0,0,0,2,[]
193,85,81,54,57,7,45,48,55,43,55,87,75,54,41,57,41,11,25,11,26,0,0,0,2,[]
194,87,75,53,58,11,49,48,58,41,57,90,69,69,40,59,38,11,25,95,4,0,0,0,2,[]
195,88,78,53,58,6,37,47,54,41,57,89,72,74,42,95,4,91,7,94,8,0,0,0,2,[]
196,89,75,56,56,10,34,52,48,5,95,90,69,77,52,90,5,78,17,85,18,0,0,0,2,[]
197,81,82,56,56,8,35,51,49,17,81,90,68,78,52,74,7,70,27,75,27,0,0,0,2,[]
198,67,91,57,54,8,35,51,51,27,70,90,79,80,50,61,8,62,37,59,44,0,0,0,2,[]
199,64,93,57,54,3,88,52,50,38,60,84,84,79,48,48,8,53,44,54,44,0,0,0,2,[]
200,64,93,57,54,11,77,52,47,46,50,85,84,69,40,44,13,53,42,56,42,0,0,0,2,[]
201,18,95,55,57,17,64,44,49,42,44,83,84,57,43,42,10,52,42,58,46,0,0,0,2,[]
202,31,94,46,53,19,49,49,51,37,38,76,76,64,52,46,11,57,48,64,53,0,0,0,2,[]
203,45,93,45,43,22,39,46,50,41,27,63,76,61,58,37,13,52,49,56,49,0,0,0,2,[]
204,58,93,45,47,33,38,45,52,44,33,54,67,55,59,27,14,52,48,53,47,0,0,0,2,[]
205,60,94,41,44,32,35,43,53,38,39,60,74,50,47,17,14,52,44,54,46,0,0,0,2,[]
206,54,93,38,41,21,26,39,51,27,30,68,82,54,51,24,13,53,50,54,53,0,0,0,2,[]
207,44,92,43,44,13,34,43,53,34,38,60,89,56,60,33,21,54,53,52,51,0,0,0,2,[]
208,51,92,33,38,11,33,42,52,42,44,57,90,56,61,41,31,50,53,51,49,0,0,0,2,[]
209,52,93,27,36,14,34,44,53,42,44,59,90,51,65,46,43,51,51,51,53,0,0,0,2,[]
210,56,92,23,31,16,34,39,55,41,45,61,90,49,66,47,51,48,53,47,56,0,0,0,2,[]
211,63,92,37,37,32,37,35,58,44,50,67,89,51,63,42,56,43,57,44,57,0,0,0,2,[]
212,55,92,50,46,43,46,39,56,44,47,71,88,48,53,45,52,49,51,46,49,0,0,0,2,[]
213,56,91,48,42,48,53,43,54,45,51,74,87,58,49,59,50,58,44,54,49,0,0,0,2,[]
214,63,92,47,50,50,48,38,57,43,59,77,81,58,47,66,48,57,41,58,45,0,0,0,2,[]
215,57,92,45,64,43,48,38,57,43,59,77,81,53,49,66,48,52,48,50,45,0,0,0,2,[]
216,54,85,37,63,45,51,4,96,10,92,94,7,60,60,89,5,52,50,52,53,0,0,0,2,[]
217,54,83,26,59,45,46,42,56,26,83,87,19,67,63,77,24,61,58,62,58,0,0,0,2,[]
218,53,85,22,52,35,38,39,55,37,74,81,30,67,66,62,40,67,63,66,65,0,0,0,2,[]
219,55,85,21,41,23,26,39,63,47,66,80,44,68,68,55,54,64,64,63,64,0,0,0,2,[]
220,59,85,20,33,14,14,45,56,45,64,76,57,57,63,51,64,55,57,52,62,0,0,0,2,[]
221,47,81,23,37,20,13,40,53,39,65,76,70,55,59,49,60,49,53,48,58,0,0,0,2,[]
222,40,69,32,45,27,12,37,58,38,63,66,77,47,57,46,58,42,53,46,52,0,0,0,2,[]
223,41,60,40,52,27,8,41,59,36,60,56,67,48,56,45,56,45,52,45,56,0,0,0,2,[]
224,44,52,42,54,28,9,43,55,41,56,55,65,55,59,51,52,52,49,49,53,0,1,0,2,[]
225,36,58,42,59,27,14,43,56,43,53,56,62,50,52,57,40,49,50,48,55,0,1,0,2,[]
226,35,59,47,57,30,20,43,57,43,54,54,51,50,45,57,25,54,48,53,50,0,1,0,2,[]
227,35,59,52,55,28,22,48,50,48,55,62,52,51,34,50,7,55,45,56,47,0,1,0,2,[]
228,7,94,55,56,36,17,46,49,51,54,69,63,54,31,52,7,53,47,55,47,0,1,0,2,[]
229,20,83,51,52,38,11,49,48,48,50,76,76,54,31,53,8,58,40,58,44,0,1,0,2,[]
230,30,81,48,59,33,10,52,46,41,45,83,83,54,32,53,8,60,37,62,38,0,1,0,2,[]
231,42,89,40,66,29,11,49,50,41,45,80,78,95,4,90,5,60,37,62,38,0,1,0,2,[]
232,52,94,31,58,29,11,52,47,7,93,75,77,84,13,74,7,93,5,92,12,0,1,0,2,[]
233,53,93,23,51,3,92,49,50,19,82,75,77,76,25,59,8,58,42,82,21,0,1,0,2,[]
234,55,94,15,45,11,81,45,49,30,72,90,14,66,37,47,11,53,48,72,31,0,1,0,2,[]
235,58,92,18,47,17,68,44,53,40,62,89,28,74,42,45,11,54,45,61,40,0,1,0,2,[]
