,VGChelizi, ,VGYoudang, ,VGJay, ,VGPuff, ,VGSouthwind, ,JDGZoom, ,JDGFlawless, ,JDGYagao, ,JDGimp, ,JDGLvMao, ,blue_economics,blue_towers,red_economics,red_towers,captions
113,8,21,66,60,52,48,81,83,80,79,13,19,80,79,57,40,84,79,82,79,0,0,0,0,['9:25 JDGFlawless(德玛西亚皇子) 击杀了 VGSouthwind(天启者)']
114,12,19,73,73,50,50,76,86,80,79,19,13,79,82,55,42,81,85,82,79,0,0,0,0,['9:30 JDGimp(虚空之女) 击杀了 VGPuff(圣枪游侠)']
115,18,21,66,82,51,52,76,86,80,79,21,10,75,71,55,45,82,85,83,84,0,0,0,0,[]
116,19,24,57,82,53,46,76,86,4,96,18,12,75,62,58,42,85,82,85,83,0,0,0,0,[]
117,17,17,56,82,51,46,76,86,16,91,16,10,74,52,62,41,84,85,82,83,0,0,0,0,[]
118,16,16,56,83,53,47,76,86,27,84,21,12,72,52,69,47,89,82,89,82,0,0,0,0,[]
119,18,15,49,79,52,45,14,95,36,76,23,10,76,45,67,43,89,82,89,82,0,0,0,0,[]
120,18,22,46,67,50,46,25,94,45,68,22,12,73,43,58,42,89,82,89,82,0,0,0,0,[]
121,23,30,48,65,50,45,36,93,56,63,16,11,73,43,56,46,94,7,93,8,0,0,0,0,[]
122,16,22,60,62,54,53,47,91,65,59,14,15,73,43,57,43,92,19,92,19,0,0,0,0,[]
123,9,19,67,52,65,56,58,90,70,50,14,15,81,8,56,43,91,30,91,30,0,0,0,0,[]
124,10,22,73,49,55,53,69,88,81,54,17,17,70,16,51,41,90,41,90,41,0,0,0,0,[]
125,8,27,78,52,52,50,81,85,76,57,19,24,60,23,51,41,87,50,88,50,0,0,0,0,[]
126,8,28,77,62,54,53,85,79,75,61,19,24,44,24,49,48,87,58,82,51,0,0,0,0,[]
127,12,23,76,68,54,50,88,76,74,65,14,16,42,34,54,43,92,61,81,49,0,0,0,0,[]
128,9,25,79,65,63,58,87,75,79,63,13,19,52,34,51,46,92,61,89,57,0,0,0,0,[]
129,9,24,87,62,74,61,90,66,88,64,13,18,54,32,45,44,93,56,93,56,0,0,0,0,[]
130,8,34,85,63,79,53,90,67,89,70,17,22,63,39,35,38,90,56,90,56,0,0,0,0,[]
131,8,32,88,54,86,51,89,54,88,63,18,24,71,48,35,39,89,50,88,48,0,0,0,0,['10:55 VGYoudang(狂战士) 击杀了 JDGimp(虚空之女)']
132,9,30,87,62,88,62,90,63,88,64,95,4,81,55,90,54,89,50,90,54,0,0,0,0,[]
133,9,30,87,74,88,71,90,73,90,73,94,17,87,66,88,71,89,50,88,71,0,0,0,0,[]
134,13,22,86,74,87,71,90,78,89,78,93,30,88,71,87,70,89,50,90,69,0,0,0,0,['11:6 JDGYagao(解脱者) 击杀了 VGJay(万花通灵)']
135,15,17,79,78,87,71,84,84,88,84,90,48,86,76,87,74,87,5,87,74,0,0,0,0,[]
136,16,16,71,82,87,71,78,89,80,91,86,79,82,91,81,85,74,6,81,84,0,0,0,0,[]
137,25,10,78,89,87,71,78,88,81,91,81,88,84,87,82,91,62,7,82,91,0,0,0,0,['11:24 JDGYagao(解脱者) 击杀了 VGSouthwind(天启者)']
138,25,10,73,87,87,71,75,89,81,91,80,84,80,81,81,87,50,8,80,86,0,0,0,0,[]
139,25,9,78,86,87,71,78,89,81,91,84,84,75,70,82,82,37,8,82,81,0,0,0,0,[]
140,19,13,76,86,6,96,70,90,81,91,79,86,69,66,80,85,26,10,80,85,0,0,0,0,['11:37 JDGZoom(亡灵战神) 击杀了 VGYoudang(狂战士)']
141,18,15,76,86,48,51,70,91,11,94,81,87,67,64,79,84,23,9,79,84,0,0,0,0,[]
142,18,17,76,86,52,51,72,90,16,83,84,88,67,61,79,75,25,9,78,73,0,0,0,0,[]
143,15,20,76,86,53,45,69,92,23,73,84,88,66,49,79,75,28,10,79,75,0,0,0,0,[]
144,15,20,76,86,54,43,68,92,31,63,91,8,66,44,92,6,31,11,94,6,0,0,0,0,[]
145,9,93,2,96,55,43,3,92,31,48,85,15,60,41,85,11,23,11,82,6,0,0,0,0,[]
146,24,79,9,83,53,43,4,84,36,38,87,27,59,42,75,21,18,14,71,10,0,0,0,0,[]
147,38,73,14,72,55,43,5,72,32,36,89,43,59,36,67,31,16,15,60,10,0,0,0,0,[]
148,53,65,18,60,51,43,6,60,20,37,88,56,57,33,59,38,24,13,53,12,0,0,0,0,[]
149,68,65,22,54,53,48,6,47,11,33,87,69,57,33,54,42,36,14,43,14,0,0,0,0,[]
150,79,75,25,56,50,48,8,36,8,26,88,80,92,5,52,44,38,15,38,15,0,0,0,0,[]
151,80,79,36,58,51,44,12,22,13,22,88,83,77,11,58,41,35,16,30,18,0,0,0,0,[]
152,86,81,44,51,50,45,14,17,19,21,90,79,66,19,57,43,37,13,27,19,0,0,0,0,[]
153,84,86,41,39,48,35,18,19,23,22,87,78,56,23,54,45,27,11,27,14,0,0,0,0,[]
154,79,85,42,33,45,37,28,22,34,23,87,76,51,34,50,40,28,9,28,9,0,0,0,0,[]
155,74,70,48,34,46,44,39,25,41,27,88,78,55,31,55,41,30,10,30,10,0,0,0,0,[]
