,LNGFlandre, ,LNGSofM, ,LNGFenfen, ,LNGAsura, ,LNGDuan, ,VGCube, ,VGAix, ,VGJay, ,VGPuff, ,VGSouthwind, ,blue_economics,blue_towers,red_economics,red_towers,captions
242,73,88,59,61,44,67,47,56,62,58,80,36,57,27,50,7,49,49,64,21,0,3,0,3,[]
243,80,81,71,62,56,62,50,59,75,61,83,49,47,32,43,9,52,43,55,30,0,3,0,3,[]
244,87,72,77,53,66,56,50,51,77,47,90,60,41,32,36,8,47,40,44,36,0,3,0,3,[]
245,91,64,68,50,66,51,52,56,66,50,93,54,48,42,33,17,50,49,50,47,0,3,0,3,[]
246,89,61,61,57,59,56,54,53,59,57,93,52,43,39,30,22,50,47,50,46,0,3,0,3,[]
247,84,65,49,55,54,58,53,54,54,58,93,56,41,44,17,21,50,47,43,48,0,3,0,3,[]
248,81,67,40,52,54,58,48,58,56,56,90,55,35,40,13,16,51,47,50,48,0,3,0,3,[]
249,79,74,38,49,2,96,42,57,55,57,91,53,40,41,12,12,52,48,54,48,0,3,0,3,[]
250,79,74,39,54,5,81,42,67,55,57,92,54,45,42,12,12,51,45,54,48,0,3,0,3,[]
251,15,91,39,54,6,64,42,69,16,90,89,53,45,42,89,13,51,48,50,49,0,3,0,3,[]
252,29,83,43,56,7,52,47,68,30,81,81,49,50,47,81,28,50,49,49,52,0,3,0,3,[]
