,WEPoss, ,WEbeishang, ,WExiye, ,WEMystic, ,WEMissing, ,BLGADD, ,BLGMeteor, ,BLGKuro, ,BLGJinjiao, ,BLGXinMo, ,blue_economics,blue_towers,red_economics,red_towers,captions
184,25,78,60,56,59,61,82,84,81,81,54,8,61,56,58,57,67,65,68,65,0,1,0,0,"['15:17 BLGMeteor(Ðé¿Õ¶ÝµØÊÞ) »÷É±ÁË WEbeishang(½âÍÑÕß)', '15:18 WExiye(ÔªËØÅ®»Ê) »÷É±ÁË BLGMeteor(Ðé¿Õ¶ÝµØÊÞ)']"
185,35,74,60,56,56,74,75,78,73,76,48,8,61,56,57,70,57,66,57,65,0,1,0,0,[]
186,46,69,60,56,56,83,63,76,62,76,46,12,61,56,57,74,57,67,58,70,0,1,0,0,[]
187,56,67,60,56,52,77,57,70,58,70,42,16,61,56,58,68,64,63,60,62,0,1,0,0,['15:35 WEMystic(³Í½äÖ®¼ý) »÷É±ÁË BLGKuro(»úÐµ¹«µÐ)']
188,49,57,60,56,47,69,63,76,57,73,38,16,61,56,58,68,70,66,71,66,0,1,0,0,[]
189,50,48,2,96,48,56,72,84,62,78,26,14,61,56,58,68,74,59,73,63,0,1,0,0,[]
190,39,41,15,91,44,54,81,84,74,77,23,8,94,7,58,68,77,60,70,63,0,1,0,0,[]
191,49,46,26,85,44,54,84,80,84,82,25,8,88,20,58,68,84,65,80,66,0,1,0,0,[]
192,54,48,34,77,7,84,88,76,87,76,27,16,76,27,58,68,89,70,89,70,0,1,0,0,[]
193,57,55,44,68,10,68,87,79,86,78,28,19,65,38,58,68,92,74,91,72,0,1,0,0,[]
194,64,57,48,65,11,53,86,80,87,79,37,26,57,44,92,7,91,74,89,73,0,1,0,0,[]
195,64,60,61,62,10,37,76,74,77,73,46,38,62,51,86,18,87,78,88,74,0,1,0,0,[]
196,53,56,56,62,12,23,70,78,71,76,53,48,70,49,74,29,78,76,78,76,0,1,0,0,[]
197,43,52,57,68,11,34,74,89,73,85,49,51,73,62,66,39,72,70,70,69,0,1,0,0,[]
198,45,51,57,68,27,34,83,88,80,82,51,51,73,67,66,53,75,67,75,68,0,1,0,0,[]
199,49,53,57,63,36,40,84,82,76,74,51,47,69,67,63,61,74,68,72,68,0,1,0,0,[]
200,48,47,52,63,43,41,82,83,80,83,53,48,72,69,64,61,79,73,79,77,0,1,0,0,['16:36 BLG »÷É±ÁË»ðÁú']
201,46,52,45,58,39,29,84,83,79,87,53,50,79,83,73,73,80,82,80,81,0,1,0,0,[]
202,56,56,39,53,30,21,86,81,67,88,55,50,83,84,82,79,84,82,83,81,0,1,0,0,[]
203,51,52,37,50,19,14,86,82,63,88,58,49,87,71,81,78,88,84,81,85,0,1,0,0,['16:51 BLGJinjiao(Ì½ÏÕ¼Ò) »÷É±ÁË WEMystic(³Í½äÖ®¼ý)']
204,52,49,32,44,23,10,86,82,63,88,53,49,83,60,80,77,77,89,75,88,0,1,0,0,[]
205,50,47,32,31,26,11,86,82,10,91,57,45,80,54,80,77,77,91,73,85,0,1,0,0,[]
206,50,47,31,28,31,20,86,82,19,84,59,38,77,47,84,5,73,91,70,81,0,1,0,0,[]
207,48,40,31,30,33,30,86,82,27,75,59,38,73,42,71,6,73,92,71,89,0,1,0,0,[]
208,52,36,31,29,31,33,86,82,34,65,95,4,67,39,58,7,74,91,71,91,0,1,0,0,[]
209,48,35,32,31,31,33,5,96,43,58,90,6,56,33,48,8,74,92,74,91,0,1,0,1,['17:25 BLGJinjiao(Ì½ÏÕ¼Ò) »÷ÆÆÁË·ÀÓùËþ']
210,39,36,32,30,31,33,7,95,52,55,86,17,52,28,56,13,81,91,81,91,0,1,0,1,[]
211,40,38,31,36,37,38,48,48,49,47,76,26,52,27,57,25,81,91,81,91,0,1,0,1,[]
212,52,41,41,39,50,46,55,44,56,40,67,34,54,29,54,32,95,4,91,10,0,1,0,1,[]
213,52,45,46,40,55,49,53,46,54,44,59,41,52,37,57,39,57,40,83,20,0,1,0,1,[]
214,49,49,49,47,48,47,47,49,51,50,52,41,52,37,57,42,54,42,73,29,0,1,0,1,[]
215,49,48,49,49,48,48,50,49,53,48,55,42,52,37,56,42,54,41,57,40,0,2,0,1,['17:54 WE »÷ÆÆÁË·ÀÓùËþ']
216,50,55,42,58,36,42,45,54,45,52,50,47,50,46,52,46,53,48,53,48,0,2,0,1,[]
217,50,65,29,59,27,31,37,58,40,58,41,45,44,45,48,58,47,53,44,51,0,2,0,1,[]
218,39,65,27,59,30,36,36,60,38,59,41,55,44,52,44,58,44,56,43,54,0,2,0,1,[]
219,37,57,34,59,36,43,35,63,34,64,46,55,39,52,46,55,45,55,43,53,0,2,0,1,[]
220,38,59,23,59,30,38,31,67,32,64,55,64,41,45,39,44,49,54,42,51,0,2,0,1,[]
221,41,56,22,59,25,34,31,67,2,96,56,66,31,38,30,36,49,51,37,42,0,2,0,1,[]
222,42,55,3,96,16,37,4,94,7,94,60,62,37,27,36,36,49,54,42,47,0,2,0,1,[]
223,36,59,8,86,22,40,10,91,15,88,71,69,48,20,39,28,44,56,41,55,0,2,0,1,[]
224,38,56,17,77,29,37,20,83,23,79,81,77,43,14,30,19,43,56,44,54,0,2,0,1,[]
225,36,57,26,68,24,42,28,74,30,69,86,76,44,16,28,10,55,59,54,56,0,2,0,1,[]
226,36,57,31,58,20,47,35,64,38,60,86,77,45,16,32,10,52,64,61,62,0,2,0,1,[]
227,7,95,21,47,19,47,44,56,47,58,79,83,44,23,35,12,53,64,56,61,0,2,0,1,[]
228,18,94,15,43,14,36,45,58,46,57,71,89,41,36,31,20,54,56,52,51,0,2,0,1,[]
229,31,94,18,46,12,23,42,55,43,54,71,87,41,45,39,31,49,52,47,49,0,2,0,1,[]
